title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Resolution,tech_Product Dimensions,tech_Batteries,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_RAM Size,tech_Memory Technology,tech_Computer Memory Type,tech_Maximum Memory Supported,tech_Memory Clock Speed,tech_Hard Drive Size,tech_Hard Disk Description,tech_Audio Details,tech_Speaker Description,tech_Graphics Coprocessor,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Ram Size,tech_Graphics Card Interface,tech_Connectivity Type,tech_Wireless Type,tech_Number of USB 2.0 Ports,tech_Number of USB 3.0 Ports,tech_Number of HDMI Ports,tech_Voltage,tech_Optical Drive Type,tech_Rear Webcam Resolution,tech_Power Source,tech_Operating System,tech_Average Battery Standby Life (in hours),tech_Average Battery Life (in hours),tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Number of Lithium Ion Cells,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Packer,info_Importer,info_Item Dimensions LxWxH,info_Net Quantity,info_Generic Name,tech_Package Dimensions,tech_Hard Drive Interface,tech_Hard Disk Rotational Speed,tech_Hardware Platform,tech_Front Webcam Resolution,tech_Number of Lithium Metal Cells,tech_ASIN,info_Manufacturer,info_Item Weight,info_Included Components,tech_Wattage,tech_Lithium Battery Weight,tech_Model,tech_Model Name,tech_Model Year,tech_Memory Storage Capacity,tech_Memory Slots Available,tech_Ram Memory Installed Size,tech_RAM memory maximum size,tech_Ram Memory Technology,tech_Processor model number,tech_Hardware Interface,tech_Special Features,tech_Chipset Type,tech_Mounting Hardware,tech_Number of items,tech_Display Technology,tech_Display Type,tech_Audio Output Type,tech_Batteries Included,tech_Batteries Required,tech_Battery cell composition,tech_Total USB ports,tech_Keyboard Description,tech_Connector Type,tech_Device interface - primary,tech_OS,tech_RAM,tech_Wireless communication technologies,tech_Connectivity technologies,tech_GPS,tech_Special features,tech_Display technology,tech_Other display features,tech_Other camera features,tech_Form factor,tech_Battery Power Rating,tech_Whats in the box,tech_Item part number,tech_Number of Ethernet Ports,tech_Notebook Display Technology,tech_Number of Microphone Ports
Microsoft New Surface Laptop (7th Edition) - Windows 11 Home Copilot + PC - 13.8” LCD PixelSense Touchscreen - Qualcomm Snapdragon X Elite (12 Core) - 16GB RAM - 512GB SSD - Platinum - ZGP-00023,"1,50,990",https://www.amazon.in/Microsoft-New-Surface-Laptop-7th/dp/B0D926K43P/ref=sr_1_829?dib=eyJ2IjoiMSJ9.0R2Qiyq390-3AgFasfKMdWEy2ze3mT0ykpuLmic1lVYckQ-ZshGEr30mlq37PMFZqwkamcDIh0L0XBp5aZh1bzicAjbDcz3a3MzVdsAM-TPovI_irrDPmPgW3UzjNxTjnagDuItvRDUytfscCXD5H8ARtfYwV_8Wws0FPh_ahEvdTmqX1oAdAXP5n4k2HDQoMzv2VnWHvuM7pmSlhrncZRooJxSaEP434aboZ58lyMyWQzBKwDky89Zt2PVyjatJlI2wjx5GnEicLkP5iP1Fem82zgi3GhbknM1IjXE00k1nwgk20Q9RwV82lRRPaVmEo8xmnGExqCIe3K6DJs23ghofXjaYC1Sm52mz63Aa4yE.NmK5E9ueWR1JYs8MlyiRPApqIfYeDSNbLuuGISIlKWs&dib_tag=se&qid=1737640446&s=computers&sr=1-829&xpid=7kLlIrVHD4MiK,23-01-2025 20:08,Microsoft,Microsoft,Surface Laptop,Platinum,touchscreen,,,13.8 Inches,2304 x 1536 pixels,2304 x 1536 Pixels Per Inch,,1 Lithium Ion batteries required. (included),ZGP-00023,Qualcomm,Snapdragon,3.4 GHz,1,16 GB,LPDDR5x,DDR5 RAM,16 GB,,512 GB,SSD,Speakers,Dolby Atmos,,Qualcomm,Integrated,DDR5 SDRAM,,Integrated,"Bluetooth, Wi-Fi",,,,,15 Volts,,,,Windows 11 Home,20 Hours,13 Hours,Yes,54 Watt Hours,6,"PSU, QSG, Power Adopter, Manual Book, Safety and Warranty documents",China,1 kg 220 g,B0D926K43P,,"#41,904 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,250 in Laptops",10-Jul-24,"Tech-Com (Shanghai) Computer Co., Ltd. No. 68, SanZhuang Rd, Songjiang Export Processing Zone, Shanghai 201613, P.R. China","JAINA INDIA PRIVATE LIMITED Registered Office: D-170, OKHLA INDUSTRIAL AREA, PHASE 1, DELHI, 110020, INDIA",,1 Count,Laptop,41 x 25.3 x 6.2 cm; 1.22 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUSProArt PX13 OLED, 13.3"" 3K OLED, 60Hz 400 nits, AMD Ryzen AI 9 365 2.0GHz, Creator Laptop (24GB RAM/1TB SSD/NVIDIA GeForce RTX 4050/Windows 11/Office 2021/Nano Black/1.38 Kg), HN7306WU-LX001WS","1,79,990",https://www.amazon.in/ASUSProArt-Creator-GeForce-Windows-HN7306WU-LX001WS/dp/B0DBLQ8S88/ref=sr_1_830?dib=eyJ2IjoiMSJ9.0R2Qiyq390-3AgFasfKMdWEy2ze3mT0ykpuLmic1lVYckQ-ZshGEr30mlq37PMFZqwkamcDIh0L0XBp5aZh1bzicAjbDcz3a3MzVdsAM-TPovI_irrDPmPgW3UzjNxTjnagDuItvRDUytfscCXD5H8ARtfYwV_8Wws0FPh_ahEvdTmqX1oAdAXP5n4k2HDQoMzv2VnWHvuM7pmSlhrncZRooJxSaEP434aboZ58lyMyWQzBKwDky89Zt2PVyjatJlI2wjx5GnEicLkP5iP1Fem82zgi3GhbknM1IjXE00k1nwgk20Q9RwV82lRRPaVmEo8xmnGExqCIe3K6DJs23ghofXjaYC1Sm52mz63Aa4yE.NmK5E9ueWR1JYs8MlyiRPApqIfYeDSNbLuuGISIlKWs&dib_tag=se&qid=1737640446&s=computers&sr=1-830&xpid=7kLlIrVHD4MiK,23-01-2025 20:08,ASUS,ASUS,ProArt PX13 OLED,"Nano Black, With Offer",laptop,,,13.3 Inches,2880 x 1800 pixel,2880 x 1800 Pixels,,1 Lithium Ion batteries required. (included),HN7306WU-LX001WS,AMD,Ryzen 9,5 GHz,10,24 GB,lpddr5xlpddr5xlpddr5x,DDR5 RAM,,,,SSD,,,NVIDIA GeForce RTX 4050,AMD,Dedicated,GDDR6,6 GB,Integrated,"Bluetooth, Wi-Fi",,,,,230 Volts,No Optical Storage,,,Windows 11 Home,,,Yes,73 Watt Hours,4,"Laptop, Charging Adapter & User Manual",China,1 kg 380 g,B0DBLQ8S88,,"#42,076 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,214 in Traditional Laptops",30-Jul-24,"INVENTEC (CHONGQING) CORPORATION, NO.66, WEST DISTRICT 2ND RD, SHAPINGBA DISTRICT, CHONGQING, CHINA 401331","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veera Desai Road, Andheri (West), Mumbai 400053, India",,1 Count,Laptop,50.2 x 43.9 x 17.9 cm; 1.38 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUSProArt PX13 OLED, 13.3"" 3K OLED, 60Hz 400 nits, AMD Ryzen AI 9 365 2.0GHz, Creator Laptop (24GB RAM/1TB SSD/NVIDIA GeForce RTX 4050/Windows 11/Office 2021/Nano Black/1.38 Kg), HN7306WU-LX001WS","1,79,990",https://www.amazon.in/ASUSProArt-Creator-GeForce-Windows-HN7306WU-LX001WS/dp/B0DBLQ8S88/ref=sr_1_841?dib=eyJ2IjoiMSJ9.1L1j673is1K56PQwYTkhR9d2aFIHsSiQWqF50W7SbEglK6bm4d2-01YzHLIgn-SeSQ3PgDfpfRVEcVqV6bj0xnII5cRL5c2fQzYGUfz7VoNgrlH7h45RuvmPl8tVB2uZ0LvEPq1emteUZ-hbMjyGt52Rr6NOlMFAyOmH3a-f64xPHRjrfIq1Y4fpeWZ-UBVWNpkL88M86GS0dhyMc8ZSiCkQzKygFofrRnHNxzuLeo45idXx9kk3-A4YUNdcTLfJUNz404VvZ4I-qa5Z2qOTGxIyzLmahGsaFgzPAxr1goHPC8tvZI6KpjZCVQLuV-ZsaEmpa_y_Z5rh7hdz32r9JuMsaKZTHMopmrb9AO_qycA.Y_kA-NBrqPovQUvKP5RafYd7sXl5N5_PApuT-Ut1Tx4&dib_tag=se&qid=1737640906&s=computers&sr=1-841&xpid=7kLlIrVHD4MiK,23-01-2025 20:08,ASUS,ASUS,ProArt PX13 OLED,"Nano Black, With Offer",laptop,,,13.3 Inches,2880 x 1800 pixel,2880 x 1800 Pixels,,1 Lithium Ion batteries required. (included),HN7306WU-LX001WS,AMD,Ryzen 9,5 GHz,10,24 GB,lpddr5xlpddr5xlpddr5x,DDR5 RAM,,,,SSD,,,NVIDIA GeForce RTX 4050,AMD,Dedicated,GDDR6,6 GB,Integrated,"Bluetooth, Wi-Fi",,,,,230 Volts,No Optical Storage,,,Windows 11 Home,,,Yes,73 Watt Hours,4,"Laptop, Charging Adapter & User Manual",China,1 kg 380 g,B0DBLQ8S88,,"#42,076 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,214 in Traditional Laptops",30-Jul-24,"INVENTEC (CHONGQING) CORPORATION, NO.66, WEST DISTRICT 2ND RD, SHAPINGBA DISTRICT, CHONGQING, CHINA 401331","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veera Desai Road, Andheri (West), Mumbai 400053, India",,1 Count,Laptop,50.2 x 43.9 x 17.9 cm; 1.38 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MSI Thin 15, Intel 12th Gen. i5-12450H, 40CM FHD 144Hz Gaming Laptop (16GB/512GB NVMe SSD/Windows 11 Home/Office 2021/NVIDIA GeForce RTX 3050, GDDR6 4GB/Cosmos Gray/1.86Kg) B12UC-2241IN","58,990",https://www.amazon.in/MSI-i5-12450H-Windows-GeForce-B12UC-2241IN/dp/B0DQPV4C8Q/ref=sr_1_842?dib=eyJ2IjoiMSJ9.1L1j673is1K56PQwYTkhR9d2aFIHsSiQWqF50W7SbEglK6bm4d2-01YzHLIgn-SeSQ3PgDfpfRVEcVqV6bj0xnII5cRL5c2fQzYGUfz7VoNgrlH7h45RuvmPl8tVB2uZ0LvEPq1emteUZ-hbMjyGt52Rr6NOlMFAyOmH3a-f64xPHRjrfIq1Y4fpeWZ-UBVWNpkL88M86GS0dhyMc8ZSiCkQzKygFofrRnHNxzuLeo45idXx9kk3-A4YUNdcTLfJUNz404VvZ4I-qa5Z2qOTGxIyzLmahGsaFgzPAxr1goHPC8tvZI6KpjZCVQLuV-ZsaEmpa_y_Z5rh7hdz32r9JuMsaKZTHMopmrb9AO_qycA.Y_kA-NBrqPovQUvKP5RafYd7sXl5N5_PApuT-Ut1Tx4&dib_tag=se&qid=1737640906&s=computers&sr=1-842&xpid=7kLlIrVHD4MiK,23-01-2025 20:08,MSI,MSI,Thin 15 B12UC,Cosmos Gray,,,,40 Centimetres,,,,1 9V batteries required. (included),9S7-16R831-2241,Intel,Core i5,1.7 GHz,1,,DDR4,,64 GB,,,SSD,"Headphones, Speakers",,NVIDIA GeForce RTX 3050,Intel,Dedicated,GDDR6,4 GB,PCI Express,,,,3,1,,,,,Windows 11 Home,,,Yes,52.6 Watt Hours,3,"User Guide, Laptop, Power Adaptor",,1 kg 860 g,B0DQPV4C8Q,,"#44,274 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,297 in Traditional Laptops",17-Dec-24,"Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China","Any one of the below: 1.Acro Engineering Company C-87 DDA Sheds, Okhla Industrial Area, Phase-1, New Delhi 110020, India 2.Redington (India) Limited “Redington House” Centre Point, Plot Nos. 8 & 11 (SP) Thiru. Vi. Ka, Industrial Estate, Chennai 600032, India 3.Ingram Micro India Private Limited 5th Floor, Empire Plaza, Building A, LBS Marg, Vikhroli West, Mumbai 400083, India 4.World Peace International (India) Private Limited Building No. 26, 2nd Floor, Okhla Phase III, New Delhi 110020, India.",,1 Count,Laptop,46.2 x 31.8 x 8.6 cm; 1.86 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell 15 Thin & Light Laptop, 12th Generation Intel Core i3-1215U Processor, 8GB DDR4 + 512GB SSD, 15.6"" (39.62cm) FHD 120Hz 250 nits Display, Windows 11 + MSO'21, 15 Month McAfee, Titan Grey, 1.69kg","38,677",https://www.amazon.in/Dell-Generation-i3-1215U-Processor-39-62cm/dp/B0D832FWZX/ref=sr_1_843?dib=eyJ2IjoiMSJ9.1L1j673is1K56PQwYTkhR9d2aFIHsSiQWqF50W7SbEglK6bm4d2-01YzHLIgn-SeSQ3PgDfpfRVEcVqV6bj0xnII5cRL5c2fQzYGUfz7VoNgrlH7h45RuvmPl8tVB2uZ0LvEPq1emteUZ-hbMjyGt52Rr6NOlMFAyOmH3a-f64xPHRjrfIq1Y4fpeWZ-UBVWNpkL88M86GS0dhyMc8ZSiCkQzKygFofrRnHNxzuLeo45idXx9kk3-A4YUNdcTLfJUNz404VvZ4I-qa5Z2qOTGxIyzLmahGsaFgzPAxr1goHPC8tvZI6KpjZCVQLuV-ZsaEmpa_y_Z5rh7hdz32r9JuMsaKZTHMopmrb9AO_qycA.Y_kA-NBrqPovQUvKP5RafYd7sXl5N5_PApuT-Ut1Tx4&dib_tag=se&qid=1737640906&s=computers&sr=1-843&xpid=7kLlIrVHD4MiK,23-01-2025 20:08,Dell,Dell India Pvt. Ltd.,Vostro,"Titan Grey - i3-1215U, 8GB",Laptop,,,16 Inches,1920 x 1080 pixel,,,1 Lithium Ion batteries required. (included),,Intel,Core i3,4.4 GHz,1,8 GB,DDR4,,16 GB,,,SSD,,,,Intel,Integrated,DDR4 SDRAM,,Integrated,Wi-Fi,,1,2,,,,,,Windows 11 Home,,,Yes,41 Watt Hours,3,Laptop | Adapter | User Manual,China,1 kg 690 g,B0D832FWZX,"4.6
6 ratings
4.6 out of 5 stars","#42,208 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,224 in Traditional Laptops",26-Jun-24,Dell India Pvt. Ltd.,Dell India Pvt. Ltd.,,1 count,Laptop,52.5 x 38.7 x 10.7 cm; 1.69 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MSI Cyborg 14, Intel 13th Gen. i5-13420H, 36CM FHD+ 144Hz Gaming Laptop(8GB/512GB NVMe SSD/Windows 11 Home/MSO 2021/Nvidia GeForce RTX2050, 4GB GDDR6/Translucent Black/1.6Kg), A13UCX-206IN","56,990",https://www.amazon.in/MSI-i5-13420H-Windows-Translucent-A13UCX-206IN/dp/B0D7ZN3NMJ/ref=sr_1_844?dib=eyJ2IjoiMSJ9.1L1j673is1K56PQwYTkhR9d2aFIHsSiQWqF50W7SbEglK6bm4d2-01YzHLIgn-SeSQ3PgDfpfRVEcVqV6bj0xnII5cRL5c2fQzYGUfz7VoNgrlH7h45RuvmPl8tVB2uZ0LvEPq1emteUZ-hbMjyGt52Rr6NOlMFAyOmH3a-f64xPHRjrfIq1Y4fpeWZ-UBVWNpkL88M86GS0dhyMc8ZSiCkQzKygFofrRnHNxzuLeo45idXx9kk3-A4YUNdcTLfJUNz404VvZ4I-qa5Z2qOTGxIyzLmahGsaFgzPAxr1goHPC8tvZI6KpjZCVQLuV-ZsaEmpa_y_Z5rh7hdz32r9JuMsaKZTHMopmrb9AO_qycA.Y_kA-NBrqPovQUvKP5RafYd7sXl5N5_PApuT-Ut1Tx4&dib_tag=se&qid=1737640906&s=computers&sr=1-844&xpid=7kLlIrVHD4MiK,23-01-2025 20:08,MSI,MSI,Cyborg 14,Translucent Black,Laptop,,,36 Centimetres,1920 x 1200 pixel,,,1 Lithium Polymer batteries required. (included),,Intel,Intel Core i5,1.5 GHz,1,8,DDR5,,64 GB,5200 MHz,,SSD,"Headphones, Speakers",,NVIDIA GeForce RTX 2050,NVIDIA,Dedicated,GDDR6,4 GB,PCI Express,"Bluetooth, Wi-Fi",,,2,,5 Volts,,,,Windows 11 Home,,,Yes,,3,"Laptop, Power Adapter, Battery",,1 kg 600 g,B0D7ZN3NMJ,,"#40,468 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,163 in Traditional Laptops",25-Jun-24,"Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China","Any one of the below: 1.Acro Engineering Company C-87 DDA Sheds, Okhla Industrial Area, Phase-1, New Delhi 110020, India 2.Redington (India) Limited “Redington House” Centre Point, Plot Nos. 8 & 11 (SP) Thiru. Vi. Ka, Industrial Estate, Chennai 600032, India 3.Ingram Micro India Private Limited 5th Floor, Empire Plaza, Building A, LBS Marg, Vikhroli West, Mumbai 400083, India 4.World Peace International (India) Private Limited Building No. 26, 2nd Floor, Okhla Phase III, New Delhi 110020, India.",,1 Count,Laptop,44.9 x 29.7 x 8.7 cm; 1.6 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) Dell Latitude 14 7400 14"" Notebook - Intel Core i7-8665U - 16GB RAM - 512GB SSD","27,990",https://www.amazon.in/Renewed-Dell-Latitude-7400-Notebook/dp/B07ZG2SP94/ref=sr_1_845?dib=eyJ2IjoiMSJ9.1L1j673is1K56PQwYTkhR9d2aFIHsSiQWqF50W7SbEglK6bm4d2-01YzHLIgn-SeSQ3PgDfpfRVEcVqV6bj0xnII5cRL5c2fQzYGUfz7VoNgrlH7h45RuvmPl8tVB2uZ0LvEPq1emteUZ-hbMjyGt52Rr6NOlMFAyOmH3a-f64xPHRjrfIq1Y4fpeWZ-UBVWNpkL88M86GS0dhyMc8ZSiCkQzKygFofrRnHNxzuLeo45idXx9kk3-A4YUNdcTLfJUNz404VvZ4I-qa5Z2qOTGxIyzLmahGsaFgzPAxr1goHPC8tvZI6KpjZCVQLuV-ZsaEmpa_y_Z5rh7hdz32r9JuMsaKZTHMopmrb9AO_qycA.Y_kA-NBrqPovQUvKP5RafYd7sXl5N5_PApuT-Ut1Tx4&dib_tag=se&qid=1737640906&s=computers&sr=1-845&xpid=7kLlIrVHD4MiK,23-01-2025 20:08,Dell,intel,7400,black,Laptop,3 Inches,14 Inches,14 Inches,1366x768,1920 x 1080 Pixels,45.72 x 35.56 x 7.62 cm; 1.36 kg,1 Lithium Ion batteries required. (included),Latitude 7400,Intel,Core i7 Family,1.9 GHz,4,16 GB,DDR4,DDR4 SDRAM,16 GB,1900 GHz,512 GB,SSD,Speakers,,Intel UHD Graphics 620,Intel,Integrated,DDR4 SDRAM,16 GB,Integrated,Wi-Fi,Bluetooth,1,,1,15 Volts,,,Battery Powered,Windows 10 Pro,,13 Hours,Yes,8.7 Watt Hours,9,"Lithium Polymer Battery, Power Cord, Latitude 7400, AC Adapter, Documentation Disks: Safety/Environment and Regulatory Guide (English/French Multi-language)",,1 kg 360 g,B07ZG2SP94,"3.6
251 ratings
3.6 out of 5 stars","#40,220 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,151 in Traditional Laptops",22-Apr-22,,,45.7 x 35.6 x 7.6 Centimeters,,"Dell Latitude 14 7400 14"" Notebook - Intel Core i7-8665U - 16GB RAM - 512GB SSD",,Solid State,0.01 RPM,Windows,,,,,,,4.9 Watt Hours,0.18 Grams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Chromebook 14, Intel Processor N200, ChromeOS, 14-inch (35.6 cm), HD, Touchscreen, 8GB LPDDR5, 128GB UFS, Intel UHD Graphics, 720p HD Camera w/Privacy Shutter (Silver, 1.45 kg), nf0016TU","37,099",https://www.amazon.in/HP-Chromebook-Processor-ChromeOS-Touchscreen/dp/B0D628CFRM/ref=sr_1_846?dib=eyJ2IjoiMSJ9.1L1j673is1K56PQwYTkhR9d2aFIHsSiQWqF50W7SbEglK6bm4d2-01YzHLIgn-SeSQ3PgDfpfRVEcVqV6bj0xnII5cRL5c2fQzYGUfz7VoNgrlH7h45RuvmPl8tVB2uZ0LvEPq1emteUZ-hbMjyGt52Rr6NOlMFAyOmH3a-f64xPHRjrfIq1Y4fpeWZ-UBVWNpkL88M86GS0dhyMc8ZSiCkQzKygFofrRnHNxzuLeo45idXx9kk3-A4YUNdcTLfJUNz404VvZ4I-qa5Z2qOTGxIyzLmahGsaFgzPAxr1goHPC8tvZI6KpjZCVQLuV-ZsaEmpa_y_Z5rh7hdz32r9JuMsaKZTHMopmrb9AO_qycA.Y_kA-NBrqPovQUvKP5RafYd7sXl5N5_PApuT-Ut1Tx4&dib_tag=se&qid=1737640906&s=computers&sr=1-846&xpid=7kLlIrVHD4MiK,23-01-2025 20:08,HP,HP,14a-nf0016tu,ChromeOS 8GB 128GB,"Laptop, Chromebook",45 Centimeters,31.1 Centimeters,35.6 Centimetres,1366 x 768,,7.1 x 31.1 x 45 cm; 2.04 kg,1 Lithium Polymer batteries required. (included),A95C0PA,Intel,Others,3.7 GHz,1,,Lpddr 5,,8 GB,,,,,,,Intel,Integrated,GDDR5,,Integrated,"Bluetooth, Wi-Fi",,,,,,,,,Chrome OS,,12 Hours,Yes,47 Watt Hours,2,"Laptop, Charger, User Manual",China,2 kg 40 g,B0D628CFRM,,"#43,257 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,261 in Traditional Laptops",04-Jun-24,HP India Sales Pvt. Ltd.,HP India Sales Pvt. Ltd.,7.1 x 31.1 x 45 Centimeters,1 Count,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SDD/Windows 11/Office 2021/1Yr Warranty/3months Game Pass/Arctic Grey/1.65Kg), 82H803GVIN","35,500",https://www.amazon.in/Lenovo-IdeaPad-Windows-Warranty-82H801L7IN/dp/B09NP4KXMS/ref=sr_1_847?dib=eyJ2IjoiMSJ9.1L1j673is1K56PQwYTkhR9d2aFIHsSiQWqF50W7SbEglK6bm4d2-01YzHLIgn-SeSQ3PgDfpfRVEcVqV6bj0xnII5cRL5c2fQzYGUfz7VoNgrlH7h45RuvmPl8tVB2uZ0LvEPq1emteUZ-hbMjyGt52Rr6NOlMFAyOmH3a-f64xPHRjrfIq1Y4fpeWZ-UBVWNpkL88M86GS0dhyMc8ZSiCkQzKygFofrRnHNxzuLeo45idXx9kk3-A4YUNdcTLfJUNz404VvZ4I-qa5Z2qOTGxIyzLmahGsaFgzPAxr1goHPC8tvZI6KpjZCVQLuV-ZsaEmpa_y_Z5rh7hdz32r9JuMsaKZTHMopmrb9AO_qycA.Y_kA-NBrqPovQUvKP5RafYd7sXl5N5_PApuT-Ut1Tx4&dib_tag=se&qid=1737640906&s=computers&sr=1-847&xpid=7kLlIrVHD4MiK,23-01-2025 20:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad Slim 3 AMD Ryzen™ 3 7320U 14"" FHD Thin and Light Laptop (8 GB/512GB SDD/Windows 11 Home/Office Home & Student 2021/1Yr ADP Free/Arctic Grey/1.37Kg), 82XN006JIN","32,990",https://www.amazon.in/Lenovo-IdeaPad-RyzenTM-Windows-82XN006JIN/dp/B0DR8TXKX4/ref=sr_1_848?dib=eyJ2IjoiMSJ9.1L1j673is1K56PQwYTkhR9d2aFIHsSiQWqF50W7SbEglK6bm4d2-01YzHLIgn-SeSQ3PgDfpfRVEcVqV6bj0xnII5cRL5c2fQzYGUfz7VoNgrlH7h45RuvmPl8tVB2uZ0LvEPq1emteUZ-hbMjyGt52Rr6NOlMFAyOmH3a-f64xPHRjrfIq1Y4fpeWZ-UBVWNpkL88M86GS0dhyMc8ZSiCkQzKygFofrRnHNxzuLeo45idXx9kk3-A4YUNdcTLfJUNz404VvZ4I-qa5Z2qOTGxIyzLmahGsaFgzPAxr1goHPC8tvZI6KpjZCVQLuV-ZsaEmpa_y_Z5rh7hdz32r9JuMsaKZTHMopmrb9AO_qycA.Y_kA-NBrqPovQUvKP5RafYd7sXl5N5_PApuT-Ut1Tx4&dib_tag=se&qid=1737640906&s=computers&sr=1-848&xpid=7kLlIrVHD4MiK,23-01-2025 20:08,Lenovo,Lenovo,IdeaPad Slim 3,Arctic Grey,Ultra-Portable,,,14 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,,1 Lithium Polymer batteries required. (included),14AMN8,AMD,Ryzen 3,2.4 GHz,5,,Lpddr 5,DDR5 RAM,8 GB,,512 GB,SSD,"Headphones, Speakers","Stereo speakers, 1.5W x2, Dolby Audio",Integrated AMD Radeon 610M Graphics,Intel,Integrated,Shared,,Integrated,Wi-Fi,"Bluetooth, 802.11ax",,3,1,,No Optical Drive,,,Windows 11 Home,,14.2 Hours,Yes,,4,"User Guide, Laptop, Power Adapter, Warranty Card",,1 kg 370 g,B0DR8TXKX4,,"#44,105 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,288 in Traditional Laptops",23-Dec-24,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",,1 Piece,Laptop,48.79 x 29.6 x 7 cm; 1.37 kg,PCIE x 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
