title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Product Dimensions,tech_Batteries,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_Memory Technology,tech_Maximum Memory Supported,tech_Hard Drive Size,tech_Hard Disk Description,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Ram Size,tech_Graphics Card Interface,tech_Connectivity Type,tech_Voltage,tech_Operating System,tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Number of Lithium Ion Cells,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Packer,info_Importer,info_Item Dimensions LxWxH,info_Net Quantity,info_Generic Name,tech_Resolution,tech_RAM Size,tech_Hard Drive Interface,tech_Speaker Description,tech_Graphics Coprocessor,tech_Number of HDMI Ports,tech_Wattage,tech_Average Battery Life (in hours),tech_Computer Memory Type,tech_Audio Details,tech_Number of USB 2.0 Ports,tech_Number of USB 3.0 Ports,tech_Power Source,tech_Package Dimensions,tech_Optical Drive Type,tech_Model,tech_Model Name,tech_Model Year,tech_Memory Storage Capacity,tech_Memory Slots Available,tech_Flash Memory Installed Size,tech_Ram Memory Installed Size,tech_RAM memory maximum size,tech_Ram Memory Technology,tech_Processor model number,tech_Hardware Interface,tech_Compatible Devices,tech_Special Features,tech_Chipset Type,tech_Mounting Hardware,tech_Number of items,tech_Software included,tech_Display Technology,tech_Display Type,tech_Aspect Ratio,tech_Audio Output Type,tech_Batteries Included,tech_Batteries Required,tech_Battery cell composition,tech_Wireless Type,tech_Refresh Rate,tech_Number of Ports,tech_Total USB ports,tech_Keyboard Description,tech_Connector Type,tech_Device interface - primary,tech_Device type,tech_Hard Disk Rotational Speed,tech_Hardware Platform,tech_Lithium Battery Weight,tech_Memory Clock Speed,tech_Number of Lithium Metal Cells,tech_Front Webcam Resolution,tech_Average Battery Standby Life (in hours),tech_Notebook Display Technology,tech_Number of Ethernet Ports,tech_Number of Microphone Ports,tech_Battery Description,tech_Number of Audio-out Ports
"(Renewed) Lenovo ThinkPad T470 intel 6th Gen Core i5 Laptop, 8 GB RAM, 256GB SSD, 14 inch (36.83 cms), Windows 11 (Upgraded), MS Office, Black","17,810",https://www.amazon.in/Renewed-Lenovo-ThinkPad-T470-Upgraded/dp/B09RFWMS47/ref=sr_1_971?dib=eyJ2IjoiMSJ9.89t2ROOgzqzp1-GoEyf_lL3bKCyg8CHhO1oNcP3rTn0lVwgVzrDtVlfFsx_sfd1RjyrZnR7cPCE-_qWfKxZr6DTkTAnQB7DWzW6-yG2Tog19wHNoP251gZBc0DHDijD58sVyGz5afR3kFlC3--lqjSky3FGgEVE21ozKv6ukwDaKnpsxJrVNQVOnZXH15-4Xx32392M2-7cuvedVbpfoFM-kVaVNBdyni4ewIPXA7ZXsu28r6i4rRe-rFgKKLwnlkWvESAqSqT5d72NvlpkJqarLjpfitpZOAJ-Xo2Yg3Z2rF2tGUWqDTA4e_R6O1h0ga3Mf4mh2j8xa4BmDWneA-o8JQj1U0TLpyxlzsa-p5D8.9gihtqABX0ymxTWqPqgmPVh2NAUp0H34eKFJ8jj1g8g&dib_tag=se&qid=1737655238&s=computers&sr=1-971&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,Lenovo,Lenovo,ThinkPad-cr,Black,Laptop,2 Centimeters,23.24 Centimeters,14 Inches,1280 x 720 pixels,33.65 x 23.24 x 2 cm; 1.75 kg,1 Lithium Ion batteries required. (included),T470,Intel,Core i5,2.3 GHz,1,DDR4,8 GB,256 GB,SSD,Intel,Integrated,DDR4 SDRAM,16.00,Integrated,802_11_BGN,,Windows 11,Yes,48 Kilowatt Hours,3,"charger, laptop",,1 kg 750 g,B09RFWMS47,"3.3
155 ratings
3.3 out of 5 stars","#45,400 in Computers & Accessories (See Top 100 in Computers & Accessories)
#104 in Refurbished Deals
#155 in Renewed Black Friday and Cyber Monday Sale
#427 in Valentine's Day (Amazon Renewed)",28 January 2022,"reeligo,Office No 605,6th Floor, Arcadia Tower,Sector 49,Gurgaon",,33.6 x 23.2 x 2 Centimeters,1.00 count,Business Laptop,HD (1366 X 768) MP,8 GB,Solid State,,INTEL,1,,,DDR4 SDRAM,Speakers,1,2,,,No Optical Drive,,,,,,,,,,,,,,,,,,,,,,,,,802.11bgn,,,,,,,,5400 RPM,Windows,,,,,,LED,1,1,,
"(Renewed) HP Laptop 348G3 Intel Core i5 - 6200u Processor 14.1 Inches 8 GB Ram & 128 GB SSD, Windows 10, Premium Business Notebook Computer (Silver, 1.95Kg)","20,500",https://www.amazon.in/Renewed-HP-Laptop-348G3-Intel/dp/B08JZD3W98/ref=sr_1_972?dib=eyJ2IjoiMSJ9.89t2ROOgzqzp1-GoEyf_lL3bKCyg8CHhO1oNcP3rTn0lVwgVzrDtVlfFsx_sfd1RjyrZnR7cPCE-_qWfKxZr6DTkTAnQB7DWzW6-yG2Tog19wHNoP251gZBc0DHDijD58sVyGz5afR3kFlC3--lqjSky3FGgEVE21ozKv6ukwDaKnpsxJrVNQVOnZXH15-4Xx32392M2-7cuvedVbpfoFM-kVaVNBdyni4ewIPXA7ZXsu28r6i4rRe-rFgKKLwnlkWvESAqSqT5d72NvlpkJqarLjpfitpZOAJ-Xo2Yg3Z2rF2tGUWqDTA4e_R6O1h0ga3Mf4mh2j8xa4BmDWneA-o8JQj1U0TLpyxlzsa-p5D8.9gihtqABX0ymxTWqPqgmPVh2NAUp0H34eKFJ8jj1g8g&dib_tag=se&qid=1737655238&s=computers&sr=1-972&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,HP,HP,348G3,Silver,Notebook,2.5 Inches,24 Inches,14 Inches,1600x900,88.9 x 60.96 x 6.35 cm; 1.95 kg,,348G3-i5-8-128-cr,Intel,Core i5 6200U,,1,,,128 GB,SSD,Intel,,,8 GB,,Wi-Fi,,Windows 10 Pro,,,,,,1 kg 950 g,B08JZD3W98,"3.4
26 ratings
3.4 out of 5 stars","#51,383 in Computers & Accessories (See Top 100 in Computers & Accessories)
#68 in Celebrate Ganesha Chaturthi with Renewed
#529 in Valentine's Day (Amazon Renewed)
#1,530 in Traditional Laptops",24 September 2020,,,88.9 x 61 x 6.4 Centimeters,,,HD (1366 X 768) Pixels,8 GB,eSATA,,Intel,,,,,,,,Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400 RPM,Windows,,,,,,,,,,
"Acer Chromebook Intel Core i3-1315U Processor (Chrome OS/8 GB RAM/256 GB SSD/Intel Integrated Graphics/WiFi 6/53 Wh Battery) CB515-2H with 39.6 cm (15.6"") Full HD IPS Display, Silver, 1.68 KG","31,990",https://www.amazon.in/Acer-Chromebook-i3-1315U-Processor-Integrated/dp/B0D54BP8YK/ref=sr_1_973?dib=eyJ2IjoiMSJ9.89t2ROOgzqzp1-GoEyf_lL3bKCyg8CHhO1oNcP3rTn0lVwgVzrDtVlfFsx_sfd1RjyrZnR7cPCE-_qWfKxZr6DTkTAnQB7DWzW6-yG2Tog19wHNoP251gZBc0DHDijD58sVyGz5afR3kFlC3--lqjSky3FGgEVE21ozKv6ukwDaKnpsxJrVNQVOnZXH15-4Xx32392M2-7cuvedVbpfoFM-kVaVNBdyni4ewIPXA7ZXsu28r6i4rRe-rFgKKLwnlkWvESAqSqT5d72NvlpkJqarLjpfitpZOAJ-Xo2Yg3Z2rF2tGUWqDTA4e_R6O1h0ga3Mf4mh2j8xa4BmDWneA-o8JQj1U0TLpyxlzsa-p5D8.9gihtqABX0ymxTWqPqgmPVh2NAUp0H34eKFJ8jj1g8g&dib_tag=se&qid=1737655238&s=computers&sr=1-973&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,Acer,Acer,CB515-2H,Silver,chromebook,55.4 Centimeters,42.2 Centimeters,15.6 Inches,1920 x 1080 pixels,11 x 42.2 x 55.4 cm; 2.87 kg,1 Lithium Ion batteries required. (included),NX.KNUSI.002,Intel,Core i3,3.3 GHz,1,Lpddr 5,8 GB,,SSD,Intel,Integrated,DRAM,,Integrated,Bluetooth,,Chrome OS,Yes,53 Watt Hours,3,"1U (contains Laptop 1N, Power cord 1N, Adapter 1N, User Manual 1N)",,2 kg 870 g,B0D54BP8YK,"1.0
1 rating
1.0 out of 5 stars","#58,734 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,789 in Traditional Laptops",22 May 2024,"Quanta, Tech-Front (Chongqing) Computer Co.,Ltd, (Quanta Chongqing), 18#,Zongbao Road, Shapingba District, Chongqing, China","ACER INDIA PRIVATE LIMITED, Embassy Heights, 6th Floor, No. 13, Magrath Road, Next to HOSMAT Hospital, Bangalore, INDIA – 560025",11 x 42.2 x 55.4 Centimeters,1 Count,laptops,1920 x 1080 Pixels,,Solid State,,Intel UHD Graphics,,,,,Speakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.8 Grams,,3,,,,,,,
"HP 255 G9 Ryzen 5 Hexa Core AMD -5625U - (8 GB/512 GB SSD/Windows 11 Home) 255 G9 Business Laptop (15.6 inch, Silver, 1.75 kg)","31,900",https://www.amazon.in/HP-255-G9-5-5625U-Business/dp/B0C2VXVPBD/ref=sr_1_974?dib=eyJ2IjoiMSJ9.89t2ROOgzqzp1-GoEyf_lL3bKCyg8CHhO1oNcP3rTn0lVwgVzrDtVlfFsx_sfd1RjyrZnR7cPCE-_qWfKxZr6DTkTAnQB7DWzW6-yG2Tog19wHNoP251gZBc0DHDijD58sVyGz5afR3kFlC3--lqjSky3FGgEVE21ozKv6ukwDaKnpsxJrVNQVOnZXH15-4Xx32392M2-7cuvedVbpfoFM-kVaVNBdyni4ewIPXA7ZXsu28r6i4rRe-rFgKKLwnlkWvESAqSqT5d72NvlpkJqarLjpfitpZOAJ-Xo2Yg3Z2rF2tGUWqDTA4e_R6O1h0ga3Mf4mh2j8xa4BmDWneA-o8JQj1U0TLpyxlzsa-p5D8.9gihtqABX0ymxTWqPqgmPVh2NAUp0H34eKFJ8jj1g8g&dib_tag=se&qid=1737655238&s=computers&sr=1-974&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,HP,Techfront China,G9,Silver,Laptop,52.2 Centimeters,7.2 Centimeters,15.6 Inches,1024 x 768 pixels,52.2 x 7.2 x 52.2 cm; 1.75 kg,1 Lithium Ion batteries required. (included),255 G9,AMD,AMD Ryzen 5 5500U,2.6 GHz,1,DDR4,8 GB,512 GB,SSD,AMD,Integrated,SDRAM,8 GB,Integrated,Wi-Fi,,Windows 11,Yes,2.6 Watt Hours,1,"Power Cable, adaptor, laptop",,1 kg 750 g,B0C2VXVPBD,"4.0
1 rating
4.0 out of 5 stars","#56,016 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,680 in Traditional Laptops",18 April 2023,TECHFRONT CHINA,HP SALES INDIA,52.2 x 7.2 x 52.2 Centimeters,1 count,Business Laptop,1366 x 768 Pixels,8 GB,Solid State,,AMD Radeon R5,,,,DDR4 SDRAM,Headphones,2,1,Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,802.11a,,,,,,,,2400,PC,0.65 Grams,,,,4 Hours,,,,,
"Lenovo Legion 5 Pro AMD Ryzen 7 5800H 16"" (40.64cm) WQXGA-IPS 165Hz 500Nits Gaming Laptop (16GB/512GB SSD/Win 11/Office 2021/NVIDIA RTX 3060 6GB/Alexa/3 Month Game Pass/Storm Grey/2.45Kg), 82JQ010EIN","1,02,990",https://www.amazon.in/Lenovo-40-64cm-WQXGA-IPS-500Nits-82JQ010EIN/dp/B0CHMFRR1C/ref=sr_1_985?dib=eyJ2IjoiMSJ9.5nXs_o95DdhTBqpZDOwOWDP6o1ZtMePwtCpexWo2L3uHJQ7OKiYUTez4uZGHsX_hdxn9GQiZ_3yKqeJHKLMKJjYTzI_yGxJUWug7HBaenYT-0PCDRvcM0mDo-X7MfkNIUjWUzFsoUr_dZ9bcWoUco1LSx6qYakRmYZdflpMrdhlzE-rJm7ikTikDTWN9JahvbliaBaFNQhiiCtSkdDMcdK0AqSBGcdfKUoTsRVd30poYuxySiFQRSIten_NCiF88GCBx-qGtQUZ7mBOIYo92TcVdTzvDmXnYPyN_RJlYjvDtf9bSKvfyV9UE5TcNDh8aRV8W2onr1X8NiP4UMcCDI1QzYTRw9mD39BrWLN_Mqyo.nwNfhH1LJ-Q2UIglwUxOyy_wi_atMlioM2sjlMCeccw&dib_tag=se&qid=1737655731&s=computers&sr=1-985&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,Lenovo,Lenovo,Legion 5 Pro 16ACH6H,Storm Grey,Gaming Laptop,56.8 Centimeters,8.9 Centimeters,16 Inches,2560 x 1600 pixel,56.8 x 8.9 x 56.8 cm; 2.45 kg,1 Lithium Ion batteries required. (included),82JQ010EIN,AMD,Ryzen 7,3.2 GHz,8,DDR5,32 GB,512 GB,SSD,NVIDIA,Dedicated,Shared,6 GB,PCI Express,Wi-Fi,,Windows 11 Home,Yes,80 Watt Hours,4,Laptop,China,2 kg 450 g,B0CHMFRR1C,"4.2
141 ratings
4.2 out of 5 stars","#51,202 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,523 in Traditional Laptops",8 September 2023,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",56.8 x 8.9 x 56.8 Centimeters,1 Piece,Laptop,2560 x 1600 Pixels,16 GB,PCIE x 4,"Stereo speakers, 2W x2, optimized with Nahimic Audio",NVIDIA GeForce RTX 3060,1,80 Watt Hours,6 Hours,DDR4 SDRAM,"Headphones, Speakers",,6,,,No Optical Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720 Pixels,,,,,,
"Dell G15-5530 Gaming 13Th Gen Laptop,I7-13650Hx Processor/16Gb/512Gb Ssd/Nvidia RTX 4050 6Gb Gddr6/15.6"" Fhd 120Hz 250 Nits/Win 11 + Mso'21/Backlit Kb 4-Zone RGB/Dark Shadow Gray/2.65Kg-Intel","96,990",https://www.amazon.in/Dell-G15-5530-i7-13650HX-Processor-39-62cm/dp/B0C4Z8ZP9N/ref=sr_1_986?dib=eyJ2IjoiMSJ9.5nXs_o95DdhTBqpZDOwOWDP6o1ZtMePwtCpexWo2L3uHJQ7OKiYUTez4uZGHsX_hdxn9GQiZ_3yKqeJHKLMKJjYTzI_yGxJUWug7HBaenYT-0PCDRvcM0mDo-X7MfkNIUjWUzFsoUr_dZ9bcWoUco1LSx6qYakRmYZdflpMrdhlzE-rJm7ikTikDTWN9JahvbliaBaFNQhiiCtSkdDMcdK0AqSBGcdfKUoTsRVd30poYuxySiFQRSIten_NCiF88GCBx-qGtQUZ7mBOIYo92TcVdTzvDmXnYPyN_RJlYjvDtf9bSKvfyV9UE5TcNDh8aRV8W2onr1X8NiP4UMcCDI1QzYTRw9mD39BrWLN_Mqyo.nwNfhH1LJ-Q2UIglwUxOyy_wi_atMlioM2sjlMCeccw&dib_tag=se&qid=1737655731&s=computers&sr=1-986&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,Dell,Dell India Pvt Ltd,G Series,Dark Shadow Gray,Laptop,58 Centimeters,8.1 Centimeters,15.6 Inches,1920 x 1080 pixels,58 x 8.1 x 58 cm; 2.65 kg,1 Lithium Ion batteries required. (included),G15-5530,Intel,Core i7,3.6 GHz,1,DDR5,32 GB,512 GB,SSD,NVIDIA,Dedicated,GDDR6,6 GB,PCI Express,"Bluetooth, Wi-Fi",240 Volts,Windows 11 Home,Yes,86 Watt Hours,1,"Laptop, Battery, AC Adapter, User Guide, Manuals",China,2 kg 650 g,B0C4Z8ZP9N,"1.8
5 ratings
1.8 out of 5 stars","#56,004 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,679 in Traditional Laptops",11 May 2023,Dell India Pvt Ltd,Dell India Pvt Ltd,58 x 8.1 x 58 Centimeters,1 Count,Laptop,,16 GB,,,,,,,,Headphones,,4,Battery Powered,,No Optical Device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo V15 Intel Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/DOS/Black/1Y Onsite/1.7 kg), 82QYA00HIN","22,590",https://www.amazon.in/Lenovo-Celeron-1920x1080-Antiglare-82QYA00HIN/dp/B0C28GQ3YL/ref=sr_1_987?dib=eyJ2IjoiMSJ9.5nXs_o95DdhTBqpZDOwOWDP6o1ZtMePwtCpexWo2L3uHJQ7OKiYUTez4uZGHsX_hdxn9GQiZ_3yKqeJHKLMKJjYTzI_yGxJUWug7HBaenYT-0PCDRvcM0mDo-X7MfkNIUjWUzFsoUr_dZ9bcWoUco1LSx6qYakRmYZdflpMrdhlzE-rJm7ikTikDTWN9JahvbliaBaFNQhiiCtSkdDMcdK0AqSBGcdfKUoTsRVd30poYuxySiFQRSIten_NCiF88GCBx-qGtQUZ7mBOIYo92TcVdTzvDmXnYPyN_RJlYjvDtf9bSKvfyV9UE5TcNDh8aRV8W2onr1X8NiP4UMcCDI1QzYTRw9mD39BrWLN_Mqyo.nwNfhH1LJ-Q2UIglwUxOyy_wi_atMlioM2sjlMCeccw&dib_tag=se&qid=1737655731&s=computers&sr=1-987&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,Lenovo,Lenovo,Lenovo V15 G2 IJL,Black,Laptop,53.5 Centimeters,35.2 Centimeters,15.6 Inches,1920 x 1080 pixel,7.3 x 35.2 x 53.5 cm; 2.37 kg,1 Lithium Polymer batteries required. (included),,Intel,Celeron,1.1,1,DDR4,8 GB,256 GB,SSD,Intel,Integrated,Shared,,Integrated,Wi-Fi,,DOS,Yes,38 Watt Hours,2,"Laptop, User manual, Adapter",,2 kg 370 g,B0C28GQ3YL,"3.4
44 ratings
3.4 out of 5 stars","#47,375 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,395 in Traditional Laptops",12 April 2023,"LCFC (HeFei) Electronics Technology Co., Ltd. No.3188-1, Yungu Road, Economics and Technology Development District, Hefei, Anhui-230601, China","Lenovo India Pvt Ltd, RBD Icon, 2nd Floor, Doddenekundi, Marathaalli Outer Ring Road, Bangalore, India 560037",7.3 x 35.2 x 53.5 Centimeters,1 Case,Laptop,1920x1080,8 GB,ATA,,Intel UHD Graphics 600,1,,,DDR4 SDRAM,Headphones,1,,Battery Powered,,No Optical Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2933 MHz,,,,,,,,
"(Refurbished) DELL Latitude 5490 Core i5 8th Gen Laptop, 16 GB RAM, 1TB SSD, Intel HD Graphics, 14 inch (36.83 cms) HD Screen, Windows 11 (Upgraded), MS Office, Black, Slim","23,199",https://www.amazon.in/Renewed-Latitude-Graphics-Windows-Upgraded/dp/B0BD48M15Z/ref=sr_1_988?dib=eyJ2IjoiMSJ9.5nXs_o95DdhTBqpZDOwOWDP6o1ZtMePwtCpexWo2L3uHJQ7OKiYUTez4uZGHsX_hdxn9GQiZ_3yKqeJHKLMKJjYTzI_yGxJUWug7HBaenYT-0PCDRvcM0mDo-X7MfkNIUjWUzFsoUr_dZ9bcWoUco1LSx6qYakRmYZdflpMrdhlzE-rJm7ikTikDTWN9JahvbliaBaFNQhiiCtSkdDMcdK0AqSBGcdfKUoTsRVd30poYuxySiFQRSIten_NCiF88GCBx-qGtQUZ7mBOIYo92TcVdTzvDmXnYPyN_RJlYjvDtf9bSKvfyV9UE5TcNDh8aRV8W2onr1X8NiP4UMcCDI1QzYTRw9mD39BrWLN_Mqyo.nwNfhH1LJ-Q2UIglwUxOyy_wi_atMlioM2sjlMCeccw&dib_tag=se&qid=1737655731&s=computers&sr=1-988&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,Dell,DELL,741-cr,Black,Clamshell,2.7 Centimeters,23.1 Centimeters,14 Inches,1280 x 720 pixels,33.4 x 23.1 x 2.7 cm; 2.5 kg,1 Lithium Ion batteries required. (included),5490-cr,Intel,Core i5 Family,1.6 GHz,1,DDR4,16 GB,1 TB,SSD,Intel,Integrated,DDR4 SDRAM,2.00,Integrated,802_11_BGN,,Windows 10 Pro,Yes,48 Kilowatt Hours,3,"charger, laptop",,2 kg 500 g,B0BD48M15Z,"3.5
17 ratings
3.5 out of 5 stars","#55,318 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,657 in Traditional Laptops",5 September 2022,,,33.4 x 23.1 x 2.7 Centimeters,1.00 count,Business Laptop,1366 x 768,16 GB,Solid State,,INTEL,,,,DDR4 SDRAM,Speakers,,2,,,No Optical Drive,,,,,,,,,,,,,,,,,,,,,,,,,802.11bgn,,,,,,,,5400 RPM,"Linux, Windows",20 Grams,,,,,LED,1,1,,
"(Refurbished) ASUS TUF Gaming F17, Intel Core i5-11400H 11th Gen, 17.3-inch (43.94 cm) FHD 144Hz, Gaming Laptop (8GB/512GB SSD/4GB NVIDIA GeForce RTX 2050/Win 11/ RGB Backlit KB/Black/2.60 kg), FX706HF-HX018W","47,999",https://www.amazon.in/Refurbished-ASUS-i5-11400H-17-3-inch-FX706HF-HX018W/dp/B0CK1LH2YB/ref=sr_1_990?dib=eyJ2IjoiMSJ9.5nXs_o95DdhTBqpZDOwOWDP6o1ZtMePwtCpexWo2L3uHJQ7OKiYUTez4uZGHsX_hdxn9GQiZ_3yKqeJHKLMKJjYTzI_yGxJUWug7HBaenYT-0PCDRvcM0mDo-X7MfkNIUjWUzFsoUr_dZ9bcWoUco1LSx6qYakRmYZdflpMrdhlzE-rJm7ikTikDTWN9JahvbliaBaFNQhiiCtSkdDMcdK0AqSBGcdfKUoTsRVd30poYuxySiFQRSIten_NCiF88GCBx-qGtQUZ7mBOIYo92TcVdTzvDmXnYPyN_RJlYjvDtf9bSKvfyV9UE5TcNDh8aRV8W2onr1X8NiP4UMcCDI1QzYTRw9mD39BrWLN_Mqyo.nwNfhH1LJ-Q2UIglwUxOyy_wi_atMlioM2sjlMCeccw&dib_tag=se&qid=1737655731&s=computers&sr=1-990&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,ASUS,ASUS,TUF Gaming F17,Graphite Black,Ultra-Portable,,,17.3 Inches,1920 x 1080 pixels,,,FX706HF-HX018W-cr,Intel,Core i5,4.5 GHz,6,DDR4,32 GB,512 GB,SSD,NVIDIA,Dedicated,GDDR6,4 GB,,"Bluetooth, Wi-Fi",20 Volts (DC),Windows 11 Home,Yes,,3,"Laptop, Adapter & User Manual",Taiwan,2 kg 600 g,B0CK1LH2YB,"5.0
2 ratings
5.0 out of 5 stars","#54,353 in Computers & Accessories (See Top 100 in Computers & Accessories)
#166 in 4 star rated refurbished products
#1,625 in Traditional Laptops",28 September 2023,,,,1 Count,Gaming Laptop,1920 x 1080 Pixels,8,PCIE x 4,,NVIDIA GeForce RTX 2050,1,150 Watts,6 Hours,SODIMM,,,,Battery Powered,49 x 34.4 x 10.4 cm; 2.6 kg,,,,,,,,,,,,,,,,,,,,,,,,,,"Bluetooth, 802.11ax",,,,,,,,,PC,,3200 GHz,,,8 Hours,,,,lithium-polymer,
"Lenovo ThinkBook 16 Intel 13th Gen Core i5 16"" (40.64cm) WUXGA IPS 300 Nits Antiglare Thin and Light Laptop (16GB/512GB SSD/Win 11 Home/Backlit Keyboard/Arctic Grey/1.7 Kg), 21KHA081IN","61,599",https://www.amazon.in/Lenovo-ThinkBook-Antiglare-Keyboard-21KHA081IN/dp/B0D82F4JMC/ref=sr_1_991?dib=eyJ2IjoiMSJ9.5nXs_o95DdhTBqpZDOwOWDP6o1ZtMePwtCpexWo2L3uHJQ7OKiYUTez4uZGHsX_hdxn9GQiZ_3yKqeJHKLMKJjYTzI_yGxJUWug7HBaenYT-0PCDRvcM0mDo-X7MfkNIUjWUzFsoUr_dZ9bcWoUco1LSx6qYakRmYZdflpMrdhlzE-rJm7ikTikDTWN9JahvbliaBaFNQhiiCtSkdDMcdK0AqSBGcdfKUoTsRVd30poYuxySiFQRSIten_NCiF88GCBx-qGtQUZ7mBOIYo92TcVdTzvDmXnYPyN_RJlYjvDtf9bSKvfyV9UE5TcNDh8aRV8W2onr1X8NiP4UMcCDI1QzYTRw9mD39BrWLN_Mqyo.nwNfhH1LJ-Q2UIglwUxOyy_wi_atMlioM2sjlMCeccw&dib_tag=se&qid=1737655731&s=computers&sr=1-991&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,Lenovo,Lenovo,ThinkBook 16 G6,Arctic grey,Laptop,,,16 Inches,,,1 Lithium Polymer batteries required. (included),,Intel,Core i5,1.3 GHz,1,DDR5,64 GB,,SSD,Intel,Integrated,Shared,,Integrated,"Bluetooth, Wi-Fi",,Windows 11 Home,Yes,45 Watt Hours,3,"Laptop, User manual, Adapter",,1 kg 700 g,B0D82F4JMC,"5.0
2 ratings
5.0 out of 5 stars","#57,779 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,754 in Traditional Laptops",25 June 2024,"WISTRON INFOCOMM (CHONGQING) CO., LTD. 18-9, BAOHONG AVENUE, WANGJIA SUB-DISTRICT, YUBEI DISTRICT, CHONGQING, CHINA","Lenovo India Pvt Ltd RBD Icon, 2nd Floor, Doddenekundi Marathaalli Outer Ring Road Bangalore, India 560037",,1 Case,Laptop,,16,,,,,,,,"Headphones, Speakers",,,,50.2 x 31.7 x 7.4 cm; 1.7 kg,No Optical Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
