title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Standing screen display size,tech_Screen Resolution,tech_Resolution,tech_Package Dimensions,tech_Batteries,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_Memory Technology,tech_Maximum Memory Supported,tech_Hard Disk Description,tech_Hard Drive Interface,tech_Audio Details,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Interface,tech_Connectivity Type,tech_Operating System,tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Lithium Battery Weight,tech_Number of Lithium Ion Cells,tech_Number of Lithium Metal Cells,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Best Sellers Rank,info_Date First Available,info_Packer,info_Importer,info_Net Quantity,info_Generic Name,tech_Item Height,tech_Item Width,tech_Product Dimensions,tech_Hard Drive Size,tech_Optical Drive Type,info_Customer Reviews,info_Item Dimensions LxWxH,tech_RAM Size,tech_Computer Memory Type,tech_Memory Clock Speed,tech_Speaker Description,tech_Graphics Coprocessor,tech_Graphics Card Ram Size,tech_Wireless Type,tech_Number of USB 3.0 Ports,tech_Voltage,tech_Average Battery Life (in hours),tech_Front Webcam Resolution,tech_Power Source,tech_Number of USB 2.0 Ports,tech_Number of HDMI Ports,tech_Number of Ethernet Ports,tech_Model,tech_Model Name,tech_Model Year,tech_Memory Storage Capacity,tech_Memory Slots Available,tech_Flash Memory Installed Size,tech_Ram Memory Installed Size,tech_RAM memory maximum size,tech_Ram Memory Technology,tech_Processor model number,tech_Hardware Platform,tech_Hardware Interface,tech_Special Features,tech_Chipset Type,tech_Mounting Hardware,tech_Number of items,tech_Software included,tech_Display Technology,tech_Display Type,tech_Audio Output Type,tech_Wattage,tech_Battery Average Life,tech_Batteries Included,tech_Batteries Required,tech_Battery cell composition,tech_Refresh Rate,tech_Total USB ports,tech_Keyboard Description,tech_Connector Type,tech_Device type,tech_ASIN,info_Manufacturer,info_Item Weight,info_Included Components,tech_Hard Disk Rotational Speed,tech_Average Battery Standby Life (in hours),tech_Rear Webcam Resolution,tech_Number of Audio-out Ports,tech_Processor Socket
(Refurbished) HP 840g2 EliteBook Laptop ( Intel Core i5 - 5300u /16 GB/2000 GB HDD/Windows 10 Pro/Black /14 Inch Screen),"18,990",https://www.amazon.in/Renewed-HP-840g2-EliteBook-Laptop/dp/B091YNGBYH/ref=sr_1_390?dib=eyJ2IjoiMSJ9.mIsn6pNlsIfsQFGUCgbXY3ZV0d32RsU8JJ9BZxL9ktLiC9oyzJhIe8WTpEmD-uwoHGzXgSQzfOrLn4DDZQzF4pREC1Z72qIrUVXFMOhY27Ro2Q-ouh3-gJWwIg7TwGGPPT2NRK8z9k_LHVJZB4rPFGy7Sp4L0neZXjZ_1cxnS08Bzy32DjxCtdl4fHABKM4fzw8NFwFvRtYccnG3vyhpxQ0-AI-KXTo_mIPLwkI59TJ4-PF-1FLb-hzuNLmV6CCIVJsv6I6eGWIhXOFfQNRAzDgyI3WfdJgptgA0YWRs3nvzX7O_lfGOl7pY4L-dzRZkaK2cwdMn3mziFaRhoTLf-36uMhRJZAwv2uUqUH5lkjY.U9RvoWvFDJLvrSWm19T78pPvEMB92fAFXXLjgNlDHIU&dib_tag=se&qid=1737564448&s=computers&sr=1-390&xpid=TXeoTC7BKWJe3,22-01-2025 22:28,HP,HP,840g2,Black,Laptop,14 Inches,1366x768,1366 X 768,,1 Lithium Ion batteries required. (included),840g2-cr,Intel,Core i5 5300U,2.3 GHz,1,,16 GB,HDD,ATA,Headphones,Intel,Integrated,,,Wi-Fi,Windows,Yes,44 Watt Hours,39 Grams,6,,,India,1 kg 500 g,B091YNGBYH,"#19,614 in Computers & Accessories (See Top 100 in Computers & Accessories)
#568 in Traditional Laptops",07-Apr-21,,,,laptop,2 Centimeters,24 Centimeters,34 x 24 x 2 cm; 1.5 kg,2000 GB,,"3.3
32 ratings
3.3 out of 5 stars",34 x 24 x 2 Centimeters,16 GB,DDR3 SDRAM,,,Intel HD Graphics,,,,,,,Battery Powered,,,,,,,,,,,,,,Windows,,,,,,,,,,,,,,,,,,,,,,,,5400 RPM,,,,
"MSI Modern 14, Intel 12th Gen. i3-1215U, 36CM FHD 60Hz Laptop(8GB/512GB NVMe SSD/Windows 11 Home/MSO 2021/Intel UHD Graphics/Classic Black/1.4Kg), C12MO-1213IN","31,990",https://www.amazon.in/MSI-i3-1215U-Windows-Graphics-C12MO-1213IN/dp/B0D8WJS2Z6/ref=sr_1_391?dib=eyJ2IjoiMSJ9.mIsn6pNlsIfsQFGUCgbXY3ZV0d32RsU8JJ9BZxL9ktLiC9oyzJhIe8WTpEmD-uwoHGzXgSQzfOrLn4DDZQzF4pREC1Z72qIrUVXFMOhY27Ro2Q-ouh3-gJWwIg7TwGGPPT2NRK8z9k_LHVJZB4rPFGy7Sp4L0neZXjZ_1cxnS08Bzy32DjxCtdl4fHABKM4fzw8NFwFvRtYccnG3vyhpxQ0-AI-KXTo_mIPLwkI59TJ4-PF-1FLb-hzuNLmV6CCIVJsv6I6eGWIhXOFfQNRAzDgyI3WfdJgptgA0YWRs3nvzX7O_lfGOl7pY4L-dzRZkaK2cwdMn3mziFaRhoTLf-36uMhRJZAwv2uUqUH5lkjY.U9RvoWvFDJLvrSWm19T78pPvEMB92fAFXXLjgNlDHIU&dib_tag=se&qid=1737564448&s=computers&sr=1-391&xpid=TXeoTC7BKWJe3,22-01-2025 22:28,MSI,MSI,Modern 14,Classic Black,Laptop,36 Centimetres,1920 x 1080 pixel,,,1 Lithium Polymer batteries required. (included),,Intel,Intel Core i3,1.2 GHz,1,DDR4,16 GB,SSD,,Headphones,Intel,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",Windows 11 Home,Yes,39.3 Watt Hours,,3,,Laptop,China,2 kg 300 g,B0D8WJS2Z6,"#18,625 in Computers & Accessories (See Top 100 in Computers & Accessories)
#541 in Traditional Laptops",05-Jul-24,"Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China","Any one of the below: 1.Acro Engineering Company C-87 DDA Sheds, Okhla Industrial Area, Phase-1, New Delhi 110020, India 2.Redington (India) Limited “Redington House” Centre Point, Plot Nos. 8 & 11 (SP) Thiru. Vi. Ka, Industrial Estate, Chennai 600032, India 3.Ingram Micro India Private Limited 5th Floor, Empire Plaza, Building A, LBS Marg, Vikhroli West, Mumbai 400083, India 4.World Peace International (India) Private Limited Building No. 26, 2nd Floor, Okhla Phase III, New Delhi 110020, India.",1 count,Laptop,7.9 Centimeters,28.4 Centimeters,42.9 x 28.4 x 7.9 cm; 2.3 kg,512 GB,,"3.5
15 ratings
3.5 out of 5 stars",42.9 x 28.4 x 7.9 Centimeters,8 GB,,3200 MHz,,Intel UHD Graphics,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) HP EliteBook 745 G6 AMD Ryzen 7 Pro 3700U Thin & Light HD Laptop (16 GB DDR4 RAM|512 GB SSD|14"" (35.6 cm) HD|Windows 11 Pro|MS Office|WiFi|Webcam|AMD Radeon Graphics)","24,499",https://www.amazon.in/Refurbished-HP-EliteBook-745-G6/dp/B0DPG26WRK/ref=sr_1_392?dib=eyJ2IjoiMSJ9.mIsn6pNlsIfsQFGUCgbXY3ZV0d32RsU8JJ9BZxL9ktLiC9oyzJhIe8WTpEmD-uwoHGzXgSQzfOrLn4DDZQzF4pREC1Z72qIrUVXFMOhY27Ro2Q-ouh3-gJWwIg7TwGGPPT2NRK8z9k_LHVJZB4rPFGy7Sp4L0neZXjZ_1cxnS08Bzy32DjxCtdl4fHABKM4fzw8NFwFvRtYccnG3vyhpxQ0-AI-KXTo_mIPLwkI59TJ4-PF-1FLb-hzuNLmV6CCIVJsv6I6eGWIhXOFfQNRAzDgyI3WfdJgptgA0YWRs3nvzX7O_lfGOl7pY4L-dzRZkaK2cwdMn3mziFaRhoTLf-36uMhRJZAwv2uUqUH5lkjY.U9RvoWvFDJLvrSWm19T78pPvEMB92fAFXXLjgNlDHIU&dib_tag=se&qid=1737564448&s=computers&sr=1-392&xpid=TXeoTC7BKWJe3,22-01-2025 22:28,HP,HP,HP EliteBook 745 G6,,Clamshell,14 Inches,1366 x 768 pixels,1366 x 768 Pixels,45 x 35 x 15 cm; 1.6 kg,1 12V batteries required. (included),745 G6,AMD,AMD Ryzen 7,2.3 GHz,1,DDR4,16 GB,SSD,Serial ATA,Headphones,AMD,Integrated,Shared,,Wi-Fi,Windows,Yes,55 Watt Hours,,3,,"Laptop, Power Cord, Battery",,1 kg 600 g,B0DPG26WRK,"#7,484 in Computers & Accessories (See Top 100 in Computers & Accessories)
#13 in Refurbished Deals
#17 in Renewed Store.
#22 in Best Offers from Renewed",02-Dec-24,,,1.00 count,,,,,512 GB,,"4.0
3 ratings
4.0 out of 5 stars",,,DDR4 SDRAM,,Built-in speakers,AMD Radeon Vega 10 Graphics,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS Vivobook 16, Intel Core i5-13500H, 16"" 16:10 60Hz 300Nits, (16GB RAM/512GB SSD/Intel Iris X? Graphics/Win 11 /Office 2021/Backlit/Fingerprint /42WHR Battery/Indie Black/1.88 Kg), X1605VA-MB547WS","59,990",https://www.amazon.in/ASUS-Vivobook-Intel-Core-i5-13500H/dp/B08JCN8956/ref=sr_1_393?dib=eyJ2IjoiMSJ9.mIsn6pNlsIfsQFGUCgbXY3ZV0d32RsU8JJ9BZxL9ktLiC9oyzJhIe8WTpEmD-uwoHGzXgSQzfOrLn4DDZQzF4pREC1Z72qIrUVXFMOhY27Ro2Q-ouh3-gJWwIg7TwGGPPT2NRK8z9k_LHVJZB4rPFGy7Sp4L0neZXjZ_1cxnS08Bzy32DjxCtdl4fHABKM4fzw8NFwFvRtYccnG3vyhpxQ0-AI-KXTo_mIPLwkI59TJ4-PF-1FLb-hzuNLmV6CCIVJsv6I6eGWIhXOFfQNRAzDgyI3WfdJgptgA0YWRs3nvzX7O_lfGOl7pY4L-dzRZkaK2cwdMn3mziFaRhoTLf-36uMhRJZAwv2uUqUH5lkjY.U9RvoWvFDJLvrSWm19T78pPvEMB92fAFXXLjgNlDHIU&dib_tag=se&qid=1737564448&s=computers&sr=1-393&xpid=TXeoTC7BKWJe3,22-01-2025 22:28,ASUS,ASUS,ASUS Vivobook 16,"Black, i5-13500H",Laptop,16 Inches,1920 x 1200 pixel,1900 x 1200 Pixels,48.7 x 32.1 x 6.7 cm; 1.88 kg,1 Lithium Ion batteries required. (included),X1605VA-MB547WS,Intel,Intel Core i5,2.6 GHz,12,DDR4,16 GB,SSD,,Speakers,Intel,Integrated,DDR4 SDRAM,PCI Express,"Bluetooth, Wi-Fi",Windows 11 Home,Yes,42 Kilowatt Hours,,3,,"Laptop, Charging Adapter & User Manual",China,1 kg 880 g,B08JCN8956,"#17,186 in Computers & Accessories (See Top 100 in Computers & Accessories)
#495 in Traditional Laptops",01-Jul-24,"DIGITEK (CHONGQING) LIMITED B01 SEC C AIRPORT FUNCTION ZONE LIANGLU CUNTAN FREE TRADE PORT AREA, YUBEI DISTRICT CHONGQING CHINA","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veera Desai Road, Andheri (West), Mumbai 400053, India",1 Count,Laptop,,,,,No Optical Storage,"3.5
2 ratings
3.5 out of 5 stars",,16,DDR4 SDRAM,,,Intel Iris Xe Graphics,8 GB,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) HP Elitebook 745 G5| AMD Ryzen 5 Pro 2500U Laptop ( 16 GB DDR4 RAM | 512 GB SSD | 14"" (35.6 cm) HD | Windows 11 | MS Office | WiFi | BT | Webcam | AMD Radeon Graphics)","22,999",https://www.amazon.in/Refurbished-HP-Ryzen-Pro-2500U/dp/B0DK1V3QDK/ref=sr_1_394?dib=eyJ2IjoiMSJ9.mIsn6pNlsIfsQFGUCgbXY3ZV0d32RsU8JJ9BZxL9ktLiC9oyzJhIe8WTpEmD-uwoHGzXgSQzfOrLn4DDZQzF4pREC1Z72qIrUVXFMOhY27Ro2Q-ouh3-gJWwIg7TwGGPPT2NRK8z9k_LHVJZB4rPFGy7Sp4L0neZXjZ_1cxnS08Bzy32DjxCtdl4fHABKM4fzw8NFwFvRtYccnG3vyhpxQ0-AI-KXTo_mIPLwkI59TJ4-PF-1FLb-hzuNLmV6CCIVJsv6I6eGWIhXOFfQNRAzDgyI3WfdJgptgA0YWRs3nvzX7O_lfGOl7pY4L-dzRZkaK2cwdMn3mziFaRhoTLf-36uMhRJZAwv2uUqUH5lkjY.U9RvoWvFDJLvrSWm19T78pPvEMB92fAFXXLjgNlDHIU&dib_tag=se&qid=1737564448&s=computers&sr=1-394&xpid=TXeoTC7BKWJe3,22-01-2025 22:28,HP,HP,Elitebook 745 G5,,Clamshell,,1920 x 1080 pixels,1920x1080,53.7 x 33.29 x 9.2 cm; 2 kg,1 Lithium Ion batteries required.,Ryzen 5 Pro 2500U,AMD,Ryzen 5 2500U,2 GHz,1,DDR4,16 GB,SSD,Solid State,,,Integrated,,,"Bluetooth, Wi-Fi",Windows,,2.6 Watt Hours,,3,,,,2 kg,B0DK1V3QDK,"#17,620 in Computers & Accessories (See Top 100 in Computers & Accessories)
#12 in Mega Offers on Renewed products
#58 in Renewed Black Friday and Cyber Monday Sale
#511 in Traditional Laptops",14-Oct-24,,,,,,,,512 GB,,"3.3
31 ratings
3.3 out of 5 stars",,,DDR4 SDRAM,,,AMD Radeon Graphics,,,,,,,,,,,,,,,,,,,,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple 2024 MacBook Air 15″ Laptop with M3 chip: 38.91 cm (15.3″) Liquid Retina Display, 24GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Silver","1,67,990",https://www.amazon.in/Apple-2024-MacBook-Laptop-chip/dp/B0DLJCCPHW/ref=sr_1_385?dib=eyJ2IjoiMSJ9.mIsn6pNlsIfsQFGUCgbXY3ZV0d32RsU8JJ9BZxL9ktLiC9oyzJhIe8WTpEmD-uwoHGzXgSQzfOrLn4DDZQzF4pREC1Z72qIrUVXFMOhY27Ro2Q-ouh3-gJWwIg7TwGGPPT2NRK8z9k_LHVJZB4rPFGy7Sp4L0neZXjZ_1cxnS08Bzy32DjxCtdl4fHABKM4fzw8NFwFvRtYccnG3vyhpxQ0-AI-KXTo_mIPLwkI59TJ4-PF-1FLb-hzuNLmV6CCIVJsv6I6eGWIhXOFfQNRAzDgyI3WfdJgptgA0YWRs3nvzX7O_lfGOl7pY4L-dzRZkaK2cwdMn3mziFaRhoTLf-36uMhRJZAwv2uUqUH5lkjY.U9RvoWvFDJLvrSWm19T78pPvEMB92fAFXXLjgNlDHIU&dib_tag=se&qid=1737564448&s=computers&sr=1-385&xpid=TXeoTC7BKWJe3,22-01-2025 22:28,,Apple,,,,,,,43.2 x 32.29 x 8.9 cm; 1.51 kg,,MC9J4HN/A,,,,,,,,,,,,,,,,,,,,,,China,,,,,Not Applicable for Apple (Always),"(If applicable) Apple India Private Limited 13th Floor, Prestige Minsk Square, Municipal No. 6, Cubbon Road, Bengaluru, Karnataka - 560001, India",1 Count,"15-inch MacBook Air (M3, 2024)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B0DLJCCPHW,"Apple, Apple Inc, One Apple Park Way, Cupertino, CA 95014, USA. or Apple India Private Limited 13th Floor, Prestige Minsk Square, Municipal No. 6, Cubbon Road, Bengaluru, Karnataka - 560001, India",1 kg 510 g,"USB-C Power Adapter, USB-C to MagSafe 3 Cable (2m) 1N, 15-inch MacBook Air with M3 chip 1N",,,,,
HP 250 Intel® Core™ i3-1215U/ 8GB RAM/512GB SSD/HD/(15.6) 39.62 cm/ G9 Notebook PC/Windows 11 Home/7M657PA,"32,750",https://www.amazon.in/HP-Intel-Core-12th-1215U/dp/B0CKHWTWSZ/ref=sr_1_386?dib=eyJ2IjoiMSJ9.mIsn6pNlsIfsQFGUCgbXY3ZV0d32RsU8JJ9BZxL9ktLiC9oyzJhIe8WTpEmD-uwoHGzXgSQzfOrLn4DDZQzF4pREC1Z72qIrUVXFMOhY27Ro2Q-ouh3-gJWwIg7TwGGPPT2NRK8z9k_LHVJZB4rPFGy7Sp4L0neZXjZ_1cxnS08Bzy32DjxCtdl4fHABKM4fzw8NFwFvRtYccnG3vyhpxQ0-AI-KXTo_mIPLwkI59TJ4-PF-1FLb-hzuNLmV6CCIVJsv6I6eGWIhXOFfQNRAzDgyI3WfdJgptgA0YWRs3nvzX7O_lfGOl7pY4L-dzRZkaK2cwdMn3mziFaRhoTLf-36uMhRJZAwv2uUqUH5lkjY.U9RvoWvFDJLvrSWm19T78pPvEMB92fAFXXLjgNlDHIU&dib_tag=se&qid=1737564448&s=computers&sr=1-386&xpid=TXeoTC7BKWJe3,22-01-2025 22:28,HP,HP India Sales Pvt. Ltd.,HP 250 G9 Notebook PC,Silver,Clamshell,15.6 Inches,1024 x 768 pixels,,52.1 x 30.8 x 7.2 cm; 1.74 kg,3 Lithium Ion batteries required. (included),7M657PA,Intel,Core i3,4.4 GHz,1,DDR4,512 GB,SSD,,Headphones,Intel,Integrated,DDR4 SDRAM,Integrated,Wi-Fi,Windows 11 Home,Yes,41 Watt Hours,0.85 Grams,3,,"Battery,User Manual",,1 kg 740 g,B0CKHWTWSZ,"#37,046 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,061 in Traditional Laptops",05-Oct-23,HP India Sales Pvt. Ltd.,HP India Sales Pvt. Ltd.,,Laptops,,,,512 GB,,"3.4
19 ratings
3.4 out of 5 stars",,8 GB,,,,,,,3,,10 Hours,,,1,,,,,,,,,,,,,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) HP Chromebook C640 10th Gen Intel Core i5 FHD Thin & Light Touchscreen Laptop (8 GB DDR4 RAM/64 GB eMMC SSD + 128 GB MicroSD Card/14"" (35.6 cm) FHD/Chrome OS/WiFi/BT/Webcam/Intel Graphics)","16,999",https://www.amazon.in/Refurbished-HP-Chromebook-Touchscreen-Graphics/dp/B0C58DRSF3/ref=sr_1_387?dib=eyJ2IjoiMSJ9.mIsn6pNlsIfsQFGUCgbXY3ZV0d32RsU8JJ9BZxL9ktLiC9oyzJhIe8WTpEmD-uwoHGzXgSQzfOrLn4DDZQzF4pREC1Z72qIrUVXFMOhY27Ro2Q-ouh3-gJWwIg7TwGGPPT2NRK8z9k_LHVJZB4rPFGy7Sp4L0neZXjZ_1cxnS08Bzy32DjxCtdl4fHABKM4fzw8NFwFvRtYccnG3vyhpxQ0-AI-KXTo_mIPLwkI59TJ4-PF-1FLb-hzuNLmV6CCIVJsv6I6eGWIhXOFfQNRAzDgyI3WfdJgptgA0YWRs3nvzX7O_lfGOl7pY4L-dzRZkaK2cwdMn3mziFaRhoTLf-36uMhRJZAwv2uUqUH5lkjY.U9RvoWvFDJLvrSWm19T78pPvEMB92fAFXXLjgNlDHIU&dib_tag=se&qid=1737564448&s=computers&sr=1-387&xpid=TXeoTC7BKWJe3,22-01-2025 22:28,HP,HP,HP Chrome,silver,"Laptop, Chromebook",14 Inches,1920 x 1080 pixel,1920 x 1080 Pixels,48.1 x 30.9 x 6.3 cm; 1.61 kg,1 Lithium Ion batteries required. (included),HP Chrome,Intel,Intel Core i5,1.7 GHz,1,DDR4,8 GB,SSD,,Headphones,Intel,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",Chrome OS,Yes,55 Watt Hours,50 Grams,3,,"Laptop, Power Cord, Battery",,1 kg 610 g,B0C58DRSF3,"#21,679 in Computers & Accessories (See Top 100 in Computers & Accessories)
#622 in Traditional Laptops",15-May-23,,,1.00 count,laptop,,,,64 GB,,"3.1
85 ratings
3.1 out of 5 stars",,8 GB,DDR4 SDRAM,,,,2 GB,802.11n,2,240 Volts,10 Hours,,ac,,,,,,,,,,,,,,,,,,,,,,,,45 Watts,,,,,,,,,,,,,,5400 RPM,,,,
"ASUS VivoBook 15 (2022), Intel®Core™ i3-1215U 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (8GB/512 SSD//Windows 11/Office 2021/Backlit KB/Cool Silver/1.7 kg), X1504ZA-NJ322WS","31,700",https://www.amazon.in/ASUS-Vivobook-Intel%C2%AECoreTM-i3-1215U-15-6-inch/dp/B0CCKPTMYX/ref=sr_1_388?dib=eyJ2IjoiMSJ9.mIsn6pNlsIfsQFGUCgbXY3ZV0d32RsU8JJ9BZxL9ktLiC9oyzJhIe8WTpEmD-uwoHGzXgSQzfOrLn4DDZQzF4pREC1Z72qIrUVXFMOhY27Ro2Q-ouh3-gJWwIg7TwGGPPT2NRK8z9k_LHVJZB4rPFGy7Sp4L0neZXjZ_1cxnS08Bzy32DjxCtdl4fHABKM4fzw8NFwFvRtYccnG3vyhpxQ0-AI-KXTo_mIPLwkI59TJ4-PF-1FLb-hzuNLmV6CCIVJsv6I6eGWIhXOFfQNRAzDgyI3WfdJgptgA0YWRs3nvzX7O_lfGOl7pY4L-dzRZkaK2cwdMn3mziFaRhoTLf-36uMhRJZAwv2uUqUH5lkjY.U9RvoWvFDJLvrSWm19T78pPvEMB92fAFXXLjgNlDHIU&dib_tag=se&qid=1737564448&s=computers&sr=1-388&xpid=TXeoTC7BKWJe3,22-01-2025 22:28,ASUS,ASUS,Vivobook,Silver,Ultra-Portable,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,48.79 x 28.8 x 6.4 cm; 1.7 kg,1 Lithium Ion batteries required. (included),X1504ZA-NJ322WS,Intel,Core i3,4.4 GHz,6,DDR4,16 GB,SSD,Solid State,"Headphones, Speakers",Intel,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",Windows 11 Home,Yes,,,3,,"Laptop, User Manual, ø4.5 45W AC Adapter",,1 kg 700 g,B0CCKPTMYX,"#19,808 in Computers & Accessories (See Top 100 in Computers & Accessories)
#576 in Traditional Laptops",22-Jul-23,"TECH FRONT ( CHONGQING) Computer Co. Ltd, NO 18 , Zongbao Road, Shapingba Dist,Chongquing, China","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veera Desai Road, Andheri (west), Mumbai 400053, India",1 Count,Laptop,,,,512 GB,No Optical Drive,"4.5
68 ratings
4.5 out of 5 stars",,8 GB,SDRAM,3200 MHz,"SonicMaster, Built-in speaker",Intel UHD Graphics,,"Bluetooth, 802.11ax",3,19 Volts,6 Hours,,,1,1,,,,,,,,,,,,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Refurbished) Dell Latitude 5420 11th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM/512 GB SSD/14 (35.6 cm) HD/Windows 11/MS Office/WiFi/BT/Intel Iris Xe Graphics),"29,490",https://www.amazon.in/Refurbished-Dell-Latitude-Windows-Graphics/dp/B0DHD392YV/ref=sr_1_389?dib=eyJ2IjoiMSJ9.mIsn6pNlsIfsQFGUCgbXY3ZV0d32RsU8JJ9BZxL9ktLiC9oyzJhIe8WTpEmD-uwoHGzXgSQzfOrLn4DDZQzF4pREC1Z72qIrUVXFMOhY27Ro2Q-ouh3-gJWwIg7TwGGPPT2NRK8z9k_LHVJZB4rPFGy7Sp4L0neZXjZ_1cxnS08Bzy32DjxCtdl4fHABKM4fzw8NFwFvRtYccnG3vyhpxQ0-AI-KXTo_mIPLwkI59TJ4-PF-1FLb-hzuNLmV6CCIVJsv6I6eGWIhXOFfQNRAzDgyI3WfdJgptgA0YWRs3nvzX7O_lfGOl7pY4L-dzRZkaK2cwdMn3mziFaRhoTLf-36uMhRJZAwv2uUqUH5lkjY.U9RvoWvFDJLvrSWm19T78pPvEMB92fAFXXLjgNlDHIU&dib_tag=se&qid=1737564448&s=computers&sr=1-389&xpid=TXeoTC7BKWJe3,22-01-2025 22:28,Dell,Dell,Dell Latitude,,Traditional Clamshell,14 Inches,,1366 x 768 Pixels,45 x 35 x 15 cm; 1.4 kg,1 Lithium Ion batteries required. (included),,Intel,Core i5,2.6 GHz,1,DDR4,32 GB,SSD,Serial ATA,"internal, Bluetooth",Intel,Integrated,Shared,,Bluetooth,Windows,Yes,55 Watt Hours,,3,,"Laptop, Power Cord, Battery",,1 kg 400 g,B0DHD392YV,"#18,556 in Computers & Accessories (See Top 100 in Computers & Accessories)
#539 in Traditional Laptops",18-Sep-24,,,1.00 count,,,,,512 GB,,"2.5
3 ratings
2.5 out of 5 stars",,,DDR4 SDRAM,,Built-in speakers with a 3.5mm audio jack for headphones and microphones,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Inspiron 3520 Laptop, 12th Gen Intel Core i5-1235U Processor, 8GB, 512GB SSD, 15.6"" (39.62Cms) FHD Display- 3 Side Narrow Border, Win 11 + MSO'21, 2 Tuned Speakers, Black, Thin & Light-1.65Kg","46,990",https://www.amazon.in/Dell-Inspiron-i5-1235U-39-62Cms-D560865WIN9B/dp/B0BH4SQPQL/ref=sr_1_390?dib=eyJ2IjoiMSJ9.mIsn6pNlsIfsQFGUCgbXY3ZV0d32RsU8JJ9BZxL9ktLiC9oyzJhIe8WTpEmD-uwoHGzXgSQzfOrLn4DDZQzF4pREC1Z72qIrUVXFMOhY27Ro2Q-ouh3-gJWwIg7TwGGPPT2NRK8z9k_LHVJZB4rPFGy7Sp4L0neZXjZ_1cxnS08Bzy32DjxCtdl4fHABKM4fzw8NFwFvRtYccnG3vyhpxQ0-AI-KXTo_mIPLwkI59TJ4-PF-1FLb-hzuNLmV6CCIVJsv6I6eGWIhXOFfQNRAzDgyI3WfdJgptgA0YWRs3nvzX7O_lfGOl7pY4L-dzRZkaK2cwdMn3mziFaRhoTLf-36uMhRJZAwv2uUqUH5lkjY.U9RvoWvFDJLvrSWm19T78pPvEMB92fAFXXLjgNlDHIU&dib_tag=se&qid=1737564448&s=computers&sr=1-390&xpid=TXeoTC7BKWJe3,22-01-2025 22:28,Dell,Dell India Pvt Ltd,Inspiron 3520,Black,Laptop,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,,1 Lithium Ion batteries required. (included),New Inspiron 15,Intel,Core i5,3.3 GHz,1,DDR4,16 GB,SSD,,Speakers,Intel,Integrated,Shared,Integrated,Wi-Fi,Windows 10,Yes,41 Watt Hours,,3,,"User Manual, Laptop, Charger & Adapter",,1 kg 650 g,B0BH4SQPQL,"#17,106 in Computers & Accessories (See Top 100 in Computers & Accessories)
#494 in Traditional Laptops",03-Oct-22,Dell India Pvt Ltd,Dell India Pvt Ltd,1 Count,Laptop,21 Millimeters,35.8 Centimeters,23.5 x 35.8 x 2.1 cm; 1.65 kg,512 GB,CD-R,"3.7
166 ratings
3.7 out of 5 stars",23.5 x 35.8 x 2.1 Centimeters,8 GB,DDR4 SDRAM,2666 MHz,,Intel UHD Graphics,,,2,240 Volts,4 Hours,,Battery Powered,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312 Hours,0.92 MP,,
