title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Product Dimensions,tech_Batteries,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_RAM Size,tech_Memory Technology,tech_Computer Memory Type,tech_Maximum Memory Supported,tech_Hard Drive Size,tech_Hard Disk Description,tech_Hard Drive Interface,tech_Graphics Coprocessor,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Ram Size,tech_Graphics Card Interface,tech_Connectivity Type,tech_Wireless Type,tech_Number of USB 3.0 Ports,tech_Number of HDMI Ports,tech_Voltage,tech_Wattage,tech_Operating System,tech_Average Battery Life (in hours),tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Number of Lithium Ion Cells,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Packer,info_Importer,info_Item Dimensions LxWxH,info_Net Quantity,info_Generic Name,tech_Resolution,tech_Memory Clock Speed,tech_Audio Details,tech_Speaker Description,tech_Number of USB 2.0 Ports,tech_Optical Drive Type,tech_Power Source,tech_Hardware Platform,tech_Package Dimensions,tech_Average Battery Standby Life (in hours),tech_Hard Disk Rotational Speed,tech_Number of Lithium Metal Cells,tech_Lithium Battery Weight,tech_Rear Webcam Resolution,tech_Front Webcam Resolution,tech_ASIN,info_Manufacturer,info_Item Weight,info_Included Components,tech_Number of Ethernet Ports,tech_Number of Audio-out Ports,tech_Model,tech_Model Name,tech_Model Year,tech_Memory Storage Capacity,tech_Memory Slots Available,tech_Flash Memory Installed Size,tech_Ram Memory Installed Size,tech_RAM memory maximum size,tech_Ram Memory Technology,tech_Processor model number,tech_Hardware Interface,tech_Special Features,tech_Chipset Type,tech_Mounting Hardware,tech_Number of items,tech_Software included,tech_Display Technology,tech_Display Type,tech_Audio Output Type,tech_Battery Average Life,tech_Batteries Included,tech_Batteries Required,tech_Battery cell composition,tech_Refresh Rate,tech_Total USB ports,tech_Keyboard Description,tech_Connector Type,tech_Device type
"(Refurbished) HP Chromebook Pro 10th Gen Intel Core i5 14"" (35.6 cm) FHD Thin & Light Laptop (8 GB DDR4 RAM, 64GB eMMC + 64GB MicroSD Card, Chrome OS, UHD Graphics, WiFi, BT, Webcam)","15,999",https://www.amazon.in/Refurbished-HP-Chromebook-MicroSD-Graphics/dp/B0CD2HQVX3/ref=sr_1_224?dib=eyJ2IjoiMSJ9.tOFZ6smxhKY8OLvn5XhBsAhsB0zsVLSmG5qgQSQbtIzUWq-e4t5PlBo2nGyzEmGarCnAL66zvR59XA7snJzDM7Xxvl7DwAUDkyEiGN-ntdEh7FzAR3geymhn1P_Ia7gvWiThVDZQDGQExKf5Y-vfokSYN4BENK6Un10-ONsk9njukMfXuTROH8YV9WwPgymC7px0wmpUfv0OF90Mu494MQh2APrmGfdRvEoMXSXkgRChpaqpaQBxib47wn_iypL52mx8fbZnf6iSl_Pc95BUAixbVWzsX1tJUQd-RiH2MMLbqtkxJVpke_jVlcIXZH0yBc3xCtrI0QbWab6iOTzkk6Amrije8Qf-8Us4YjMkeog.LmY-SN08UAoe0imYObiXilCZtpkgx5TEfQcAY8efX6o&dib_tag=se&qid=1737554866&s=computers&sr=1-224&xpid=Fh4IXciGGCWbo,22-01-2025 20:04,HP,HP,HP Chrome,Sliver,"Laptop, Chromebook",,,14 Inches,1920 x 1080 pixel,,1 Lithium Ion batteries required. (included),,Intel,Intel Core i5,1.7 GHz,1,8 GB,DDR4,,8 GB,,SSD,,,Intel,Integrated,Shared,8 GB,Integrated,"Bluetooth, Wi-Fi",,2,,,,Chrome OS,,Yes,54 Watt Hours,4,"Laptop, Power Cord, Battery",India,1 kg 700 g,B0CD2HQVX3,"2.4
15 ratings
2.4 out of 5 stars","#5,433 in Computers & Accessories (See Top 100 in Computers & Accessories)
#171 in Traditional Laptops",28-Jul-23,,,,1.00 count,laptop,1920 x 1080 Pixels,,Headphones,,,,ac,,48.4 x 30.6 x 6.2 cm; 1.7 kg,,5400 RPM,,50 Grams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung Galaxy Book4 (Gray, 16GB RAM, 512GB SSD) | 15.6"" Full HD Screen | Intel Core i7 1355U Processor | Windows 11 Home | MS Office 2021 | Fingerprint Reader | Intel Iris XE Graphics | RJ45 LAN Port","67,990",https://www.amazon.in/Samsung-Processor-Windows-Fingerprint-Graphics/dp/B0D13Z7LBF/ref=sr_1_225?dib=eyJ2IjoiMSJ9.tOFZ6smxhKY8OLvn5XhBsAhsB0zsVLSmG5qgQSQbtIzUWq-e4t5PlBo2nGyzEmGarCnAL66zvR59XA7snJzDM7Xxvl7DwAUDkyEiGN-ntdEh7FzAR3geymhn1P_Ia7gvWiThVDZQDGQExKf5Y-vfokSYN4BENK6Un10-ONsk9njukMfXuTROH8YV9WwPgymC7px0wmpUfv0OF90Mu494MQh2APrmGfdRvEoMXSXkgRChpaqpaQBxib47wn_iypL52mx8fbZnf6iSl_Pc95BUAixbVWzsX1tJUQd-RiH2MMLbqtkxJVpke_jVlcIXZH0yBc3xCtrI0QbWab6iOTzkk6Amrije8Qf-8Us4YjMkeog.LmY-SN08UAoe0imYObiXilCZtpkgx5TEfQcAY8efX6o&dib_tag=se&qid=1737554866&s=computers&sr=1-225&xpid=Fh4IXciGGCWbo,22-01-2025 20:04,Samsung,Samsung,Samsung Galaxy Book4,Gray,,50 Centimeters,29.7 Centimeters,15.6 Inches,1920 x 1080 pixels,6.7 x 29.7 x 50 cm; 1.55 kg,1 Lithium Ion batteries required. (included),NP750XGJ-KG3IN,Intel,Intel Core i7,1.7 GHz,1,16 GB,LPDDR4X,DDR4 SDRAM,16 GB,512 GB,SSD,Solid State,Intel Iris Xe Graphics,Intel,Integrated,Shared,,Integrated,"Bluetooth, Wi-Fi","Bluetooth, 802.11ax",2,1,15.4 Volts,45 Watts,Windows 11 Home,,Yes,54 Watt Hours,4,"Notebook,45W Charger,Data Cable(USB-C to C, 1.8m),Quick Start Guide,,",China,1 kg 550 g,B0D13Z7LBF,"4.6
3 ratings
4.6 out of 5 stars","#14,504 in Computers & Accessories (See Top 100 in Computers & Accessories)
#432 in Traditional Laptops",08-Apr-24,"Samsung India Electronics Pvt. Ltd. having its Registered Office at: 6th Floor, DLF Centre, Sansad Marg, New Delhi-110001","Samsung India Electronics Pvt. Ltd. having its Registered Office at: 6th Floor, DLF Centre, Sansad Marg, New Delhi-110001",6.7 x 29.7 x 50 Centimeters,1 Count,Laptops,1920 x 1080 Pixels,5 GHz,"Headphones, Speakers",Dolby Atmos,,,,,,,,,220 Grams,,1 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo V15 Intel Core i5 11th Gen 15.6"" FHD Thin and Light Laptop (16GB RAM/512GB SSD/Windows 11 Home/MS Office Home & Student 2021/Iron Grey/1.70 kg),82KB00RJIH (V15 G2 ITL)","42,490",https://www.amazon.in/Lenovo-V15-82KB00RJIH-G2-ITL/dp/B09H4FW97R/ref=sr_1_226?dib=eyJ2IjoiMSJ9.tOFZ6smxhKY8OLvn5XhBsAhsB0zsVLSmG5qgQSQbtIzUWq-e4t5PlBo2nGyzEmGarCnAL66zvR59XA7snJzDM7Xxvl7DwAUDkyEiGN-ntdEh7FzAR3geymhn1P_Ia7gvWiThVDZQDGQExKf5Y-vfokSYN4BENK6Un10-ONsk9njukMfXuTROH8YV9WwPgymC7px0wmpUfv0OF90Mu494MQh2APrmGfdRvEoMXSXkgRChpaqpaQBxib47wn_iypL52mx8fbZnf6iSl_Pc95BUAixbVWzsX1tJUQd-RiH2MMLbqtkxJVpke_jVlcIXZH0yBc3xCtrI0QbWab6iOTzkk6Amrije8Qf-8Us4YjMkeog.LmY-SN08UAoe0imYObiXilCZtpkgx5TEfQcAY8efX6o&dib_tag=se&qid=1737554866&s=computers&sr=1-226&xpid=Fh4IXciGGCWbo,22-01-2025 20:04,Lenovo,Lenovo,Lenovo V15,Iron Grey,Ultra-Portable,20 Millimeters,23.6 Centimeters,15.6 Inches,1920 x 1080 pixels,35.9 x 23.6 x 2 cm; 1.7 kg,1 Lithium Polymer batteries required. (included),V15 G2 ITL,Intel,Core i5,2.4 GHz,1,16 GB,DDR4,DDR4 SDRAM,16 GB,512 GB,SSD,Solid State,Intel Iris Xe Graphics,Intel,Integrated,Shared,8 GB,Integrated,Wi-Fi,"Bluetooth, 802.11ac",,1,,65 Watts,Windows 11 Home,5.5 Hours,Yes,38 Watt Hours,2,"Laptop, User manual, Adapter,,,,,,,,,,,,,,,,,,,",China,1 kg 700 g,B09H4FW97R,"3.9
16 ratings
3.9 out of 5 stars","#12,122 in Computers & Accessories (See Top 100 in Computers & Accessories)
#374 in Traditional Laptops",25-Sep-21,"Lenovo (India) Private Limited, R.S. NO. 19/1A & 2A, Edayarpalayam Village, ECR Road, Thavalakuppam, Pondicherry 605 007, India","Ferns Icon, 2, Outer Ring Rd, Doddanekundi, Mahadevapura, Bengaluru, Karnataka 560037",35.9 x 23.6 x 2 Centimeters,1 Count,Laptop,1920 x 1080 Pixels,,Headphones,"Stereo speakers, 1.5W x2, Dolby Audio",1,Not available,Battery Powered,"PC, Windows",,5.5 Hours,,2,,0.92 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Refurbished) Dell Latitude E5470 6th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/14 (35.6 cm) HD/Windows 11/MS Office/WiFi/BT/Intel HD Graphics),"15,999",https://www.amazon.in/Refurbished-Dell-Latitude-Windows-Graphics/dp/B0DS2PQZQR/ref=sr_1_227?dib=eyJ2IjoiMSJ9.tOFZ6smxhKY8OLvn5XhBsAhsB0zsVLSmG5qgQSQbtIzUWq-e4t5PlBo2nGyzEmGarCnAL66zvR59XA7snJzDM7Xxvl7DwAUDkyEiGN-ntdEh7FzAR3geymhn1P_Ia7gvWiThVDZQDGQExKf5Y-vfokSYN4BENK6Un10-ONsk9njukMfXuTROH8YV9WwPgymC7px0wmpUfv0OF90Mu494MQh2APrmGfdRvEoMXSXkgRChpaqpaQBxib47wn_iypL52mx8fbZnf6iSl_Pc95BUAixbVWzsX1tJUQd-RiH2MMLbqtkxJVpke_jVlcIXZH0yBc3xCtrI0QbWab6iOTzkk6Amrije8Qf-8Us4YjMkeog.LmY-SN08UAoe0imYObiXilCZtpkgx5TEfQcAY8efX6o&dib_tag=se&qid=1737554866&s=computers&sr=1-227&xpid=Fh4IXciGGCWbo,22-01-2025 20:04,Dell,Dell,Dell Latitude,black,Clamshell,,,14 Inches,1366 x 768 pixels,,1 12V batteries required. (included),core_i5_6200U,Intel,Intel Core i5,2.3 GHz,1,,DDR4,DDR4 SDRAM,16 GB,256 GB,SSD,Serial ATA,,Intel,Integrated,Shared,,,Wi-Fi,,,1,,,Windows,,Yes,55 Watt Hours,3,"Laptop, Power Cord, Battery",,1 kg 700 g,B0DS2PQZQR,"1.0
1 rating
1.0 out of 5 stars","#15,796 in Computers & Accessories (See Top 100 in Computers & Accessories)
#14 in Renewed New Arrivals Store
#470 in Traditional Laptops",02-Jan-25,,,,1.00 count,,1366 x 768 Pixels,,Headphones,Basic built-in speakers,,,,,45 x 35 x 15 cm; 1.7 kg,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS Vivobook 15 (2024) Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ993WS Thin and Light Laptop (15.6 Inch, Icelight Silver, 1.70 Kg, with MS Office)","33,150",https://www.amazon.in/ASUS-Vivobook-Intel-Core-1215U/dp/B0D6WHCY5K/ref=sr_1_228?dib=eyJ2IjoiMSJ9.tOFZ6smxhKY8OLvn5XhBsAhsB0zsVLSmG5qgQSQbtIzUWq-e4t5PlBo2nGyzEmGarCnAL66zvR59XA7snJzDM7Xxvl7DwAUDkyEiGN-ntdEh7FzAR3geymhn1P_Ia7gvWiThVDZQDGQExKf5Y-vfokSYN4BENK6Un10-ONsk9njukMfXuTROH8YV9WwPgymC7px0wmpUfv0OF90Mu494MQh2APrmGfdRvEoMXSXkgRChpaqpaQBxib47wn_iypL52mx8fbZnf6iSl_Pc95BUAixbVWzsX1tJUQd-RiH2MMLbqtkxJVpke_jVlcIXZH0yBc3xCtrI0QbWab6iOTzkk6Amrije8Qf-8Us4YjMkeog.LmY-SN08UAoe0imYObiXilCZtpkgx5TEfQcAY8efX6o&dib_tag=se&qid=1737554866&s=computers&sr=1-228&xpid=Fh4IXciGGCWbo,22-01-2025 20:04,ASUS,ASUS,Vivobook 15 (2024),Icelight Silver,Ultra-Portable,,,39.62 Centimetres,1920 x 1080 pixels,,1 P76 batteries required. (included),X1502ZA-EJ993WS,Intel,Intel Core i3,4.4 GHz,6,16,DDR4,SODIMM,16 GB,512 GB,,,Intel UHD Graphics,Intel,Integrated,Shared,,Integrated,Wi-Fi,,2,1,19 Volts (DC),45 Watts,Windows 11 Home,8 Hours,Yes,42 Watt Hours,3,"LAPTOP, POWER ADAPTER, USER GUIDE",,1 kg 700 g,B0D6WHCY5K,"3.4
16 ratings
3.4 out of 5 stars","#14,100 in Computers & Accessories (See Top 100 in Computers & Accessories)
#427 in Traditional Laptops",12-Jun-24,"TECH FRONT ( CHONGQING) Computer Co. Ltd, NO 18 , Zongbao Road, Shapingba Dist,Chongquing, China","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veer Desai Road, Andheri (west), Mumbai 400053, India",,1.00 count,Business Laptop,1920 x 1080 Pixels,4.4 MHz,Speakers,"SonicMaster, Built-in speaker",1,No Optical Drive,,,48.79 x 29.1 x 6.5 cm; 1.7 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad Slim 5 Intel Core Ultra 5 125H Built-in AI 14"" (35.5cm) WUXGA-OLED 400Nits Thin & Light Laptop (16GB/1TB SSD/Win 11/MSO 21/FHD+IR Cam/1Yr ADP Free/3Mon Game Pass/Grey/1.4Kg), 83DA0049IN","76,990",https://www.amazon.in/Lenovo-IdeaPad-WUXGA-OLED-400Nits-83DA0049IN/dp/B0CSPG1TJZ/ref=sr_1_229?dib=eyJ2IjoiMSJ9.tOFZ6smxhKY8OLvn5XhBsAhsB0zsVLSmG5qgQSQbtIzUWq-e4t5PlBo2nGyzEmGarCnAL66zvR59XA7snJzDM7Xxvl7DwAUDkyEiGN-ntdEh7FzAR3geymhn1P_Ia7gvWiThVDZQDGQExKf5Y-vfokSYN4BENK6Un10-ONsk9njukMfXuTROH8YV9WwPgymC7px0wmpUfv0OF90Mu494MQh2APrmGfdRvEoMXSXkgRChpaqpaQBxib47wn_iypL52mx8fbZnf6iSl_Pc95BUAixbVWzsX1tJUQd-RiH2MMLbqtkxJVpke_jVlcIXZH0yBc3xCtrI0QbWab6iOTzkk6Amrije8Qf-8Us4YjMkeog.LmY-SN08UAoe0imYObiXilCZtpkgx5TEfQcAY8efX6o&dib_tag=se&qid=1737554866&s=computers&sr=1-229&xpid=Fh4IXciGGCWbo,22-01-2025 20:04,Lenovo,Lenovo,IdeaPad Slim 5,Cloud Grey,Ultra-Portable,47.7 Centimeters,31.5 Centimeters,14 Inches,1920 x 1080 pixel,6.9 x 31.5 x 47.7 cm; 2.08 kg,1 Lithium Polymer batteries required. (included),14IMH9,Intel,Core i5,4.5 GHz,14,16,Lpddr5x,DDR5 RAM,16 GB,1 TB,SSD,PCIE x 4,Integrated Intel Arc Graphics,Intel,Integrated,Shared,,Integrated,Wi-Fi,,4,,7.6 Volts,,Windows 11 Home,5 Hours,Yes,57 Watt Hours,3,Laptop,China,2 kg 80 g,B0CSPG1TJZ,"4.5
13 ratings
4.5 out of 5 stars","#7,021 in Computers & Accessories (See Top 100 in Computers & Accessories)
#220 in Traditional Laptops",18-Jan-24,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",6.9 x 31.5 x 47.7 Centimeters,1 Piece,Laptop,1920 x 1200 Pixels,,Speakers,"Stereo speakers, 2W x2, optimized with Dolby Audio",,No Optical Drive,,,,,,,,,1080 Pixels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MSI Thin 15, Intel Core i7-12650H, 40CM FHD 144Hz Gaming Laptop(16GB/1TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 3050,GDDR6 4GB/Cosmos Gray/1.86Kg), B12UC-1690IN","69,990",https://www.amazon.in/MSI-i7-12650H-Windows-GeForce-B12UC-1690IN/dp/B0CV9VTBKD/ref=sr_1_230?dib=eyJ2IjoiMSJ9.tOFZ6smxhKY8OLvn5XhBsAhsB0zsVLSmG5qgQSQbtIzUWq-e4t5PlBo2nGyzEmGarCnAL66zvR59XA7snJzDM7Xxvl7DwAUDkyEiGN-ntdEh7FzAR3geymhn1P_Ia7gvWiThVDZQDGQExKf5Y-vfokSYN4BENK6Un10-ONsk9njukMfXuTROH8YV9WwPgymC7px0wmpUfv0OF90Mu494MQh2APrmGfdRvEoMXSXkgRChpaqpaQBxib47wn_iypL52mx8fbZnf6iSl_Pc95BUAixbVWzsX1tJUQd-RiH2MMLbqtkxJVpke_jVlcIXZH0yBc3xCtrI0QbWab6iOTzkk6Amrije8Qf-8Us4YjMkeog.LmY-SN08UAoe0imYObiXilCZtpkgx5TEfQcAY8efX6o&dib_tag=se&qid=1737554866&s=computers&sr=1-230&xpid=Fh4IXciGGCWbo,22-01-2025 20:04,MSI,MSI,Thin 15,Cosmos Gray,Laptop,46.9 Centimeters,32.1 Centimeters,40 Centimetres,1920 x 1080 pixel,8.5 x 32.1 x 46.9 cm; 3.36 kg,1 Lithium Polymer batteries required. (included),,Intel,Core i7,4.7,1,16,DDR4,,64 GB,,SSD,,NVIDIA GeForce RTX 3050,NVIDIA,Dedicated,GDDR6,4 GB,PCI Express,Wi-Fi,,3,,11.1 Volts,,Windows 11 Home,,Yes,52.4 Watt Hours,3,Laptop,China,3 kg 360 g,B0CV9VTBKD,"4.5
9 ratings
4.5 out of 5 stars","#7,211 in Computers & Accessories (See Top 100 in Computers & Accessories)
#229 in Traditional Laptops",09-Feb-24,"Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China","Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China",8.5 x 32.1 x 46.9 Centimeters,1 Count,Laptop,,,Headphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) Dell Latitude 5400 (Core i7 8th Gen/ 16GB Ram/ 512GB SSD/Webcam/ 14"" Non Touch/Win-10 Pro)","22,780",https://www.amazon.in/Refurbished-Dell-Latitude-Webcam-Win-10/dp/B0CJM2SKBZ/ref=sr_1_241?dib=eyJ2IjoiMSJ9.8xCJ7kwOj0JyW8GOkXpdKZtCd0vx5EZIMBVjlp1WK2w7IdfR8IpGfZ6MvcqQ8d7tHFnG4iMt0tKueEOHj_mQUuGEWB2hbGX0UxUyWqykQpzIWX1HiPqU_qon_ZsbEPl-jWq2jV5GxRgxJ8lwyLy0QawpDQLFaHEAB9fdJhWtLeyiCJNJZFKleRL4IyqeC8MFKDexrV9i1MHxoAD7zhKDeNYhlSve1sv9W4vCiQFH0q1kjSem20HE9Lgnq02nNi0y7YopI0-ijUHrx9pQZaIHVXmlicIzs5zQmdu4-BOciMf_qwz6bJrGxjliuCLTE22qEm7NvsM5M3XcV-r4Q5Q3PP_sHcCZHcgMtv1sipiThwA.hMwEc0ifq8OweXsiSgWdYafNQHLN_s2nLpp68kGwSrQ&dib_tag=se&qid=1737555360&s=computers&sr=1-241&xpid=Fh4IXciGGCWbo,22-01-2025 20:04,Dell,DELL,Dell Latitude 5400,Black,Laptop,,,14 Inches,1920 x 1080 pixels,,1 Lithium Ion batteries required. (included),,Intel,Core i7-8650U,1.9 GHz,1,16 GB,DDR4,,16 GB,512 GB,SSD,Solid State,,Intel,Integrated,DDR4 SDRAM,,Integrated,Wi-Fi,,1,,,,Windows 10 Pro,,Yes,45 Watt Hours,3,Laptop & Charger,India,2 kg 620 g,B0CJM2SKBZ,"3.4
22 ratings
3.4 out of 5 stars","#13,511 in Computers & Accessories (See Top 100 in Computers & Accessories)
#22 in Renewed - Regional New Year
#26 in 4 star rated refurbished products
#418 in Traditional Laptops",22-Sep-23,,,,1.00 count,,1920 x 1080,,,,2,,,,46.29 x 32.29 x 7.9 cm; 2.62 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS [Smartchoice ROG Strix G16, 16""(40.64cm) FHD+ 165Hz, 13th Gen Core i7-13650HX,Gaming Laptop(16GB RAM/1TB SSD/NVIDIA GeForce RTX 4060 /Windows 11/Office 21/Eclipse Gray/2.50 Kg), G614JV-N3474WS","1,34,990",https://www.amazon.in/ASUS-Smartchoice-40-64cm-i7-13650HX-G614JV-N3474WS/dp/B09TB4FPKW/ref=sr_1_242?dib=eyJ2IjoiMSJ9.8xCJ7kwOj0JyW8GOkXpdKZtCd0vx5EZIMBVjlp1WK2w7IdfR8IpGfZ6MvcqQ8d7tHFnG4iMt0tKueEOHj_mQUuGEWB2hbGX0UxUyWqykQpzIWX1HiPqU_qon_ZsbEPl-jWq2jV5GxRgxJ8lwyLy0QawpDQLFaHEAB9fdJhWtLeyiCJNJZFKleRL4IyqeC8MFKDexrV9i1MHxoAD7zhKDeNYhlSve1sv9W4vCiQFH0q1kjSem20HE9Lgnq02nNi0y7YopI0-ijUHrx9pQZaIHVXmlicIzs5zQmdu4-BOciMf_qwz6bJrGxjliuCLTE22qEm7NvsM5M3XcV-r4Q5Q3PP_sHcCZHcgMtv1sipiThwA.hMwEc0ifq8OweXsiSgWdYafNQHLN_s2nLpp68kGwSrQ&dib_tag=se&qid=1737555360&s=computers&sr=1-242&xpid=Fh4IXciGGCWbo,22-01-2025 20:04,ASUS,ASUS,ROG Strix G16,Eclipse Gray,Ultra-Portable,42.5 Centimeters,33.5 Centimeters,16 Inches,1920 x 1200 pixels,10.6 x 33.5 x 42.5 cm; 2.5 kg,1 Lithium Polymer batteries required. (included),G614JV-N3474WS,Intel,Core i7,2.6 GHz,14,16,DDR5,SODIMM,32 GB,1 TB,SSD,PCIE x 4,NVIDIA GeForce RTX 4060,NVIDIA,Dedicated,GDDR6,8 GB,"PCI Express, Integrated","Bluetooth, Wi-Fi","Bluetooth, 802.11ax",3,,20 Volts,,Windows 11 Home,6 Hours,Yes,90 Watt Hours,4,"Laptop, Charging Adapter & User Manual",China,2 kg 500 g,B09TB4FPKW,"4.0
16 ratings
4.0 out of 5 stars","#14,712 in Computers & Accessories (See Top 100 in Computers & Accessories)
#435 in Traditional Laptops",19-Apr-24,"INVENTEC (CHONGQING) CORPORATION, NO.66, WEST DISTRICT 2ND RD, SHAPINGBA DISTRICT, CHONGQING, CHINA 401331","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veera Desai Road, Andheri (West), Mumbai 400053, India",10.6 x 33.5 x 42.5 Centimeters,1 Count,Gaming Laptop,1920 x 1200,4800 MHz,"Headphones, Speakers",,,No Optical Storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) ULTIMUS PRO Intel Celeron Dual Core upto 2.8 Ghz 4GB RAM 128 GB eMMC Expandable upto 512 GB, 14.1"" HD Display Intel HD Graphics Win 11 Home 1.2 Kg Thin & Light Laptop Cloud Silver NU14U3INC43BN-CS","9,900",https://www.amazon.in/Refurbished-ULTIMUS-Expandable-Graphics-NU14U3INC43BN-CS/dp/B0DSJK2M1Q/ref=sr_1_243?dib=eyJ2IjoiMSJ9.8xCJ7kwOj0JyW8GOkXpdKZtCd0vx5EZIMBVjlp1WK2w7IdfR8IpGfZ6MvcqQ8d7tHFnG4iMt0tKueEOHj_mQUuGEWB2hbGX0UxUyWqykQpzIWX1HiPqU_qon_ZsbEPl-jWq2jV5GxRgxJ8lwyLy0QawpDQLFaHEAB9fdJhWtLeyiCJNJZFKleRL4IyqeC8MFKDexrV9i1MHxoAD7zhKDeNYhlSve1sv9W4vCiQFH0q1kjSem20HE9Lgnq02nNi0y7YopI0-ijUHrx9pQZaIHVXmlicIzs5zQmdu4-BOciMf_qwz6bJrGxjliuCLTE22qEm7NvsM5M3XcV-r4Q5Q3PP_sHcCZHcgMtv1sipiThwA.hMwEc0ifq8OweXsiSgWdYafNQHLN_s2nLpp68kGwSrQ&dib_tag=se&qid=1737555360&s=computers&sr=1-243&xpid=Fh4IXciGGCWbo,22-01-2025 20:04,FUTOPIA,Futopia Global Pvt Ltd,NU14U3INC43BN,Silver,Laptop,,,14.1 Inches,1366 x 768,,,NU14U3INC43BN-cr,Intel,Celeron N4020,1.1 GHz,2,4 GB,LPDDR4,,8 GB,128 GB,SSD,Solid State,Intel UHD Graphics 600,Intel,Integrated,DDR4 SDRAM,4 GB,,Bluetooth,Bluetooth,,1,4 Volts,,Windows 11 Home,8 Hours,,,,"Laptop, User Manual, Warranty Card, Adapter",,1 kg 200 g,B0DSJK2M1Q,,"#7,204 in Computers & Accessories (See Top 100 in Computers & Accessories)
#228 in Traditional Laptops",08-Jan-25,,,,1 count,ULTIMUS LAPTOP,1366 x 768 Pixels,,,,1,,Battery Powered,,38.6 x 33 x 9 cm; 1.2 kg,,5400 RPM,,,2 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
