title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Resolution,tech_Product Dimensions,tech_Batteries,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_Memory Technology,tech_Maximum Memory Supported,tech_Hard Disk Description,tech_Audio Details,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Interface,tech_Connectivity Type,tech_Operating System,tech_Average Battery Life (in hours),tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Number of Lithium Ion Cells,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Packer,info_Importer,info_Item Dimensions LxWxH,info_Net Quantity,info_Generic Name,tech_RAM Size,tech_Computer Memory Type,tech_Hard Drive Size,tech_Hard Drive Interface,tech_Graphics Coprocessor,tech_Graphics Card Ram Size,tech_Package Dimensions,tech_Memory Clock Speed,tech_Number of USB 2.0 Ports,tech_Number of USB 3.0 Ports,tech_Number of HDMI Ports,tech_Voltage,tech_Wattage,tech_Optical Drive Type,tech_Speaker Description,tech_Rear Webcam Resolution,tech_Power Source,tech_Hardware Platform,tech_Hard Disk Rotational Speed,tech_Wireless Type,tech_Lithium Battery Weight,tech_Front Webcam Resolution,tech_Number of Ethernet Ports,tech_Model,tech_Model Name,tech_Model Year,tech_Memory Storage Capacity,tech_Memory Slots Available,tech_Flash Memory Installed Size,tech_Ram Memory Installed Size,tech_RAM memory maximum size,tech_Ram Memory Technology,tech_Processor model number,tech_Hardware Interface,tech_Special Features,tech_Chipset Type,tech_Mounting Hardware,tech_Number of items,tech_Software included,tech_Display Technology,tech_Display Type,tech_Colour Screen,tech_Audio Output Type,tech_Video Output,tech_Batteries Included,tech_Batteries Required,tech_Battery cell composition,tech_Refresh Rate,tech_Number of Ports,tech_Total USB ports,tech_Keyboard Description,tech_Connector Type,tech_Device interface - primary,tech_Has audio recording capabilities,tech_Supports Bluetooth Technology,tech_Average Battery Standby Life (in hours),tech_Number of Lithium Metal Cells,tech_Battery Average Life,tech_Battery Average Life Standby
"(Refurbished) Lenovo IdeaPad Gaming 3 AMD Ryzen 5 5500H 15.6"" (39.62cm) FHD IPS 300nits 144Hz Gaming Laptop (8GB/512GB SSD/Windows 11/NVIDIA RTX 2050 4GB/Alexa/3 Month Game Pass/Onyx Grey/2.32Kg), 82K20289IN","41,500",https://www.amazon.in/Refurbished-Lenovo-IdeaPad-39-62cm-82K20289IN/dp/B0CTFK28M9/ref=sr_1_1040?dib=eyJ2IjoiMSJ9.diwDn756Y-deiEUmhol_qmQLd8aN24x3jRJzReqcRmA2gjz19I3jtyUB-u4U2U5sF1x2mADKgJQv-iJTitIOHT_pF6yer02JKQygxEzrqgT6-hWIUpWy47RqbSmUqrXG32p_BwkyPxiTR71vgfvc-5Mn9RD8knTd64M6EaoACHQEkxl6vmJNj7RlLG4Kzh74YpUaYMx528vR_CqnaPNQIMSebHK6Pf3DCcQ_AiZi03w_6JTHC-bEaXfm5HMvOIfvCFTupBjByxgfQwESGrx7dcOQxBitxAk-0yQCxVoKs4AvNxEYZGX6uiWdz1sM2AGMslfNT7MGuDd30MQaxNeW241NnVLyWRc6MDb2Yv1cC00.8m55PFpvyKH-FyDsOkxbZmE6yzTmN2F11d1ilNsGT1Q&dib_tag=se&qid=1737658125&s=computers&sr=1-1040&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,Lenovo,Lenovo,IdeaPad Gaming 3 15ACH6,Shadow Black,Gaming,,,15.6 Inches,1921 x 1080 pixel,1920 x 1080 Pixels,,,82K20289IN-cr,AMD,Ryzen 5,3.6 GHz,6,DDR4,16 GB,SSD,,NVIDIA,Dedicated,Shared,,"Bluetooth, Wi-Fi",Windows 11 Home,6.5 Hours,Yes,45 Watt Hours,3,Laptop,,2 kg 250 g,B0CTFK28M9,"4.4
10 ratings
4.4 out of 5 stars","#58,149 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,764 in Traditional Laptops",27 January 2024,,,,1 Piece,Laptop,8 GB,DDR4 SDRAM,512 GB,,NVIDIA GeForce RTX 2050 4GB GDDR6,4 GB,53.5 x 33.7 x 10.6 cm; 2.25 kg,,,,,110 Volts,,,,,,,,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MSI Modern 15 H AI, Intel 1st Gen. Ultra 5 125H,Built-in AI, 40CM Laptop(8GB/512GB NVMe SSD/Windows 11 Home/Intel Arc/Classic Black/1.9Kg), C1MG-050IN","50,990",https://www.amazon.in/MSI-Modern-Windows-Classic-C1MG-050IN/dp/B0D2KR14GD/ref=sr_1_1041?dib=eyJ2IjoiMSJ9.diwDn756Y-deiEUmhol_qmQLd8aN24x3jRJzReqcRmA2gjz19I3jtyUB-u4U2U5sF1x2mADKgJQv-iJTitIOHT_pF6yer02JKQygxEzrqgT6-hWIUpWy47RqbSmUqrXG32p_BwkyPxiTR71vgfvc-5Mn9RD8knTd64M6EaoACHQEkxl6vmJNj7RlLG4Kzh74YpUaYMx528vR_CqnaPNQIMSebHK6Pf3DCcQ_AiZi03w_6JTHC-bEaXfm5HMvOIfvCFTupBjByxgfQwESGrx7dcOQxBitxAk-0yQCxVoKs4AvNxEYZGX6uiWdz1sM2AGMslfNT7MGuDd30MQaxNeW241NnVLyWRc6MDb2Yv1cC00.8m55PFpvyKH-FyDsOkxbZmE6yzTmN2F11d1ilNsGT1Q&dib_tag=se&qid=1737658125&s=computers&sr=1-1041&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,MSI,MSI,Modern 15 H AI,Classic Black,Laptop,46.9 Centimeters,30.6 Centimeters,40 Centimetres,1920 x 1080 pixel,,7.9 x 30.6 x 46.9 cm; 3.02 kg,1 Lithium Polymer batteries required. (included),,Intel,Core i5,1.2 GHz,1,DDR5,32 GB,SSD,Headphones,Intel,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",Windows 11 Home,,Yes,,3,Laptop,,3 kg 20 g,B0D2KR14GD,"5.0
1 rating
5.0 out of 5 stars","#57,810 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,746 in Traditional Laptops",24 April 2024,"Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China","Any one of the below: 1.Acro Engineering Company C-87 DDA Sheds, Okhla Industrial Area, Phase-1, New Delhi 110020, India 2.Redington (India) Limited “Redington House” Centre Point, Plot Nos. 8 & 11 (SP) Thiru. Vi. Ka, Industrial Estate, Chennai 600032, India 3.Ingram Micro India Private Limited 5th Floor, Empire Plaza, Building A, LBS Marg, Vikhroli West, Mumbai 400083, India 4.World Peace International (India) Private Limited Building No. 26, 2nd Floor, Okhla Phase III, New Delhi 110020, India",7.9 x 30.6 x 46.9 Centimeters,1 Count,Laptop,,,,,Intel Arc,,,2800 MHz,,3,,12 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Renewed) Lenovo Windows 10 Pro Intel THINKPAD L470 - CORE I5 7TH GEN/8GB/256GB SSD/WEBCAM/14''/Win Pro,"15,850",https://www.amazon.in/Renewed-Lenovo-Windows-Intel-THINKPAD/dp/B0B25RPBSB/ref=sr_1_1042?dib=eyJ2IjoiMSJ9.diwDn756Y-deiEUmhol_qmQLd8aN24x3jRJzReqcRmA2gjz19I3jtyUB-u4U2U5sF1x2mADKgJQv-iJTitIOHT_pF6yer02JKQygxEzrqgT6-hWIUpWy47RqbSmUqrXG32p_BwkyPxiTR71vgfvc-5Mn9RD8knTd64M6EaoACHQEkxl6vmJNj7RlLG4Kzh74YpUaYMx528vR_CqnaPNQIMSebHK6Pf3DCcQ_AiZi03w_6JTHC-bEaXfm5HMvOIfvCFTupBjByxgfQwESGrx7dcOQxBitxAk-0yQCxVoKs4AvNxEYZGX6uiWdz1sM2AGMslfNT7MGuDd30MQaxNeW241NnVLyWRc6MDb2Yv1cC00.8m55PFpvyKH-FyDsOkxbZmE6yzTmN2F11d1ilNsGT1Q&dib_tag=se&qid=1737658125&s=computers&sr=1-1042&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,Lenovo,LENOVO,LENOVO THINKPAD L470-cr,Black,Laptop,10.16 Centimeters,36.2 Centimeters,14 Inches,1280 x 800 pixel,HD (1366 X 768),43.82 x 36.2 x 10.16 cm; 3 kg,,LENOVO THINKPAD L470-cr,Intel,Core i5 7200U,2.6 GHz,4,DDR4,8 GB,SSD,Headphones,Intel,Integrated,DDR4 SDRAM,Integrated,Wi-Fi,Windows 10 Pro,2 Hours,Yes,48 Watt Hours,6,"Laptop, charger",,3 kg,B0B25RPBSB,"3.5
65 ratings
3.5 out of 5 stars","#50,708 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,499 in Traditional Laptops",24 May 2022,"reeligo,Office No 605,6th Floor, Arcadia Tower,Sector 49,Gurgaon",,43.8 x 36.2 x 10.2 Centimeters,1.00 count,,8 GB,,256 GB,,Intel HD Graphics 620,8 GB,,,,2,,,,No Optical Device,,,Battery Powered,PC,5400 RPM,Bluetooth,3.96 Grams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft New Surface Laptop (7th Edition) - Windows 11 Home Copilot + PC - 13.8” LCD PixelSense Touchscreen - Qualcomm Snapdragon X Plus (10 Core) - 16GB RAM - 256GB SSD - Platinum - ZGJ-00023,"1,13,990",https://www.amazon.in/Microsoft-New-Surface-Laptop-7th/dp/B0D926V26J/ref=sr_1_1033?dib=eyJ2IjoiMSJ9.diwDn756Y-deiEUmhol_qmQLd8aN24x3jRJzReqcRmA2gjz19I3jtyUB-u4U2U5sF1x2mADKgJQv-iJTitIOHT_pF6yer02JKQygxEzrqgT6-hWIUpWy47RqbSmUqrXG32p_BwkyPxiTR71vgfvc-5Mn9RD8knTd64M6EaoACHQEkxl6vmJNj7RlLG4Kzh74YpUaYMx528vR_CqnaPNQIMSebHK6Pf3DCcQ_AiZi03w_6JTHC-bEaXfm5HMvOIfvCFTupBjByxgfQwESGrx7dcOQxBitxAk-0yQCxVoKs4AvNxEYZGX6uiWdz1sM2AGMslfNT7MGuDd30MQaxNeW241NnVLyWRc6MDb2Yv1cC00.8m55PFpvyKH-FyDsOkxbZmE6yzTmN2F11d1ilNsGT1Q&dib_tag=se&qid=1737658125&s=computers&sr=1-1033&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,Microsoft,Microsoft,Surface Laptop,Platinum,touchscreen,,,13.8 Inches,2304 x 1536 pixels,2304 x 1536 Pixels Per Inch,,1 Lithium Ion batteries required. (included),ZGJ-00023,Qualcomm,Snapdragon,3.4 GHz,1,LPDDR5x,16 GB,SSD,Speakers,Qualcomm,Integrated,DDR5 SDRAM,Integrated,"Bluetooth, Wi-Fi",Windows 11 Home,13 Hours,Yes,54 Watt Hours,6,"PSU, QSG, Power Adopter, Manual Book, Safety and Warranty documents",China,1 kg 220 g,B0D926V26J,"3.8
3 ratings
3.8 out of 5 stars","#62,695 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,920 in Traditional Laptops",10 July 2024,"Tech-Com (Shanghai) Computer Co., Ltd. No. 68, SanZhuang Rd, Songjiang Export Processing Zone, Shanghai 201613, P.R. China","JAINA INDIA PRIVATE LIMITED Registered Office: D-170, OKHLA INDUSTRIAL AREA, PHASE 1, DELHI, 110020, INDIA",,1 Count,Laptop,16 GB,DDR5 RAM,256 GB,,,,40.7 x 25.2 x 6.3 cm; 1.22 kg,,,,,15 Volts,,,Dolby Atmos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 Hours,,,
"HP Pavilion 15, 12th Gen Intel Core i5-1240P, 15.6 inch(39.6cm) FHD Laptop, 16GB RAM, 512GB SSD, Intel Iris Xe Graphics,B&O Audio,FPR,Backlit Keypad(Win 11,MSO, 1.74 Kgs,Natural Silver) 15-eg2002TU","67,990",https://www.amazon.in/HP-Pavilion-15-eg2002TU-i5-1240P-Graphics/dp/B09WDQJDGH/ref=sr_1_1034?dib=eyJ2IjoiMSJ9.diwDn756Y-deiEUmhol_qmQLd8aN24x3jRJzReqcRmA2gjz19I3jtyUB-u4U2U5sF1x2mADKgJQv-iJTitIOHT_pF6yer02JKQygxEzrqgT6-hWIUpWy47RqbSmUqrXG32p_BwkyPxiTR71vgfvc-5Mn9RD8knTd64M6EaoACHQEkxl6vmJNj7RlLG4Kzh74YpUaYMx528vR_CqnaPNQIMSebHK6Pf3DCcQ_AiZi03w_6JTHC-bEaXfm5HMvOIfvCFTupBjByxgfQwESGrx7dcOQxBitxAk-0yQCxVoKs4AvNxEYZGX6uiWdz1sM2AGMslfNT7MGuDd30MQaxNeW241NnVLyWRc6MDb2Yv1cC00.8m55PFpvyKH-FyDsOkxbZmE6yzTmN2F11d1ilNsGT1Q&dib_tag=se&qid=1737658125&s=computers&sr=1-1034&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,HP,HP,15-eg2002tu,Natural Silver,Netbook,1.8 Centimeters,24.2 Centimeters,39.6 Centimetres,1920 x 1080 pixels,1920 x 1080 Pixels,35.9 x 24.2 x 1.8 cm; 1.75 kg,1 Lithium Ion batteries required. (included),15-eg2002TU,Intel,Core i5,4.6 GHz,1,DDR4,16 GB,SSD,"Headphones, Speakers",Intel,Integrated,VRAM,PCI Express,Wi-Fi,Windows 11 Home,,Yes,41 Watt Hours,3,"Laptop, Power Adapter, User Manual",,1 kg 750 g,B09WDQJDGH,"3.3
19 ratings
3.3 out of 5 stars","#57,501 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,742 in Traditional Laptops",24 March 2022,HP India Sales Pvt. Ltd,HP India Sales Pvt. Ltd.,35.9 x 24.2 x 1.8 Centimeters,,Laptop,16 GB,,512 GB,,Intel Iris Xe Graphics,,,3200 GHz,,2,,230 Volts,,No optical drive,Audio by Bang & Olufsen; Dual speakers,,,PC,,,,720 Pixels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire 5 Gaming Laptop Intel Core i7 13th Gen (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) A514-56GM,14"" WUXGA Display, 1.56 KG","57,790",https://www.amazon.in/Acer-Windows-Graphics-GeForce-A514-56GM/dp/B0C3HQBY4T/ref=sr_1_1035?dib=eyJ2IjoiMSJ9.diwDn756Y-deiEUmhol_qmQLd8aN24x3jRJzReqcRmA2gjz19I3jtyUB-u4U2U5sF1x2mADKgJQv-iJTitIOHT_pF6yer02JKQygxEzrqgT6-hWIUpWy47RqbSmUqrXG32p_BwkyPxiTR71vgfvc-5Mn9RD8knTd64M6EaoACHQEkxl6vmJNj7RlLG4Kzh74YpUaYMx528vR_CqnaPNQIMSebHK6Pf3DCcQ_AiZi03w_6JTHC-bEaXfm5HMvOIfvCFTupBjByxgfQwESGrx7dcOQxBitxAk-0yQCxVoKs4AvNxEYZGX6uiWdz1sM2AGMslfNT7MGuDd30MQaxNeW241NnVLyWRc6MDb2Yv1cC00.8m55PFpvyKH-FyDsOkxbZmE6yzTmN2F11d1ilNsGT1Q&dib_tag=se&qid=1737658125&s=computers&sr=1-1035&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,Acer,acer,Aspire 5 14,Gray,Laptop,50.8 Centimeters,7.8 Centimeters,14 Inches,1920 x 1200 pixel,1900 x 1200 Pixels,50.8 x 7.8 x 50.8 cm; 1.57 kg,1 Lithium Ion batteries required. (included),,Intel,Core i7,,1,LPDDR4,32 GB,SSD,Speakers,NVIDIA,Dedicated,GDDR6,Integrated,Bluetooth,Windows 11 Home,,Yes,50 Watt Hours,3,"1U (contains Laptop 1N, Power cord 1N, Adapter 1N, User Manual 1N)",China,1 kg 570 g,B0C3HQBY4T,"3.5
4 ratings
3.5 out of 5 stars","#64,541 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,984 in Traditional Laptops",17 May 2023,"Quanta, Tech-Front (Chongqing) Computer Co.,Ltd (Quanta Chongqing), 18#,Zongbao Road, Shapingba District, Chongqing, China","ACER INDIA PRIVATE LIMITED Embassy Heights, 6th Floor, No. 13 Magrath Road, Next to HOSMAT Hospital, Bangalore, INDIA – 560025",50.8 x 7.8 x 50.8 Centimeters,1 Count,laptop,8 GB,,512 GB,Serial ATA,NVIDIA GeForce RTX 2050,4 GB,,,,,,,,,Built-in speakers,,Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
(Refurbished) DELL LATITUDE 7390 (Core i5 8th GEN/ 8GB RAM/ 256GB SSD/ WEBCAM/ 13.3'' NON TOUCH/ WIN-10,"20,090",https://www.amazon.in/Renewed-LATITUDE-WEBCAM-WIN-10-Warranty/dp/B0BVRDFPQK/ref=sr_1_1036?dib=eyJ2IjoiMSJ9.diwDn756Y-deiEUmhol_qmQLd8aN24x3jRJzReqcRmA2gjz19I3jtyUB-u4U2U5sF1x2mADKgJQv-iJTitIOHT_pF6yer02JKQygxEzrqgT6-hWIUpWy47RqbSmUqrXG32p_BwkyPxiTR71vgfvc-5Mn9RD8knTd64M6EaoACHQEkxl6vmJNj7RlLG4Kzh74YpUaYMx528vR_CqnaPNQIMSebHK6Pf3DCcQ_AiZi03w_6JTHC-bEaXfm5HMvOIfvCFTupBjByxgfQwESGrx7dcOQxBitxAk-0yQCxVoKs4AvNxEYZGX6uiWdz1sM2AGMslfNT7MGuDd30MQaxNeW241NnVLyWRc6MDb2Yv1cC00.8m55PFpvyKH-FyDsOkxbZmE6yzTmN2F11d1ilNsGT1Q&dib_tag=se&qid=1737658125&s=computers&sr=1-1036&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,Dell,DELL,DELL LATITUDE 7390-cr,Black,laptop,,,13 Inches,1920 x 1080 pixels,1920 x 1080,,1 Lithium Ion batteries required. (included),QCNBPAW0154-cr,Intel,Core i5 8250U,3.4 GHz,4,DDR4,16 GB,SSD,Speakers,Intel,Integrated,DDR4 SDRAM,Integrated,Wi-Fi,Windows 10 Pro,,Yes,50 Watt Hours,4,Laptop & Charger,,2 kg 250 g,B0BVRDFPQK,"1.9
5 ratings
1.9 out of 5 stars","#57,727 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,743 in Traditional Laptops",14 February 2023,,,,1.00 count,,8 GB,,256 GB,Solid State,,,44.1 x 36.5 x 10.2 cm; 2.25 kg,,1,1,,,,No Optical Device,,,Battery Powered,Windows,5400 RPM,,190 Grams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS Vivobook 15 (2023), Intel Core i3-1315U 13th Gen, 15.6"" (39.62 cms) FHD, Thin & Light Laptop (8GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Fingerprint/Blue/1.7 kg), X1504VA-NJ323WS_WO","37,990",https://www.amazon.in/ASUS-Vivobook-Integrated-Fingerprint-X1504VA-NJ323WS/dp/B0C1GH5S7G/ref=sr_1_1037?dib=eyJ2IjoiMSJ9.diwDn756Y-deiEUmhol_qmQLd8aN24x3jRJzReqcRmA2gjz19I3jtyUB-u4U2U5sF1x2mADKgJQv-iJTitIOHT_pF6yer02JKQygxEzrqgT6-hWIUpWy47RqbSmUqrXG32p_BwkyPxiTR71vgfvc-5Mn9RD8knTd64M6EaoACHQEkxl6vmJNj7RlLG4Kzh74YpUaYMx528vR_CqnaPNQIMSebHK6Pf3DCcQ_AiZi03w_6JTHC-bEaXfm5HMvOIfvCFTupBjByxgfQwESGrx7dcOQxBitxAk-0yQCxVoKs4AvNxEYZGX6uiWdz1sM2AGMslfNT7MGuDd30MQaxNeW241NnVLyWRc6MDb2Yv1cC00.8m55PFpvyKH-FyDsOkxbZmE6yzTmN2F11d1ilNsGT1Q&dib_tag=se&qid=1737658125&s=computers&sr=1-1037&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,ASUS,ASUS,Vivobook 15_WO,Quiet Blue i3 13th Gen FHD,Ultra-Portable,48.5 Centimeters,6.5 Centimeters,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,48.5 x 6.5 x 48.5 cm; 1.7 kg,1 Lithium Ion batteries required. (included),X1504VA-NJ323WS_WO,Intel,Core i3,4.5 GHz,6,DDR4,16 GB,SSD,"Headphones, Speakers",Intel,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",Windows 11 Home,6 Hours,Yes,42 Watt Hours,3,"Laptop, User Manual, 45W AC Adapter",,1 kg 700 g,B0C1GH5S7G,"3.9
41 ratings
3.9 out of 5 stars","#45,285 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,328 in Traditional Laptops",20 April 2023,"DIGITEK (CHONGQING) Limited, B01 SEC C Airport Function Zone Lianglu Cuntan Free Trade Port Area, Yubei District, China","ASUS INDIA PRIVATE LIMITED, 402, Supreme Chambers, 17/18, Shah Industrial Estate, Veera Desai Road, Andheri (West), Mumbai 400053, India",48.5 x 6.5 x 48.5 Centimeters,1 Count,Laptop,8 GB,SODIMM,512 GB,PCIE x 4,Intel UHD Graphics,,,3200 MHz,1,3,1,19 Volts,45 Watts,No Optical Storage,"SonicMaster, Built-in speaker, Built-in array microphone",,Battery Powered,PC,,"Bluetooth, 802.11ax",,720 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 Hours,,,
"Lenovo ThinkBook 15 Intel 12th Gen Core i7 15.6"" (39.62cm) FHD 250 nits Antiglare Thin and Light Laptop (16GB/512GB SSD/Windows 11 Home/MS Office H&S 2021/Backlit/Mineral Grey/1.7 Kg), 21DJA04NIH","85,990",https://www.amazon.in/Lenovo-ThinkBook-39-62cm-Antiglare-21DJA04NIH/dp/B0BDMB2833/ref=sr_1_1039?dib=eyJ2IjoiMSJ9.diwDn756Y-deiEUmhol_qmQLd8aN24x3jRJzReqcRmA2gjz19I3jtyUB-u4U2U5sF1x2mADKgJQv-iJTitIOHT_pF6yer02JKQygxEzrqgT6-hWIUpWy47RqbSmUqrXG32p_BwkyPxiTR71vgfvc-5Mn9RD8knTd64M6EaoACHQEkxl6vmJNj7RlLG4Kzh74YpUaYMx528vR_CqnaPNQIMSebHK6Pf3DCcQ_AiZi03w_6JTHC-bEaXfm5HMvOIfvCFTupBjByxgfQwESGrx7dcOQxBitxAk-0yQCxVoKs4AvNxEYZGX6uiWdz1sM2AGMslfNT7MGuDd30MQaxNeW241NnVLyWRc6MDb2Yv1cC00.8m55PFpvyKH-FyDsOkxbZmE6yzTmN2F11d1ilNsGT1Q&dib_tag=se&qid=1737658125&s=computers&sr=1-1039&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,Lenovo,Lenovo,TB 15 G4,Mineral Grey,Notebook,19 Millimeters,35.7 Centimeters,15.6 Inches,1920 x 1080 pixel,,23.5 x 35.7 x 1.9 cm; 1.7 kg,1 Lithium Polymer batteries required. (included),,Intel,Core i7,1.7 GHz,1,DDR4,40 GB,SSD,"Headphones, Speakers",Intel,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",Windows 11 Home,6 Hours,Yes,45 Watt Hours,3,"Laptop, User manual, Adapter",China,1 kg 700 g,B0BDMB2833,"3.0
8 ratings
3.0 out of 5 stars","#58,180 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,765 in Traditional Laptops",8 September 2022,"Compal Information Technology ( KUNSHUN) co.ltd No.58 First Avenue, A Zone KUNSHAN Comprehensive Free Trade Zone, KUNSHAN, Jiangsu China","Compal Information Technology ( KUNSHUN) co.ltd No.58 First Avenue, A Zone KUNSHAN Comprehensive Free Trade Zone, KUNSHAN, Jiangsu China",23.5 x 35.7 x 1.9 Centimeters,1 Case,Laptop,16 GB,,512 GB,,,16 GB,,,,,,9.6 Volts,65 Watts,No Optical Drive,,,Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) Lenovo Thinkpad Laptop T480 Intel Core i5 8th Generation - 8350u Processor 8 GB Ram & 256 GB SSD, 14 Inches Notebook Computer","16,790",https://www.amazon.in/Renewed-Lenovo-Thinkpad-Laptop-Generation/dp/B0B7BMCB7F/ref=sr_1_1040?dib=eyJ2IjoiMSJ9.diwDn756Y-deiEUmhol_qmQLd8aN24x3jRJzReqcRmA2gjz19I3jtyUB-u4U2U5sF1x2mADKgJQv-iJTitIOHT_pF6yer02JKQygxEzrqgT6-hWIUpWy47RqbSmUqrXG32p_BwkyPxiTR71vgfvc-5Mn9RD8knTd64M6EaoACHQEkxl6vmJNj7RlLG4Kzh74YpUaYMx528vR_CqnaPNQIMSebHK6Pf3DCcQ_AiZi03w_6JTHC-bEaXfm5HMvOIfvCFTupBjByxgfQwESGrx7dcOQxBitxAk-0yQCxVoKs4AvNxEYZGX6uiWdz1sM2AGMslfNT7MGuDd30MQaxNeW241NnVLyWRc6MDb2Yv1cC00.8m55PFpvyKH-FyDsOkxbZmE6yzTmN2F11d1ilNsGT1Q&dib_tag=se&qid=1737658125&s=computers&sr=1-1040&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,Lenovo,Lenovo,T480-cr,black,Notebook,0.8 Centimeters,34 Centimeters,14 Inches,1366x768,1080p Full HD Pixels,23.5 x 34 x 0.8 cm; 1.68 kg,1 Lithium Ion batteries required.,T480-8th-i5-8-256-cr,Intel,Core i5 8250U,1.7 GHz,1,DDR4,8 GB,SSD,Headphones,Intel,Integrated,DDR SDRAM,Integrated,Wi-Fi,Windows 10 Pro,,No,45 Watt Hours,1,"Laptop , Charger",,1 kg 680 g,B0B7BMCB7F,"3.4
89 ratings
3.4 out of 5 stars","#50,571 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,492 in Traditional Laptops",22 July 2022,,,23.5 x 34 x 0.8 Centimeters,1.00 count,,8 GB,,256 GB,,intel,8 GB,,,,2,,,,No Optical Drive,,,Battery Powered,Windows,5400 RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
