title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Standing screen display size,tech_Screen Resolution,tech_Resolution,tech_Package Dimensions,tech_Batteries,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_RAM Size,tech_Memory Technology,tech_Maximum Memory Supported,tech_Hard Drive Size,tech_Hard Disk Description,tech_Hard Drive Interface,tech_Hard Disk Rotational Speed,tech_Audio Details,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Interface,tech_Connectivity Type,tech_Wireless Type,tech_Number of USB 2.0 Ports,tech_Number of USB 3.0 Ports,tech_Optical Drive Type,tech_Power Source,tech_Hardware Platform,tech_Operating System,tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Lithium Battery Weight,tech_Number of Lithium Ion Cells,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Net Quantity,tech_Item Height,tech_Item Width,tech_Product Dimensions,tech_Computer Memory Type,tech_Memory Clock Speed,tech_Speaker Description,tech_Graphics Coprocessor,tech_Graphics Card Ram Size,tech_Number of HDMI Ports,tech_Voltage,tech_Wattage,tech_Rear Webcam Resolution,tech_Front Webcam Resolution,tech_Average Battery Life (in hours),info_Packer,info_Importer,info_Item Dimensions LxWxH,info_Generic Name,tech_Average Battery Standby Life (in hours),tech_Number of Lithium Metal Cells,tech_Model,tech_Model Name,tech_Model Year,tech_Memory Storage Capacity,tech_Memory Slots Available,tech_Flash Memory Installed Size,tech_Ram Memory Installed Size,tech_RAM memory maximum size,tech_Ram Memory Technology,tech_Processor model number,tech_Hardware Interface,tech_Chipset Type,tech_Mounting Hardware,tech_Number of items,tech_Software included,tech_Display Technology,tech_Display Type,tech_Audio Output Type,tech_Battery Average Life,tech_Batteries Included,tech_Batteries Required,tech_Battery cell composition,tech_Total USB ports,tech_Keyboard Description,tech_Connector Type,tech_Device interface - primary,tech_Device type,tech_Item dimensions L x W x H,tech_Recommended Uses For Product,tech_Theme,tech_Cartoon Character,tech_Special Feature,tech_Number of Pieces,tech_Style,tech_Age Range (Description),tech_Reusability,tech_Item Form,tech_Pattern,tech_Indoor/Outdoor Usage,tech_Finish Type,tech_Number of Items,tech_Target Audience,tech_ASIN,info_Manufacturer,info_Item Weight
"Acer Swift Go 14 Thin and Light Premium Laptop AMD Ryzen 5 7530U Hexa-Core Processor (8GB/ 512 GB SSD/Windows 11 Home/MS Office Home and Student) Pure Silver, SFG14-41, 35.56 cm (14.0"") Full HD","48,990",https://www.amazon.in/Acer-SmartChoice-Hexa-Core-Processor-SFG14-41/dp/B0BTTBFSHG/ref=sr_1_1399?dib=eyJ2IjoiMSJ9.qWARLZ3hRgNMdX-LTJrHl27zpNd8d6ZLPh1UoRqXIyAH8NPRn6U0ojwAKxIYIsl9bQDAEFS-_-lwUxJ0sQBK_zgtAtaa8Z4ZEuzCQXPaXva9dpktu8PVrAl4XoKXDYZZIArp0UzPTDr03SvlhG2AQV5UfskJXw22eEWjGjQq3SArHDuokHRCmdj4_v9PKtrWOylB4CW8ndyEmgI4rX-UEbHCkMq3QKfpiEXyNv-iGEUH147sFIExy8qS3I5wOrwJCdL2iom3nsSIo6wFcQrG-alL8t9_eDO89iV-eWi2A7Pz9tRVwjfKI3gH2f1c85nWNTZuTH_O_XleEzWJAQDO2SGbcT3wlsLy5xssdhoDrxg.LfOH7MpCeCIfPML8zPb4UEFxw0UEyc28hIIZRYlaCl8&dib_tag=se&qid=1737704997&s=computers&sr=1-1399&xpid=Nq2TqhdbIsqAo,2025-01-24 13:25:35,Acer,acer,Swift Go,Pure Silver,Laptop,14 Inches,1920 x 1080 pixel,1920 x 1080 Pixels,,1 Lithium Ion batteries required. (included),NX.KG3SI.004,AMD,Ryzen 5,2 GHz,1,8 GB,LPDDR4X,8 GB,512 GB,SSD,USB-C,,Speakers,AMD,Integrated,DRAM,Integrated,Wi-Fi,Bluetooth,1,,,Battery Powered,,Windows 11 Home,Yes,50 Watt Hours,,3,"1U (contains Laptop 1N, Power cord 1N, Adapter 1N, User Manual 1N)",,1 kg 250 g,B0BTTBFSHG,"4.2
10 ratings
4.2 out of 5 stars","#68,969 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,153 in Traditional Laptops",3 February 2023,1 Count,16 Millimeters,32.2 Centimeters,21.2 x 32.2 x 1.6 cm; 1.25 kg,,,,AMD Radeon Graphics,8 GB,1,,,,,,"Huaqin, Nanchang HuaQin Electronic Technology Co., Ltd. No. 2999 Tianxiang Road, High-tech Zone, Nanchang , Jiangxi, China","ACER INDIA PRIVATE LIMITED Embassy Heights, 6th Floor, No. 13 Magrath Road, Next to HOSMAT Hospital, Bangalore, INDIA – 560025",21.2 x 32.2 x 1.6 Centimeters,laptop,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) V14 G2 ITL/14.0-inch /i3-1115G4 (4GB/256GB SSD/Win 11 SL/1M HD Camera/ 82KAA05VIH), Black","21,617",https://www.amazon.in/Renewed-Lenovo-i3-1115G4-Warranty-%EF%BB%BF82KAA05VIH/dp/B0BTP4NT9W/ref=sr_1_1400?dib=eyJ2IjoiMSJ9.qWARLZ3hRgNMdX-LTJrHl27zpNd8d6ZLPh1UoRqXIyAH8NPRn6U0ojwAKxIYIsl9bQDAEFS-_-lwUxJ0sQBK_zgtAtaa8Z4ZEuzCQXPaXva9dpktu8PVrAl4XoKXDYZZIArp0UzPTDr03SvlhG2AQV5UfskJXw22eEWjGjQq3SArHDuokHRCmdj4_v9PKtrWOylB4CW8ndyEmgI4rX-UEbHCkMq3QKfpiEXyNv-iGEUH147sFIExy8qS3I5wOrwJCdL2iom3nsSIo6wFcQrG-alL8t9_eDO89iV-eWi2A7Pz9tRVwjfKI3gH2f1c85nWNTZuTH_O_XleEzWJAQDO2SGbcT3wlsLy5xssdhoDrxg.LfOH7MpCeCIfPML8zPb4UEFxw0UEyc28hIIZRYlaCl8&dib_tag=se&qid=1737704997&s=computers&sr=1-1400&xpid=Nq2TqhdbIsqAo,2025-01-24 13:25:35,Lenovo,intel,LenovoV14 G2,Black,Laptop,14 Inches,1920 x 1080 pixel,1920 x 1080,,1 Lithium Ion batteries required. (included),LenovoV14 G2,Intel,Core i3,3 GHz,1,4 GB,DDR4,16 GB,256 GB,SSD,,5400 RPM,Speakers,Intel,Integrated,Shared,,Wi-Fi,,1,,,Battery Powered,Windows,Windows 11 Home,Yes,65 Watt Hours,0.5 Grams,,"Laptop, Battery, AC Adapter, User Guide, Manuals",India,1 kg 600 g,B0BTP4NT9W,"5.0
2 ratings
5.0 out of 5 stars","#104,175 in Computers & Accessories (See Top 100 in Computers & Accessories)
#200 in Refurbished Deals
#255 in Renewed - Regional New Year
#265 in Sankranti / Pongal Store",2 February 2023,1 Pack,20 Millimeters,32.4 Centimeters,21.5 x 32.4 x 2 cm; 1.6 kg,,,,Intel UHD Graphics,4 GB,,15.6 Volts,,,,,,,21.5 x 32.4 x 2 Centimeters,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) Lenovo Latitude Laptop Windows 10 Pro X260 Intel Core i3 - 6100u Processor 6th Gen, 8 GB Ram & 128 GB SSD, 12.5 inches , Ultra Slim & Feather Light 1.4KG Notebook Computer","16,989",https://www.amazon.in/Refurbished-Lenovo-Latitude-Laptop-Intel/dp/B09MTDLNR9/ref=sr_1_1401?dib=eyJ2IjoiMSJ9.qWARLZ3hRgNMdX-LTJrHl27zpNd8d6ZLPh1UoRqXIyAH8NPRn6U0ojwAKxIYIsl9bQDAEFS-_-lwUxJ0sQBK_zgtAtaa8Z4ZEuzCQXPaXva9dpktu8PVrAl4XoKXDYZZIArp0UzPTDr03SvlhG2AQV5UfskJXw22eEWjGjQq3SArHDuokHRCmdj4_v9PKtrWOylB4CW8ndyEmgI4rX-UEbHCkMq3QKfpiEXyNv-iGEUH147sFIExy8qS3I5wOrwJCdL2iom3nsSIo6wFcQrG-alL8t9_eDO89iV-eWi2A7Pz9tRVwjfKI3gH2f1c85nWNTZuTH_O_XleEzWJAQDO2SGbcT3wlsLy5xssdhoDrxg.LfOH7MpCeCIfPML8zPb4UEFxw0UEyc28hIIZRYlaCl8&dib_tag=se&qid=1737704997&s=computers&sr=1-1401&xpid=Nq2TqhdbIsqAo,2025-01-24 13:25:35,Lenovo,Lenovo,X260,black,Notebook,12.5 Inches,1366x768,HD (1366 X 768),,1 Lithium Ion batteries required. (included),X260-i3-8-128-cr,Intel,Core i3 6100U,2.3 GHz,1,8 GB,DDR4,8 GB,128 GB,SSD,,5400 RPM,Headphones,Intel,Integrated,DDR SDRAM,Integrated,Wi-Fi,,2,1,No Optical Drive,Battery Powered,Windows,Windows 10 Pro,Yes,30 Watt Hours,30 Grams,4,"Laptop , Charger",India,1 kg 400 g,B09MTDLNR9,"3.7
124 ratings
3.7 out of 5 stars","#68,707 in Computers & Accessories (See Top 100 in Computers & Accessories)
#874 in Valentine's Day (Amazon Renewed)
#2,142 in Traditional Laptops",1 December 2021,1.00 count,2 Centimeters,20 Centimeters,31 x 20 x 2 cm; 1.4 kg,,,,,,,,,,,4 Hours,,,31 x 20 x 2 Centimeters,laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Aspire 5 Intel Core i3 11th Generation 14-inch (35.56 cms) Thin and Light Laptop - (4 GB/256 GB SSD/Windows 10 Home/Intel UHD Graphics /1.45Kg/Silver) A514-54,"31,980",https://www.amazon.in/Acer-Aspire-Generation-14-inch-Laptop/dp/B09D3B7NX9/ref=sr_1_1402?dib=eyJ2IjoiMSJ9.qWARLZ3hRgNMdX-LTJrHl27zpNd8d6ZLPh1UoRqXIyAH8NPRn6U0ojwAKxIYIsl9bQDAEFS-_-lwUxJ0sQBK_zgtAtaa8Z4ZEuzCQXPaXva9dpktu8PVrAl4XoKXDYZZIArp0UzPTDr03SvlhG2AQV5UfskJXw22eEWjGjQq3SArHDuokHRCmdj4_v9PKtrWOylB4CW8ndyEmgI4rX-UEbHCkMq3QKfpiEXyNv-iGEUH147sFIExy8qS3I5wOrwJCdL2iom3nsSIo6wFcQrG-alL8t9_eDO89iV-eWi2A7Pz9tRVwjfKI3gH2f1c85nWNTZuTH_O_XleEzWJAQDO2SGbcT3wlsLy5xssdhoDrxg.LfOH7MpCeCIfPML8zPb4UEFxw0UEyc28hIIZRYlaCl8&dib_tag=se&qid=1737704997&s=computers&sr=1-1402&xpid=Nq2TqhdbIsqAo,2025-01-24 13:25:35,Acer,Acer,Aspire 5,Silver,Ultra-Portable,14 Inches,1366 x 768 pixels,1366 x 768 Pixels,,1 Lithium Ion batteries required. (included),A514-54,Intel,Core i3,4.1 GHz,1,4 GB,DDR4,20 GB,256 GB,SSD,Solid State,,"Headphones, Speakers",Intel,Integrated,DRAM,Integrated,"Bluetooth, Wi-Fi","Bluetooth, 802.11ax",,4,,Battery Powered,Windows,Windows 10 Home,Yes,,,3,"Laptop, Power adapter, User guide, Waranty documents",,1 kg 450 g,B09D3B7NX9,"4.0
145 ratings
4.0 out of 5 stars","#68,548 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,137 in Traditional Laptops",19 August 2021,1 Piece,18 Millimeters,32.8 Centimeters,22.3 x 32.8 x 1.8 cm; 1.45 kg,DDR4 SDRAM,,"Built in 2 stereo speaker, Acer Trueharmony",Intel UHD Graphics,8 GB,1,,48 Watt Hours,,,10 Hours,"Compal Electronics Pvt Ltd, No.D01, Zone D, Air Port Section of LiangLu CunTan Free Trade Port Area, YuBei District, Chongqing, China","ACER INDIA PRIVATE LIMITED Embassy Heights, 6th Floor, No. 13 Magrath Road, Next to HOSMAT Hospital, Bangalore, INDIA – 560025",22.3 x 32.8 x 1.8 Centimeters,Laptops,11.5 Hours,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) HP Pavilion Aero, Lightest AI PC, AMD Ryzen 5 8640U, 13.3-inch, WUXGA, 400 nits, 16GB LPDDR5x, 512GB SSD, AMD Radeon Graphics, 5MP Camera, Poly Studio, MSO 2021 (Win 11, Silver, 1 kg), bg0016AU","62,891",https://www.amazon.in/Refurbished-HP-Pavilion-Lightest-13-3-inch/dp/B0DCJK83HM/ref=sr_1_1393?dib=eyJ2IjoiMSJ9.qWARLZ3hRgNMdX-LTJrHl27zpNd8d6ZLPh1UoRqXIyAH8NPRn6U0ojwAKxIYIsl9bQDAEFS-_-lwUxJ0sQBK_zgtAtaa8Z4ZEuzCQXPaXva9dpktu8PVrAl4XoKXDYZZIArp0UzPTDr03SvlhG2AQV5UfskJXw22eEWjGjQq3SArHDuokHRCmdj4_v9PKtrWOylB4CW8ndyEmgI4rX-UEbHCkMq3QKfpiEXyNv-iGEUH147sFIExy8qS3I5wOrwJCdL2iom3nsSIo6wFcQrG-alL8t9_eDO89iV-eWi2A7Pz9tRVwjfKI3gH2f1c85nWNTZuTH_O_XleEzWJAQDO2SGbcT3wlsLy5xssdhoDrxg.LfOH7MpCeCIfPML8zPb4UEFxw0UEyc28hIIZRYlaCl8&dib_tag=se&qid=1737704997&s=computers&sr=1-1393&xpid=Nq2TqhdbIsqAo,2025-01-24 13:25:35,HP,HP,13-bg0016AU,Silver Ryzen 5 8640U + 16GB/512GB,Laptop,13.3 Inches,1920 x 1080 pixel,1920x1080,,,A1RA6PA-cr,AMD,Ryzen 5,4.9 GHz,1,16,Lpddr 5,16 GB,512 GB,SSD,,,,AMD,Integrated,DDR5 SDRAM,,Wi-Fi,,,,,,,Windows 11 Home,Yes,43 Watt Hours,,3,"Laptop, Power Adapter, User Manual",,1 kg,B0DCJK83HM,,"#107,763 in Computers & Accessories (See Top 100 in Computers & Accessories)
#3,421 in Traditional Laptops",8 August 2024,,48.4 Centimeters,30 Centimeters,6.9 x 30 x 48.4 cm; 1 kg,DDR5 RAM,,,AMD Radeon Graphics,,,45 Volts,,,,,,,6.9 x 30 x 48.4 Centimeters,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS Vivobook 15 (2024) Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ545WS Thin and Light Laptop (15.6 Inch, Icelight Silver, 1.70 Kg, with MS Office)","47,990",https://www.amazon.in/ASUS-Vivobook-Intel-Core-1235U/dp/B0D6WDM9T7/ref=sr_1_1394?dib=eyJ2IjoiMSJ9.qWARLZ3hRgNMdX-LTJrHl27zpNd8d6ZLPh1UoRqXIyAH8NPRn6U0ojwAKxIYIsl9bQDAEFS-_-lwUxJ0sQBK_zgtAtaa8Z4ZEuzCQXPaXva9dpktu8PVrAl4XoKXDYZZIArp0UzPTDr03SvlhG2AQV5UfskJXw22eEWjGjQq3SArHDuokHRCmdj4_v9PKtrWOylB4CW8ndyEmgI4rX-UEbHCkMq3QKfpiEXyNv-iGEUH147sFIExy8qS3I5wOrwJCdL2iom3nsSIo6wFcQrG-alL8t9_eDO89iV-eWi2A7Pz9tRVwjfKI3gH2f1c85nWNTZuTH_O_XleEzWJAQDO2SGbcT3wlsLy5xssdhoDrxg.LfOH7MpCeCIfPML8zPb4UEFxw0UEyc28hIIZRYlaCl8&dib_tag=se&qid=1737704997&s=computers&sr=1-1394&xpid=Nq2TqhdbIsqAo,2025-01-24 13:25:35,ASUS,ASUS,Vivobook 15 (2024),Icelight Silver,thin and light,39.62 Centimetres,1920 x 1080 pixels,1920 x 1080 Pixels,48.7 x 28.7 x 6.5 cm; 1.7 kg,1 P76 batteries required. (included),X1502ZA-EJ545WS,Intel,Intel Core i5,4.4 GHz,10,16 GB,DDR4,16 GB,512 GB,,,,Speakers,Intel,Integrated,Shared,Integrated,Wi-Fi,,1,2,No Optical Drive,,,Windows 11 Home,Yes,42 Watt Hours,,3,"LAPTOP, POWER ADAPTER, USER GUIDE",,1 kg 700 g,B0D6WDM9T7,"5.0
1 rating
5.0 out of 5 stars","#98,712 in Computers & Accessories (See Top 100 in Computers & Accessories)
#3,124 in Traditional Laptops",12 June 2024,1.00 count,,,,,4.4 MHz,"SonicMaster, Built-in speaker",Intel Iris Xe Graphics,,1,19 Volts (DC),45 Watts,,,8 Hours,"TECH FRONT ( CHONGQING) Computer Co. Ltd, NO 18 , Zongbao Road, Shapingba Dist,Chongquing, China","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veer Desai Road, Andheri (west), Mumbai 400053, India",,Business Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP OMEN, 13thGen Intel Core i5-13420H, 6GB NVIDIA RTX 4050, 16GB DDR5, 512GB SSD, 144Hz, IPS, 16.1-inch(40.9cm) FHD Gaming laptop, RGB Keyboard, 1080p FHD camera (Win11,Office21,Black,2.32kg) wd0880TX","88,990",https://www.amazon.in/HP-i5-13420H-16-1-inch-Backlit-wd0880TX/dp/B0C9JJL7SM/ref=sr_1_1396?dib=eyJ2IjoiMSJ9.qWARLZ3hRgNMdX-LTJrHl27zpNd8d6ZLPh1UoRqXIyAH8NPRn6U0ojwAKxIYIsl9bQDAEFS-_-lwUxJ0sQBK_zgtAtaa8Z4ZEuzCQXPaXva9dpktu8PVrAl4XoKXDYZZIArp0UzPTDr03SvlhG2AQV5UfskJXw22eEWjGjQq3SArHDuokHRCmdj4_v9PKtrWOylB4CW8ndyEmgI4rX-UEbHCkMq3QKfpiEXyNv-iGEUH147sFIExy8qS3I5wOrwJCdL2iom3nsSIo6wFcQrG-alL8t9_eDO89iV-eWi2A7Pz9tRVwjfKI3gH2f1c85nWNTZuTH_O_XleEzWJAQDO2SGbcT3wlsLy5xssdhoDrxg.LfOH7MpCeCIfPML8zPb4UEFxw0UEyc28hIIZRYlaCl8&dib_tag=se&qid=1737704997&s=computers&sr=1-1396&xpid=Nq2TqhdbIsqAo,2025-01-24 13:25:35,HP,HP,16-wd0880TX,Shadow Black,Traditional Clamshell,40.9 Centimetres,1920 x 1080 pixels,1920 x 1080 Pixels,,1 Lithium Ion batteries required. (included),16-wd0880TX,Intel,Core i5,4.6 GHz,1,16 GB,DDR5,32 GB,512 GB,SSD,,,"Headphones, Speakers",Intel,Dedicated,GDDR6,PCI Express,Wi-Fi,,,3,,,PC,Windows 11 Home,Yes,83 Watt Hours,,6,"Laptop, Power Adapter, User Manual",,2 kg 320 g,B0C9JJL7SM,"4.5
19 ratings
4.5 out of 5 stars","#8,869 in Computers & Accessories (See Top 100 in Computers & Accessories)
#283 in Traditional Laptops",27 June 2023,1 Count,59.6 Centimeters,6.9 Centimeters,59.6 x 6.9 x 59.6 cm; 2.32 kg,,,"Audio by B&O, Dual speakers",NVIDIA GeForce RTX 4050,6 GB,,230 Volts,120 Watts,,1080 Pixels,6 Hours,HP India Sales Pvt. Ltd.,HP India Sales Pvt. Ltd.,59.6 x 6.9 x 59.6 Centimeters,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glossy Designs Full Body Laptop Skin Upto 15.6 inch Sticker Compatible for Dell/HP/Lenovo/Acer/Sony All Laptop Size Upto 14 to 15.6 Inch - Cute Teddy Bear On Pink,299,https://www.amazon.in/Glossy-Designs-Laptop-Sticker-Compatible/dp/B09ZFCF55W/ref=sr_1_1397?dib=eyJ2IjoiMSJ9.qWARLZ3hRgNMdX-LTJrHl27zpNd8d6ZLPh1UoRqXIyAH8NPRn6U0ojwAKxIYIsl9bQDAEFS-_-lwUxJ0sQBK_zgtAtaa8Z4ZEuzCQXPaXva9dpktu8PVrAl4XoKXDYZZIArp0UzPTDr03SvlhG2AQV5UfskJXw22eEWjGjQq3SArHDuokHRCmdj4_v9PKtrWOylB4CW8ndyEmgI4rX-UEbHCkMq3QKfpiEXyNv-iGEUH147sFIExy8qS3I5wOrwJCdL2iom3nsSIo6wFcQrG-alL8t9_eDO89iV-eWi2A7Pz9tRVwjfKI3gH2f1c85nWNTZuTH_O_XleEzWJAQDO2SGbcT3wlsLy5xssdhoDrxg.LfOH7MpCeCIfPML8zPb4UEFxw0UEyc28hIIZRYlaCl8&dib_tag=se&qid=1737704997&s=computers&sr=1-1397&xpid=Nq2TqhdbIsqAo,2025-01-24 13:25:35,,,,,,,,,,,GDLS-Teddy-868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,India,,,,"#103,834 in Computers & Accessories (See Top 100 in Computers & Accessories)
#3,291 in Traditional Laptops",,1.00 count,,,,,,,,,,,,,,,Glossy Designs Sales And Services.,,27.9 x 40.6 x 0.1 Centimeters,Laptop Skin Sticker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B09ZFCF55W,,80 g
"(Refurbished) Lenovo Ideapad 3 AMD Ryzen 5 5500U 15.6"" FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11","32,291",https://www.amazon.in/Renewed-Lenovo-Keyboard-Warranty-82KU017KIN/dp/B09QLLNR66/ref=sr_1_1398?dib=eyJ2IjoiMSJ9.qWARLZ3hRgNMdX-LTJrHl27zpNd8d6ZLPh1UoRqXIyAH8NPRn6U0ojwAKxIYIsl9bQDAEFS-_-lwUxJ0sQBK_zgtAtaa8Z4ZEuzCQXPaXva9dpktu8PVrAl4XoKXDYZZIArp0UzPTDr03SvlhG2AQV5UfskJXw22eEWjGjQq3SArHDuokHRCmdj4_v9PKtrWOylB4CW8ndyEmgI4rX-UEbHCkMq3QKfpiEXyNv-iGEUH147sFIExy8qS3I5wOrwJCdL2iom3nsSIo6wFcQrG-alL8t9_eDO89iV-eWi2A7Pz9tRVwjfKI3gH2f1c85nWNTZuTH_O_XleEzWJAQDO2SGbcT3wlsLy5xssdhoDrxg.LfOH7MpCeCIfPML8zPb4UEFxw0UEyc28hIIZRYlaCl8&dib_tag=se&qid=1737704997&s=computers&sr=1-1398&xpid=Nq2TqhdbIsqAo,2025-01-24 13:25:35,Lenovo,amd,IdeaPad 3 15ALC6,Arctic Grey,Ultra-Portable,15.6 Inches,1920 x 1080 pixel,1920X1080 Pixels,,,82KU017KIN-cr,AMD,Ryzen 5 5500U,4 GHz,6,8 GB,DDR4,12 GB,512 GB,SSD,USB 3.2,5400 RPM,Speakers,AMD,Integrated,Shared,,"Bluetooth, Wi-Fi",Bluetooth,1,,,Battery Powered,,Windows 11 Home,No,45 Watt Hours,,3,"Laptop, User Manual, Power Adapter",,1 kg 650 g,B09QLLNR66,"3.1
28 ratings
3.1 out of 5 stars","#69,682 in Computers & Accessories (See Top 100 in Computers & Accessories)
#894 in Valentine's Day (Amazon Renewed)
#2,186 in Traditional Laptops",17 January 2022,1 Piece,20 Millimeters,23.7 Centimeters,35.9 x 23.7 x 2 cm; 1.65 kg,DDR4 SDRAM,,,Integrated AMD Radeon™ Graphics,8 GB,1,,,0.92 MP,,9 Hours,,,35.9 x 23.7 x 2 Centimeters,laptop,7 Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Gaming G15-5530 Laptop, Intel 13th Gen i7-13650HX Processor, 16GB DDR5 + 1TB SSD, NVIDIA RTX 4060 8 GB GDDR6, 15.6"" (39.62cm) FHD 165Hz 100% sRGB, 4-Zone RGB Backlit KB, Dark Shadow Gray, 2.65 Kg","1,19,490",https://www.amazon.in/Dell-G15-5530-i7-13650HX-Processor-39-62cm/dp/B0D839G949/ref=sr_1_1399?dib=eyJ2IjoiMSJ9.qWARLZ3hRgNMdX-LTJrHl27zpNd8d6ZLPh1UoRqXIyAH8NPRn6U0ojwAKxIYIsl9bQDAEFS-_-lwUxJ0sQBK_zgtAtaa8Z4ZEuzCQXPaXva9dpktu8PVrAl4XoKXDYZZIArp0UzPTDr03SvlhG2AQV5UfskJXw22eEWjGjQq3SArHDuokHRCmdj4_v9PKtrWOylB4CW8ndyEmgI4rX-UEbHCkMq3QKfpiEXyNv-iGEUH147sFIExy8qS3I5wOrwJCdL2iom3nsSIo6wFcQrG-alL8t9_eDO89iV-eWi2A7Pz9tRVwjfKI3gH2f1c85nWNTZuTH_O_XleEzWJAQDO2SGbcT3wlsLy5xssdhoDrxg.LfOH7MpCeCIfPML8zPb4UEFxw0UEyc28hIIZRYlaCl8&dib_tag=se&qid=1737704997&s=computers&sr=1-1399&xpid=Nq2TqhdbIsqAo,2025-01-24 13:25:35,Dell,Dell India Pvt. Ltd.,G Series,Dark Shadow Gray with Black thermal shelf,,16 Inches,,,57.9 x 34.79 x 8 cm; 2.65 kg,1 Lithium Ion batteries required. (included),,NVIDIA,Core i7,4.9 GHz,1,,DDR5,32 GB,,SSD,,,,NVIDIA,Dedicated,DDR5 SDRAM,PCI Express,,,1,4,,,,Windows 11 Home,Yes,86 Watt Hours,,6,Laptop | Adapter | User Manual,China,2 kg 650 g,B0D839G949,,"#106,156 in Computers & Accessories (See Top 100 in Computers & Accessories)
#3,372 in Traditional Laptops",26 June 2024,1 count,,,,,,,,,,,,,,,Dell India Pvt. Ltd.,Dell India Pvt. Ltd.,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
