title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Resolution,tech_Product Dimensions,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_RAM Size,tech_Memory Technology,tech_Hard Drive Size,tech_Hard Disk Description,tech_Audio Details,tech_Graphics Coprocessor,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Connectivity Type,tech_Number of HDMI Ports,tech_Operating System,tech_Lithium Battery Energy Content,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Packer,info_Importer,info_Item Dimensions LxWxH,info_Generic Name,tech_Batteries,tech_Processor Count,tech_Computer Memory Type,tech_Maximum Memory Supported,tech_Memory Clock Speed,tech_Hard Drive Interface,tech_Graphics RAM Type,tech_Graphics Card Ram Size,tech_Graphics Card Interface,tech_Wireless Type,tech_Number of USB 3.0 Ports,tech_Voltage,tech_Optical Drive Type,tech_Are Batteries Included,tech_Number of Lithium Ion Cells,info_Net Quantity,tech_Package Dimensions,tech_Number of USB 2.0 Ports,tech_Average Battery Life (in hours),tech_Speaker Description,tech_Hard Disk Rotational Speed,tech_Power Source,tech_Hardware Platform,tech_Processor Socket,tech_Wattage,tech_Average Battery Standby Life (in hours),tech_Lithium Battery Weight,tech_Number of Lithium Metal Cells,tech_Rear Webcam Resolution,tech_Number of Ethernet Ports,tech_Number of Audio-out Ports
"Dell Vostro 5630 Laptop, Intel Core i7-1355U Processor/ 16GB LPDDR5/ 512GB SSD/ 16.0"" (40.64cm) FHD+, 16:10 Aspect Ratio/Windows 11 + MSO'21/ McAfee 15 Month/Titan Grey/Hardware TPM 2.0/1.90kg","96,990",https://www.amazon.in/Dell-Vostro-5630-i7-1355U-Processor/dp/B0C4ZHK5W1/ref=sr_1_1333?dib=eyJ2IjoiMSJ9.v2y9CIoba47r8LffDkWUWPPaNwEGSKJ8niKPTW59kGO0Ra8Kxs9jZdAQDth3MeWkji0hpX649_-707N9-uny1p7FTlNPke8d9DWV2ghxLP7bZI9oiGKfsCM4nJNM7wLDBHsF3odAFcCOuvUAzhsBhct0EaBSGcun3_pk-5p8RBzHMhWpnjogtwV6EDNd6aadr8OBJ9PGhq8cl25Z4GTQLL7KkGJDCIjJvs51rwYpQY-CG6-h9aZEbh3DDhjaCctnln3XZy2xbs1bJwLEs5YZgSjROZmaj9U4l2U6GHqroxXjdPNpvEOmbZQd4_-ggtS8QsQ1BeN1do71yDKwzXccmCpaDfD81-CERJNM2xGoOyY.OMtm0VL7UtA-2FbnH1tQJMJ3eBkBqPmuX_4AeI4Lq0g&dib_tag=se&qid=1737702487&s=computers&sr=1-1333&xpid=KHCEe0RJJSJb6,2025-01-24 12:52:01,Dell,Dell India Pvt Ltd,Vostro,Titan Grey,Laptop,52.6 Centimeters,32 Centimeters,16 Inches,1920 x 1080 pixels,,6.9 x 32 x 52.6 cm; 2.9 kg,Vostro 5630,Intel,Core i7,3.7 GHz,16 GB,Lpddr 5,512 GB,SSD,Speakers,,Intel,Integrated,Wi-Fi,,Windows 11 Home,2.3 Kilowatt Hours,"Laptop, Battery, AC Adapter, User Guide, Manuals",China,2 kg 900 g,B0C4ZHK5W1,"3.7
25 ratings
3.7 out of 5 stars","#71,336 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,245 in Traditional Laptops",11 May 2023,Dell India Pvt Ltd,Dell India Pvt Ltd,6.9 x 32 x 52.6 Centimeters,Laptop,1 Lithium Ion batteries required. (included),1,,16 GB,,,Shared,,Integrated,,2,240 Volts,CD-R,Yes,1,1 Count,,,,,,Battery Powered,PC,,,,0.5 Grams,2,0.92 MP,,
"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Touchscreen Laptop (8 GB RAM/500 GB HDD/14"" (35.6 cm) HD/Windows 11/WiFi/Bluetooth 4.1/Webcam/Integrated HD Graphics)","17,890",https://www.amazon.in/Refurbished-Lenovo-Touchscreen-Bluetooth-Integrated/dp/B0D33N5K7V/ref=sr_1_1345?dib=eyJ2IjoiMSJ9.gnpDtPYTy9FeV7SL1PlIXWwCUJGJw8dNQmlEFgrjaybZShVxU_EuGaIgbkC1nL8a8O9GHWuav3JXlv713TqykyZp8cgTRDIWyoxBglK5KIBzux_pLdEzsNqs55v6C4malJQ_en-CqIz7usUcIFJNSwdOGyw2iUoEjDfzqoN5FP_uEN3QOJ84ILvzrnxNtZuTblHSjle1BMdip5ks5oj6_con6pmZ4K6MfCuiG9LuQz-WifHARwheR8dEd8kxrKntXJOvionmFljYjdXtC9ML5dMCLASiCYY_ssrbvOsk4NANMtwHjKHjl78ZypXWlmxC8KKjTSawqBEcFBlrALRQYmdFU-CzWHydZtEXTLkj3Ao.lVQNabIlYA1qkFOynfPOUHstKvxJT_8I76UFI0yS3mk&dib_tag=se&qid=1737702938&s=computers&sr=1-1345&xpid=KHCEe0RJJSJb6,2025-01-24 12:52:01,Lenovo,Lenovo,Lenovo ThinkPad,,Traditional Clamshell,,,14 Inches,1366 x 768,1366 x 768 Pixels,,,Intel,Intel Core i5,2.3 GHz,,DDR3,256 GB,SSD,Headphones,,Intel,Integrated,"Bluetooth, Wi-Fi",1,Windows,54 Watt Hours,"Laptop, Power Cord, Battery",China,1 kg 610 g,B0D33N5K7V,"3.7
19 ratings
3.7 out of 5 stars","#67,529 in Computers & Accessories (See Top 100 in Computers & Accessories)
#226 in 4 star rated refurbished products
#2,098 in Traditional Laptops",1 May 2024,,,,,4 Lithium Ion batteries required. (included),1,DDR3 SDRAM,16 GB,,Serial ATA,Shared,,,802.11bgn,,,,Yes,4,1.00 count,45 x 35 x 15 cm; 1.61 kg,,,,,,,,,,50 Grams,,,1,
"Dell Vostro 5630 13th Gen Laptop, Intel i5-1335U/16GB LPDDR5/512GB SSD/16.0"" (40.64cm) FHD+ with Comfort View Support,16:10 Aspect Ratio/Windows 11+MSO'2/McAfee 15 Month/Titan Grey/FHD Camera/1.90kgs","69,990",https://www.amazon.in/Dell-Vostro-5630-i5-1335U-40-64cm/dp/B0C4ZK48JB/ref=sr_1_1346?dib=eyJ2IjoiMSJ9.gnpDtPYTy9FeV7SL1PlIXWwCUJGJw8dNQmlEFgrjaybZShVxU_EuGaIgbkC1nL8a8O9GHWuav3JXlv713TqykyZp8cgTRDIWyoxBglK5KIBzux_pLdEzsNqs55v6C4malJQ_en-CqIz7usUcIFJNSwdOGyw2iUoEjDfzqoN5FP_uEN3QOJ84ILvzrnxNtZuTblHSjle1BMdip5ks5oj6_con6pmZ4K6MfCuiG9LuQz-WifHARwheR8dEd8kxrKntXJOvionmFljYjdXtC9ML5dMCLASiCYY_ssrbvOsk4NANMtwHjKHjl78ZypXWlmxC8KKjTSawqBEcFBlrALRQYmdFU-CzWHydZtEXTLkj3Ao.lVQNabIlYA1qkFOynfPOUHstKvxJT_8I76UFI0yS3mk&dib_tag=se&qid=1737702938&s=computers&sr=1-1346&xpid=KHCEe0RJJSJb6,2025-01-24 12:52:01,Dell,Dell India Pvt Ltd,Vostro,Titan Grey,Laptop,52.8 Centimeters,32 Centimeters,16 Inches,1920 x 1080 pixels,,6.9 x 32 x 52.8 cm; 2.81 kg,Vostro 5630,Intel,Core i5,3.4 GHz,16 GB,Lpddr 5,512 GB,SSD,Speakers,,Intel,Integrated,Wi-Fi,,Windows 11 Home,65 Kilowatt Hours,"Laptop, Battery, AC Adapter, User Guide, Manuals",,2 kg 810 g,B0C4ZK48JB,"3.6
8 ratings
3.6 out of 5 stars","#72,536 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,286 in Traditional Laptops",11 May 2023,Dell India Pvt Ltd,Dell India Pvt Ltd,6.9 x 32 x 52.8 Centimeters,Laptop,1 Lithium Ion batteries required. (included),1,,16 GB,,,Shared,,Integrated,,2,240 Volts,CD-R,Yes,1,1 Count,,,,,,Battery Powered,,,,,,,0.92 MP,,
"(Refurbished) HP 14s, 12th Gen Intel Core i3-1215U, 14-inch(35.6 cm) Micro-Edge, Anti-Glare, FHD Laptop(","32,291",https://www.amazon.in/Refurbished-HP-i3-1215U-Micro-Edge-Anti-Glare/dp/B0C5T4MMZ1/ref=sr_1_1347?dib=eyJ2IjoiMSJ9.gnpDtPYTy9FeV7SL1PlIXWwCUJGJw8dNQmlEFgrjaybZShVxU_EuGaIgbkC1nL8a8O9GHWuav3JXlv713TqykyZp8cgTRDIWyoxBglK5KIBzux_pLdEzsNqs55v6C4malJQ_en-CqIz7usUcIFJNSwdOGyw2iUoEjDfzqoN5FP_uEN3QOJ84ILvzrnxNtZuTblHSjle1BMdip5ks5oj6_con6pmZ4K6MfCuiG9LuQz-WifHARwheR8dEd8kxrKntXJOvionmFljYjdXtC9ML5dMCLASiCYY_ssrbvOsk4NANMtwHjKHjl78ZypXWlmxC8KKjTSawqBEcFBlrALRQYmdFU-CzWHydZtEXTLkj3Ao.lVQNabIlYA1qkFOynfPOUHstKvxJT_8I76UFI0yS3mk&dib_tag=se&qid=1737702938&s=computers&sr=1-1347&xpid=KHCEe0RJJSJb6,2025-01-24 12:52:01,HP,intel,14s-dy5008TU,Silver,Netbook,,,35.6 Centimetres,1920 x 1080 pixels,1920 x 1080 Pixels,,14s-dy5008TU-cr,Intel,Core i3,4.4 GHz,8 GB,DDR4,512 GB,SSD,"Headphones, Speakers",Intel UHD Graphics,Intel,Integrated,Bluetooth,1,Windows 11 Home,41 Watt Hours,"Laptop, Power Adapter, User Manual",,1 kg 410 g,B0C5T4MMZ1,"2.8
5 ratings
2.8 out of 5 stars","#79,030 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,511 in Traditional Laptops",20 May 2023,,,,laptop,,1,,8 GB,,,GDDR6,,,,,,,Yes,3,,49.29 x 31.5 x 7 cm; 1.41 kg,,,,,Battery Powered,PC,,,,,,,,
"Samsung Galaxy Book3 Pro Intel 13th Gen i5 EvoTM 35.56cm(14"") Dynamic Amoled 2X, 3K Display, 120Hz, Ultra Thin & Light Laptop(16 GB/512 GB SSD/Windows 11/MS Office/Graphite/1.17Kg), NP940XFG-KC1IN","99,054",https://www.amazon.in/Samsung-35-56cm-Dynamic-Graphite-NP940XFG-KC1IN/dp/B0BSH3JFP2/ref=sr_1_1348?dib=eyJ2IjoiMSJ9.gnpDtPYTy9FeV7SL1PlIXWwCUJGJw8dNQmlEFgrjaybZShVxU_EuGaIgbkC1nL8a8O9GHWuav3JXlv713TqykyZp8cgTRDIWyoxBglK5KIBzux_pLdEzsNqs55v6C4malJQ_en-CqIz7usUcIFJNSwdOGyw2iUoEjDfzqoN5FP_uEN3QOJ84ILvzrnxNtZuTblHSjle1BMdip5ks5oj6_con6pmZ4K6MfCuiG9LuQz-WifHARwheR8dEd8kxrKntXJOvionmFljYjdXtC9ML5dMCLASiCYY_ssrbvOsk4NANMtwHjKHjl78ZypXWlmxC8KKjTSawqBEcFBlrALRQYmdFU-CzWHydZtEXTLkj3Ao.lVQNabIlYA1qkFOynfPOUHstKvxJT_8I76UFI0yS3mk&dib_tag=se&qid=1737702938&s=computers&sr=1-1348&xpid=KHCEe0RJJSJb6,2025-01-24 12:52:01,Samsung,Samsung,Galaxy Book3 Pro,Graphite,Ultra-Portable,11 Millimeters,31.2 Centimeters,35.56 Centimetres,1920 x 1080 pixel,2880 x 1800 Pixels,22.4 x 31.2 x 1.1 cm; 1.17 kg,NP940XFG-KC1IN,Intel,Others,4.6 GHz,16 GB,Lpddr 5,512 GB,SSD,Speakers,Intel Iris Xe Graphics,Intel,Integrated,Wi-Fi,1,Windows 11 Home,63 Watt Hours,"65W TA, Quick Start Guide(Paper), Warranty Information(Paper)",Republic of Korea,1 kg 170 g,B0BSH3JFP2,"4.0
13 ratings
4.0 out of 5 stars","#84,406 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,664 in Traditional Laptops",2 February 2023,"Samsung Electronics Vietnam Co. Ltd. Khu Cong Nghiep Yenphong 1 Yen Trung, Yenphong, Bac Ninh Vietnam.","Samsung India Electronics Pvt ltd, 6th Floor , DLF Centre, Sansad Marg, New Delhi - 110001 . Email id: support.india@samsung.com, Tel(Toll Free): 1800 40 7267864",22.4 x 31.2 x 1.1 Centimeters,Laptop,1 Lithium Ion batteries required. (included),1,DDR5 RAM,16 GB,,Solid State,DDR5 SDRAM,,Integrated,"Bluetooth, 802.11a/b/g/n/ac",1,,,Yes,4,1 Count,,,18 Hours,"Dolby Atmos, AKG Quad Speaker",,Battery Powered,,,65 Watts,,,,,,
"(Refurbished) Lenovo LOQ 2024 AMD Ryzen 5 7235HS 15.6"" (39.6cm) 144Hz 300Nits FHD IPS Gaming Laptop (12GB/512GB SSD/Win 11/NVIDIA RTX 3050 6GB Graphics/100% sRGB/Office 21/3 Mon. Game Pass/Grey/2.4Kg), 83JC0031IN","53,957",https://www.amazon.in/Refurbished-Lenovo-300Nits-Graphics-83JC0031IN/dp/B0DS657FRD/ref=sr_1_1349?dib=eyJ2IjoiMSJ9.gnpDtPYTy9FeV7SL1PlIXWwCUJGJw8dNQmlEFgrjaybZShVxU_EuGaIgbkC1nL8a8O9GHWuav3JXlv713TqykyZp8cgTRDIWyoxBglK5KIBzux_pLdEzsNqs55v6C4malJQ_en-CqIz7usUcIFJNSwdOGyw2iUoEjDfzqoN5FP_uEN3QOJ84ILvzrnxNtZuTblHSjle1BMdip5ks5oj6_con6pmZ4K6MfCuiG9LuQz-WifHARwheR8dEd8kxrKntXJOvionmFljYjdXtC9ML5dMCLASiCYY_ssrbvOsk4NANMtwHjKHjl78ZypXWlmxC8KKjTSawqBEcFBlrALRQYmdFU-CzWHydZtEXTLkj3Ao.lVQNabIlYA1qkFOynfPOUHstKvxJT_8I76UFI0yS3mk&dib_tag=se&qid=1737702938&s=computers&sr=1-1349&xpid=KHCEe0RJJSJb6,2025-01-24 12:52:01,Lenovo,Lenovo,LOQ,Luna Grey,Gaming Laptop,,,15.6 Inches,1920 x 1080 pixel,1920 x 1080,,15ARP9-cr,AMD,Ryzen 5,3.2 GHz,,DDR5,512 GB,SSD,Bluetooth,NVIDIA GeForce RTX 3050,NVIDIA,Dedicated,"Bluetooth, Wi-Fi",,Windows 11,60 Watt Hours,"User Guide, Laptop, Power Adapter",,2 kg 380 g,B0DS657FRD,,"#100,310 in Computers & Accessories (See Top 100 in Computers & Accessories)
#100 in Renewed New Arrivals Store
#3,166 in Traditional Laptops",3 January 2025,,,,Laptop,,4,DDR5 RAM,32 GB,,,GDDR6,6 GB,,802.11ax,,10.8 Volts,,Yes,4,1 Piece,54.1 x 35.79 x 8.8 cm; 2.38 kg,,6 Hours,,,,,,10 Watts,,,,,,
"Dell Refurbished 15 Thin & Light Laptop, Intel Core i5-1334U, 16GB DDR4 + 1TB SSD, 15.6"" (39.62cm) FHD 120Hz 250 nits Display, Backlit KB, Win 11 + MSO'21, 15 Months McAfee, Platinum Silver, 1.65kg","65,990",https://www.amazon.in/Dell-Refurbished-i5-1334U-39-62cm-Platinum/dp/B0D83D2QSC/ref=sr_1_1350?dib=eyJ2IjoiMSJ9.gnpDtPYTy9FeV7SL1PlIXWwCUJGJw8dNQmlEFgrjaybZShVxU_EuGaIgbkC1nL8a8O9GHWuav3JXlv713TqykyZp8cgTRDIWyoxBglK5KIBzux_pLdEzsNqs55v6C4malJQ_en-CqIz7usUcIFJNSwdOGyw2iUoEjDfzqoN5FP_uEN3QOJ84ILvzrnxNtZuTblHSjle1BMdip5ks5oj6_con6pmZ4K6MfCuiG9LuQz-WifHARwheR8dEd8kxrKntXJOvionmFljYjdXtC9ML5dMCLASiCYY_ssrbvOsk4NANMtwHjKHjl78ZypXWlmxC8KKjTSawqBEcFBlrALRQYmdFU-CzWHydZtEXTLkj3Ao.lVQNabIlYA1qkFOynfPOUHstKvxJT_8I76UFI0yS3mk&dib_tag=se&qid=1737702938&s=computers&sr=1-1350&xpid=KHCEe0RJJSJb6,2025-01-24 12:52:01,Dell,Dell India Pvt. Ltd.,Inspiron,i5-1334U & 16GB + 1TB,Laptop,,,16 Inches,1920 x 1080 pixel,,,,Intel,Core i5,4.6 GHz,16,DDR4,,SSD,,,Intel,Integrated,Bluetooth,,Windows 11 Home,41 Watt Hours,Laptop | Adapter | User Manual,China,1 kg 620 g,B0D83D2QSC,"3.5
12 ratings
3.5 out of 5 stars","#63,708 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,954 in Traditional Laptops",26 June 2024,Dell India Pvt. Ltd.,Dell India Pvt. Ltd.,,Laptop,1 Lithium Ion batteries required. (included),1,,16 GB,,,DDR4 SDRAM,,Integrated,,2,,CD-R,Yes,3,1 count,45.9 x 35.4 x 7.2 cm; 1.62 kg,1,,,,,,,,,,,,,
"Samsung Galaxy Book3 Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) Galaxy Book3 Thin and Light Laptop (15.6 Inch, Silver, 1.58 Kg, with MS Office)","74,999",https://www.amazon.in/Samsung-Galaxy-Book3-Core-1355U/dp/B0CXJ3BVSL/ref=sr_1_1351?dib=eyJ2IjoiMSJ9.gnpDtPYTy9FeV7SL1PlIXWwCUJGJw8dNQmlEFgrjaybZShVxU_EuGaIgbkC1nL8a8O9GHWuav3JXlv713TqykyZp8cgTRDIWyoxBglK5KIBzux_pLdEzsNqs55v6C4malJQ_en-CqIz7usUcIFJNSwdOGyw2iUoEjDfzqoN5FP_uEN3QOJ84ILvzrnxNtZuTblHSjle1BMdip5ks5oj6_con6pmZ4K6MfCuiG9LuQz-WifHARwheR8dEd8kxrKntXJOvionmFljYjdXtC9ML5dMCLASiCYY_ssrbvOsk4NANMtwHjKHjl78ZypXWlmxC8KKjTSawqBEcFBlrALRQYmdFU-CzWHydZtEXTLkj3Ao.lVQNabIlYA1qkFOynfPOUHstKvxJT_8I76UFI0yS3mk&dib_tag=se&qid=1737702938&s=computers&sr=1-1351&xpid=KHCEe0RJJSJb6,2025-01-24 12:52:01,Samsung,Samsung,Galaxy Book3,Silver,Ultra-Portable,,,39.62 Centimetres,1920 x 1080 pixel,1920 x 1080 Pixels,,NP750XFG-KB3IN,Intel,Core i7,5 GHz,,LPDDR4X,512 GB,SSD,Speakers,Intel Iris Xe Graphics,Intel,Integrated,Wi-Fi,1,Windows 11 Home,54 Watt Hours,"54W TA, Quick Start Guide(Paper), Warranty Information(Paper)",,1 kg 580 g,B0CXJ3BVSL,"3.9
89 ratings
3.9 out of 5 stars","#88,015 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,781 in Traditional Laptops",14 February 2023,"Samsung, Nanchang Huaqin Electronic Technology Co.,Ltd No. 2999, Tianxiang Avenue, Hi-tech Development Zone, Nanchang City, Jiangxi Province, PR China","Samsung India Electronics Pvt ltd, 6th Floor , DLF Centre, Sansad Marg, New Delhi - 110001 . Email id: support.india@samsung.com, Tel(Toll Free): 1800 40 7267864",,Laptop,1 Lithium Ion batteries required. (included),1,DDR4 SDRAM,16 GB,,,DDR4 SDRAM,,Integrated,"802.11a/b/g/n/ac, Bluetooth",1,18 Volts,,Yes,4,1 Count,49.6 x 29.8 x 7.4 cm; 1.58 kg,,5 Hours,Dolby Atmos,,,,,45 Watts,312 Hours,,,,,
"Acer Aspire 3 Thin and Light Laptop Intel Core i5 12th Generation (Windows 11 Home/8 GB/512 GB SSD) A315-59 with 15.6-inch (39.6 cms) Full HD Display, 1.7 KG, Pure Silver","41,390",https://www.amazon.in/Acer-Generation-Windows-A315-59-15-6-inch/dp/B0CKTLKGKN/ref=sr_1_1352?dib=eyJ2IjoiMSJ9.gnpDtPYTy9FeV7SL1PlIXWwCUJGJw8dNQmlEFgrjaybZShVxU_EuGaIgbkC1nL8a8O9GHWuav3JXlv713TqykyZp8cgTRDIWyoxBglK5KIBzux_pLdEzsNqs55v6C4malJQ_en-CqIz7usUcIFJNSwdOGyw2iUoEjDfzqoN5FP_uEN3QOJ84ILvzrnxNtZuTblHSjle1BMdip5ks5oj6_con6pmZ4K6MfCuiG9LuQz-WifHARwheR8dEd8kxrKntXJOvionmFljYjdXtC9ML5dMCLASiCYY_ssrbvOsk4NANMtwHjKHjl78ZypXWlmxC8KKjTSawqBEcFBlrALRQYmdFU-CzWHydZtEXTLkj3Ao.lVQNabIlYA1qkFOynfPOUHstKvxJT_8I76UFI0yS3mk&dib_tag=se&qid=1737702938&s=computers&sr=1-1352&xpid=KHCEe0RJJSJb6,2025-01-24 12:52:01,acer,Acer,A315-59,Silver,Netbook,50.7 Centimeters,7.4 Centimeters,15.6 Inches,1920 x 1080 pixel,1920 X 1080 (FHD) Pixels,50.7 x 7.4 x 50.7 cm; 1.7 kg,A315-59,Intel,Core i5,,8 GB,DDR4,,SSD,Speakers,Intel Iris Xe Graphics,Intel,Integrated,Bluetooth,,Windows 11 Home,,"1U (contains Laptop 1N, Power cord 1N, Adapter 1N, User Manual 1N)",,1 kg 700 g,B0CKTLKGKN,"3.1
16 ratings
3.1 out of 5 stars","#65,322 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,021 in Traditional Laptops",10 October 2023,"COMPAL Electronics (CHONGQING) Co., Ltd. / No.D01, Zone D, Air Port Section of LiangLu CunTan Free Trade Port Area, YuBei District, Chongqing, China","ACER INDIA PRIVATE LIMITED Embassy Heights, 6th Floor, No. 13 Magrath Road, Next to HOSMAT Hospital, Bangalore, INDIA – 560025",50.7 x 7.4 x 50.7 Centimeters,Laptops,1 Lithium Ion batteries required. (included),1,DDR4 SDRAM,32 GB,,,DRAM,8 GB,Integrated,802.11a/b/g/n/ac,,,,Yes,3,1 Count,,,,"Two built-in stereo speakers,Two built-in digital microphones",,,,,45 Watts,,,3,,,
Lenovo 82C7A006IH AG V15 ADA AMD Athlon Silver 3050U 15.6 inches(39.6cm) HD Laptop (4GB RAM/1TB HDD/Windows-10/Integrated Radeon Graphics/Iron Grey/1.85kg),"34,999",https://www.amazon.in/Lenovo-82C7A006IH-Windows-10-Integrated-Graphics/dp/B08DHZS1XQ/ref=sr_1_1353?dib=eyJ2IjoiMSJ9.gnpDtPYTy9FeV7SL1PlIXWwCUJGJw8dNQmlEFgrjaybZShVxU_EuGaIgbkC1nL8a8O9GHWuav3JXlv713TqykyZp8cgTRDIWyoxBglK5KIBzux_pLdEzsNqs55v6C4malJQ_en-CqIz7usUcIFJNSwdOGyw2iUoEjDfzqoN5FP_uEN3QOJ84ILvzrnxNtZuTblHSjle1BMdip5ks5oj6_con6pmZ4K6MfCuiG9LuQz-WifHARwheR8dEd8kxrKntXJOvionmFljYjdXtC9ML5dMCLASiCYY_ssrbvOsk4NANMtwHjKHjl78ZypXWlmxC8KKjTSawqBEcFBlrALRQYmdFU-CzWHydZtEXTLkj3Ao.lVQNabIlYA1qkFOynfPOUHstKvxJT_8I76UFI0yS3mk&dib_tag=se&qid=1737702938&s=computers&sr=1-1353&xpid=KHCEe0RJJSJb6,2025-01-24 12:52:01,Lenovo,LENOVO,Lenovo 82C7A006IH V15 ADA Laptop,Iron Grey,Laptop,20 Millimeters,25.2 Centimeters,15.6 Inches,1366 x 768,HD (1366 X 768) Pixels,36.2 x 25.2 x 2 cm; 1.8 kg,82C7A006IH,AMD,Athlon Silver 3050U,2.3 GHz,4 GB,DDR4,1 TB,HDD,Headphones,intel integrated,AMD,Integrated,Bluetooth,,Windows 10 Home,4.9 Watt Hours,"Laptop, Battery, AC Adapter, User Guide, Manuals",,1 kg 800 g,B08DHZS1XQ,"3.3
215 ratings
3.3 out of 5 stars","#63,419 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,941 in Traditional Laptops",23 July 2020,"Lenovo India Pvt Ltd,RBD Icon, Level, 2, Outer Ring Rd, Doddanekundi, Mahadevapura, Bengaluru, Karnataka 560037",Lenovo India Pvt Ltd,36.2 x 25.2 x 2 Centimeters,"82C7A006IH/Lenovo V15 ADA AMD Athlon Silver 3050U /AMD Radeon Graphics/4GB /1TB /65W Adp/15.6"" HD/Non-backlit/Win10H/1+1YearsADP",1 Lithium Polymer batteries required. (included),2,,4 GB,,USB 2.0,Shared,4 GB,Integrated,,2,,,Yes,2,1 Pack,,1,6.35 Hours,,5400 RPM,,,,,,0.85 Grams,,,,
Microsoft New Surface Laptop (7th Edition) - Windows 11 Home Copilot + PC - 15” LCD PixelSense Touchscreen - Qualcomm Snapdragon X Elite (12 Core) - 16GB RAM - 256GB SSD - Platinum - ZHG-00023,"1,35,856",https://www.amazon.in/Microsoft-New-Surface-Laptop-7th/dp/B0D925NBZG/ref=sr_1_1354?dib=eyJ2IjoiMSJ9.gnpDtPYTy9FeV7SL1PlIXWwCUJGJw8dNQmlEFgrjaybZShVxU_EuGaIgbkC1nL8a8O9GHWuav3JXlv713TqykyZp8cgTRDIWyoxBglK5KIBzux_pLdEzsNqs55v6C4malJQ_en-CqIz7usUcIFJNSwdOGyw2iUoEjDfzqoN5FP_uEN3QOJ84ILvzrnxNtZuTblHSjle1BMdip5ks5oj6_con6pmZ4K6MfCuiG9LuQz-WifHARwheR8dEd8kxrKntXJOvionmFljYjdXtC9ML5dMCLASiCYY_ssrbvOsk4NANMtwHjKHjl78ZypXWlmxC8KKjTSawqBEcFBlrALRQYmdFU-CzWHydZtEXTLkj3Ao.lVQNabIlYA1qkFOynfPOUHstKvxJT_8I76UFI0yS3mk&dib_tag=se&qid=1737702938&s=computers&sr=1-1354&xpid=KHCEe0RJJSJb6,2025-01-24 12:52:01,Microsoft,Microsoft,Surface Laptop,Platinum,touchscreen,,,15 Inches,2496 x 1664 pixels,2496 x 1664 Pixels Per Inch,,ZHG-00023,Qualcomm,Snapdragon,3.4 GHz,16 GB,LPDDR5x,256 GB,SSD,Speakers,,Qualcomm,Integrated,"Bluetooth, Wi-Fi",,Windows 11 Home,66 Watt Hours,"PSU, QSG, Power Adopter, Manual Book, Safety and Warranty documents",China,1 kg 660 g,B0D925NBZG,"5.0
2 ratings
5.0 out of 5 stars","#92,499 in Computers & Accessories (See Top 100 in Computers & Accessories)
#3,038 in Laptops",10 July 2024,"Tech-Com (Shanghai) Computer Co., Ltd. No. 68, SanZhuang Rd, Songjiang Export Processing Zone, Shanghai 201613, P.R. China","JAINA INDIA PRIVATE LIMITED Registered Office: D-170, OKHLA INDUSTRIAL AREA, PHASE 1, DELHI, 110020, INDIA",,Laptop,1 Lithium Ion batteries required. (included),1,DDR5 RAM,16 GB,,,DDR5 SDRAM,,Integrated,,,15 Volts,,Yes,6,1 Count,35.1 x 25.9 x 5.4 cm; 1.66 kg,,15 Hours,Dolby Atmos,,,,,,22 Hours,,,,,
