title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Resolution,tech_Product Dimensions,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_RAM Size,tech_Memory Technology,tech_Maximum Memory Supported,tech_Hard Drive Size,tech_Hard Disk Description,tech_Hard Disk Rotational Speed,tech_Audio Details,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Ram Size,tech_Graphics Card Interface,tech_Connectivity Type,tech_Number of USB 2.0 Ports,tech_Number of USB 3.0 Ports,tech_Optical Drive Type,tech_Power Source,tech_Hardware Platform,tech_Operating System,tech_Are Batteries Included,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Item Dimensions LxWxH,info_Net Quantity,tech_Colour,tech_Package Dimensions,tech_Batteries,tech_Number of HDMI Ports,tech_Lithium Battery Energy Content,tech_Number of Lithium Ion Cells,info_Packer,info_Importer,info_Generic Name,tech_Graphics Coprocessor,tech_Voltage,tech_Wattage,tech_Average Battery Life (in hours),tech_Computer Memory Type,tech_Memory Clock Speed,tech_Hard Drive Interface,tech_Wireless Type,tech_Lithium Battery Weight,tech_Speaker Description,tech_Number of Ethernet Ports,tech_Rear Webcam Resolution,tech_Average Battery Standby Life (in hours),tech_Notebook Display Technology,tech_Number of Lithium Metal Cells,tech_Number of Audio-out Ports,tech_Number of Microphone Ports,tech_Item part number,tech_ASIN,info_Manufacturer,info_Item Weight,info_Included Components,tech_Processor Socket,tech_Controller Type,tech_Screen Size,tech_Hardware Interface,tech_Item dimensions L x W x H,tech_Number of Batteries,tech_Display Type,tech_Material
"HP Envy x360, 12Gen Intel Core i5-1230U, 16GB DDR4, 512GB SSD, 13.3-inch (33.8cm), Touch, IPS, Micro-edge, WUXGA Laptop, Intel Iris Xe graphics, Backlit KB (Win 11, Office 21, Silver, 1.34kg) bf0121TU","79,990",https://www.amazon.in/HP-13-3inch-Corning-Graphics-13-bf0121TU/dp/B0BS3X1ZBX/ref=sr_1_913?dib=eyJ2IjoiMSJ9.EZB5Yk18esqnD0Dg9A18-KCSMiIBrZ2-XrGAmI_g9l_0snDWX6s5LU0ZIbA4ynUnRBsNno1V0xUVGWZgtKOK95fO-HyI7QLJkS8fFwF5ORqL0iKULrJTW7OTFVnhpbWpvMl_pXCf2CDsp8ftZav5eERmC6-psKcDMVCeRN1HARnRttGLSUO1Ln5P3cpmhAVDIT_pgCl2JvyYski41EKkLTfXTzs8DfGwbc1qf4Bk-47hsgfjbDOyDt9ToBr6qEXWhusEtaaRjK5niidiKvJzM-3FOq27fi10ImZiIVSqQPjT0aZl3f0HYtvfyBrWcK9h3hVgA1w9b3OKr6UvxldzUgDVoAmPa3KNdMQt3LirVwI.ijEe8i5qAlU4dEMTo2hWjPSAX5tZLroSyWYdCs_AXaA&dib_tag=se&qid=1737644288&s=computers&sr=1-913&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,HP,HP,13-bf0121TU,Convertible,16 Millimeters,21.5 Centimeters,33.8 Centimetres,1920 x 1200 pixels,,29.8 x 21.5 x 1.6 cm; 1.32 kg,13-bf0121TU,Intel,Core i5,4.4 GHz,1,16 GB,LPDDR4X,16 GB,512 GB,SSD,,"Headphones, Speakers",Intel,Integrated,VRAM,,Integrated,"Bluetooth, Wi-Fi",,2,,Battery Powered,,Windows 11 Home,Yes,"Laptop, Power Adapter, Pen, User manual",China,1 kg 320 g,B0BS3X1ZBX,"4.1
31 ratings
4.1 out of 5 stars","#44,402 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,300 in Traditional Laptops",11 January 2023,29.8 x 21.5 x 1.6 Centimeters,1 Count,Natural Silver,,1 Lithium Ion batteries required. (included),1,66 Watt Hours,4,HP India Sales Pvt. Ltd.,HP India Sales Pvt. Ltd.,Laptop,Intel Iris Xe Graphics,,,14 Hours,,,,,,Audio by B&O; Dual Speakers,,,,,,,,,,,,,,,,,,,,
"5 Ace HD Deadpool Laptop Skin, for 10 to17inch for Dell, Lenovo, Acer, HP, Sony,Apple,MacBook (Multi Color,Vinyl)",279,https://www.amazon.in/Ace-Deadpool-Laptop-to17inch-MacBook/dp/B08VJ6VRCY/ref=sr_1_914?dib=eyJ2IjoiMSJ9.EZB5Yk18esqnD0Dg9A18-KCSMiIBrZ2-XrGAmI_g9l_0snDWX6s5LU0ZIbA4ynUnRBsNno1V0xUVGWZgtKOK95fO-HyI7QLJkS8fFwF5ORqL0iKULrJTW7OTFVnhpbWpvMl_pXCf2CDsp8ftZav5eERmC6-psKcDMVCeRN1HARnRttGLSUO1Ln5P3cpmhAVDIT_pgCl2JvyYski41EKkLTfXTzs8DfGwbc1qf4Bk-47hsgfjbDOyDt9ToBr6qEXWhusEtaaRjK5niidiKvJzM-3FOq27fi10ImZiIVSqQPjT0aZl3f0HYtvfyBrWcK9h3hVgA1w9b3OKr6UvxldzUgDVoAmPa3KNdMQt3LirVwI.ijEe8i5qAlU4dEMTo2hWjPSAX5tZLroSyWYdCs_AXaA&dib_tag=se&qid=1737644288&s=computers&sr=1-914&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,,5 Ace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,India,,,,"#42,888 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,244 in Traditional Laptops",,46 x 31 x 0.1 Centimeters,1.00 count,,,,,,,,,Laptop Skin,,,,,,,,,,,,,,,,,,LPSdeadpool (67),B08VJ6VRCY,"5 Ace, 5 Ace, Haryana",10 g,,,,,,,,,
"(Refurbished) Dell Latitude 5310 13.3"" Notebook - Full HD - 1920 x 1080 - Core i5 i5-10310U 10th Gen 1.7GHz Hexa-core (6 Core) - 8GB RAM - 256GB SSD","22,990",https://www.amazon.in/Refurbished-Dell-Latitude-5310-Notebook/dp/B08HY78PDJ/ref=sr_1_915?dib=eyJ2IjoiMSJ9.EZB5Yk18esqnD0Dg9A18-KCSMiIBrZ2-XrGAmI_g9l_0snDWX6s5LU0ZIbA4ynUnRBsNno1V0xUVGWZgtKOK95fO-HyI7QLJkS8fFwF5ORqL0iKULrJTW7OTFVnhpbWpvMl_pXCf2CDsp8ftZav5eERmC6-psKcDMVCeRN1HARnRttGLSUO1Ln5P3cpmhAVDIT_pgCl2JvyYski41EKkLTfXTzs8DfGwbc1qf4Bk-47hsgfjbDOyDt9ToBr6qEXWhusEtaaRjK5niidiKvJzM-3FOq27fi10ImZiIVSqQPjT0aZl3f0HYtvfyBrWcK9h3hVgA1w9b3OKr6UvxldzUgDVoAmPa3KNdMQt3LirVwI.ijEe8i5qAlU4dEMTo2hWjPSAX5tZLroSyWYdCs_AXaA&dib_tag=se&qid=1737644288&s=computers&sr=1-915&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,Dell,Dell Technologies,T2VR2,Laptop,19.71 Millimeters,30.6 Centimeters,13.3 Inches,1920 x 1080 pixel,1920 x 1080 Pixels,20.75 x 30.57 x 1.97 cm; 1.22 kg,Latitude 5310,Intel,Core i5,1.7 GHz,1,8 GB,DDR4,8 GB,256 GB,SSD,,,Intel,Integrated,DDR4 SDRAM,,,Wi-Fi,,,,Battery Powered,PC,Windows 10 Pro,No,"Standard Battery, Latitude 5310 Notebook, AC Adapter",,1 kg 220 g,B08HY78PDJ,"1.6
2 ratings
1.6 out of 5 stars","#46,038 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,351 in Traditional Laptops",9 January 2024,20.7 x 30.6 x 2 Centimeters,,silver,,1 Lithium Ion batteries required.,1,60 Watt Hours,4,,,"Dell Latitude 5310 13.3"" Notebook - Full HD - 1920 x 1080 - Core i5 i5-10310U 10th Gen 1.7GHz Hexa-core (6 Core) - 8GB RAM - 256GB SSD",Intel UHD Graphics 630,240 Volts,40 Watts,10 Hours,DDR4 SDRAM,3200 MHz,Solid State,Bluetooth,5 Grams,,,,,,,,,,,,,,,,,,,,,
"Lenovo Yoga Slim 7 Carbon Intel Evo Core i7 1360P 13.3""(33.7cm) 2.5K IPS 400Nit Laptop(16GB/1TB SSD/Win 11/Office 2021/Backlit KB/1Yr Warranty/Alexa/3 Month Game Pass/Moon White/984g),83AY003CIN","1,11,051",https://www.amazon.in/Lenovo-Carbon-Backlit-Warranty-83AY003CIN/dp/B0CHRQJ8PW/ref=sr_1_916?dib=eyJ2IjoiMSJ9.EZB5Yk18esqnD0Dg9A18-KCSMiIBrZ2-XrGAmI_g9l_0snDWX6s5LU0ZIbA4ynUnRBsNno1V0xUVGWZgtKOK95fO-HyI7QLJkS8fFwF5ORqL0iKULrJTW7OTFVnhpbWpvMl_pXCf2CDsp8ftZav5eERmC6-psKcDMVCeRN1HARnRttGLSUO1Ln5P3cpmhAVDIT_pgCl2JvyYski41EKkLTfXTzs8DfGwbc1qf4Bk-47hsgfjbDOyDt9ToBr6qEXWhusEtaaRjK5niidiKvJzM-3FOq27fi10ImZiIVSqQPjT0aZl3f0HYtvfyBrWcK9h3hVgA1w9b3OKr6UvxldzUgDVoAmPa3KNdMQt3LirVwI.ijEe8i5qAlU4dEMTo2hWjPSAX5tZLroSyWYdCs_AXaA&dib_tag=se&qid=1737644288&s=computers&sr=1-916&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,Lenovo,Lenovo,Yoga Slim 7 Carbon 13IRP8,Thin & Light,43.8 Centimeters,29 Centimeters,13.3 Inches,2560 x 1600 pixel,2560 x 1600 Pixels,8.9 x 29 x 43.8 cm; 984 g,83AY003CIN,Intel,Intel Core i7,2.2 GHz,12,16 GB,Lpddr 5,16 GB,1 TB,SSD,,"Headphones, Speakers",Intel,Integrated,Shared,,Integrated,Wi-Fi,,2,No Optical Drive,,,Windows 11 Home,Yes,Laptop,China,984 g,B0CHRQJ8PW,"2.8
2 ratings
2.8 out of 5 stars","#9,208 in Computers & Accessories (See Top 100 in Computers & Accessories)
#286 in Traditional Laptops",11 September 2023,8.9 x 29 x 43.8 Centimeters,1 Piece,Moon White,,1 Lithium Ion batteries required. (included),,50 Watt Hours,4,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",Laptop,Intel Iris Xe Graphics,65 Volts,50 Watts,10 Hours,DDR5 RAM,,PCIE x 4,Bluetooth,,"Stereo speakers, 2W x2, optimized with Dolby Atmos",,,,,,,,,,,,,,,,,,,,
(Renewed) HP 840g3 Elitebook Ultra Light 1.5 KG Hybrid (6th Gen Intel Core i5-6300U /4 GB/128 GB SSD/ 1TB HDD/Windows 10 Pro/Silver /14 Inch Screen),"17,688",https://www.amazon.in/Renewed-HP-840g3-Elitebook-Hybrid/dp/B09F6HBRRK/ref=sr_1_917?dib=eyJ2IjoiMSJ9.EZB5Yk18esqnD0Dg9A18-KCSMiIBrZ2-XrGAmI_g9l_0snDWX6s5LU0ZIbA4ynUnRBsNno1V0xUVGWZgtKOK95fO-HyI7QLJkS8fFwF5ORqL0iKULrJTW7OTFVnhpbWpvMl_pXCf2CDsp8ftZav5eERmC6-psKcDMVCeRN1HARnRttGLSUO1Ln5P3cpmhAVDIT_pgCl2JvyYski41EKkLTfXTzs8DfGwbc1qf4Bk-47hsgfjbDOyDt9ToBr6qEXWhusEtaaRjK5niidiKvJzM-3FOq27fi10ImZiIVSqQPjT0aZl3f0HYtvfyBrWcK9h3hVgA1w9b3OKr6UvxldzUgDVoAmPa3KNdMQt3LirVwI.ijEe8i5qAlU4dEMTo2hWjPSAX5tZLroSyWYdCs_AXaA&dib_tag=se&qid=1737644288&s=computers&sr=1-917&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,HP,HP,840g3,Ultra-Portable,2 Centimeters,24 Centimeters,14 Inches,1920 x 1080 pixels,1920 X 1080,34 x 24 x 2 cm; 1.5 kg,840g3i5-cr,Intel,Core i5 6200U,2.4 GHz,1,4 GB,,,128 GB,"HDD, Hybrid Drive, Solid State Hard Drive",5400 RPM,Headphones,Intel,Integrated,,,,Wi-Fi,,,,Battery Powered,Windows,Windows,Yes,,India,1 kg 500 g,B09F6HBRRK,,"#42,957 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,246 in Traditional Laptops",1 September 2021,34 x 24 x 2 Centimeters,,Silver,,,,44 Watt Hours,,,,,Intel HD Graphics,,,,DDR4 SDRAM,,ATA,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) HP Pavilion 15, AMD Ryzen 5 7530U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon Graphics, 720p HD Camera, Backlit KB, Audio by B&O (Win 11, MSO 2021, Silver, 1.75 kg), eh3036AU","39,941",https://www.amazon.in/Refurbished-HP-Pavilion-15-6-inch-Graphics/dp/B0DDQCKG8G/ref=sr_1_918?dib=eyJ2IjoiMSJ9.EZB5Yk18esqnD0Dg9A18-KCSMiIBrZ2-XrGAmI_g9l_0snDWX6s5LU0ZIbA4ynUnRBsNno1V0xUVGWZgtKOK95fO-HyI7QLJkS8fFwF5ORqL0iKULrJTW7OTFVnhpbWpvMl_pXCf2CDsp8ftZav5eERmC6-psKcDMVCeRN1HARnRttGLSUO1Ln5P3cpmhAVDIT_pgCl2JvyYski41EKkLTfXTzs8DfGwbc1qf4Bk-47hsgfjbDOyDt9ToBr6qEXWhusEtaaRjK5niidiKvJzM-3FOq27fi10ImZiIVSqQPjT0aZl3f0HYtvfyBrWcK9h3hVgA1w9b3OKr6UvxldzUgDVoAmPa3KNdMQt3LirVwI.ijEe8i5qAlU4dEMTo2hWjPSAX5tZLroSyWYdCs_AXaA&dib_tag=se&qid=1737644288&s=computers&sr=1-918&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,HP,HP,HP Pavilion,Laptop,52.8 Centimeters,40.6 Centimeters,15.6 Inches,1920 x 1080 pixel,1920 x 1080,6.9 x 40.6 x 52.8 cm; 1.75 kg,Hp Pavilion-cr,AMD,Ryzen 5,4.5 GHz,1,8 GB,DDR4,8 GB,512 GB,SSD,,,AMD,Integrated,DDR4 SDRAM,,,Wi-Fi,,,,,,Windows 11 Home,Yes,"Laptop, Power Adapter, User Manual",,1 kg 750 g,B0DDQCKG8G,,"#41,258 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,188 in Traditional Laptops",20 August 2024,6.9 x 40.6 x 52.8 Centimeters,,R5 7530U + 8GB/512GB,,,1,41 Watt Hours,3,,,Laptop,,11.1 Volts,,,DDR4 SDRAM,,,Bluetooth,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) ACER TravelLite Laptop AMD Ryzen 3-7330U Processor (8 GB RAM DDR4/512 GB SSD/Windows 11 Home) 35.5 cm (14"" inch) Full HD Display, Metal Body, Silver Color, 1.35 KG 3 Years Warranty","26,160",https://www.amazon.in/Refurbished-TravelLite-3-7330U-Processor-Warranty/dp/B0DS6BYTXG/ref=sr_1_919?dib=eyJ2IjoiMSJ9.EZB5Yk18esqnD0Dg9A18-KCSMiIBrZ2-XrGAmI_g9l_0snDWX6s5LU0ZIbA4ynUnRBsNno1V0xUVGWZgtKOK95fO-HyI7QLJkS8fFwF5ORqL0iKULrJTW7OTFVnhpbWpvMl_pXCf2CDsp8ftZav5eERmC6-psKcDMVCeRN1HARnRttGLSUO1Ln5P3cpmhAVDIT_pgCl2JvyYski41EKkLTfXTzs8DfGwbc1qf4Bk-47hsgfjbDOyDt9ToBr6qEXWhusEtaaRjK5niidiKvJzM-3FOq27fi10ImZiIVSqQPjT0aZl3f0HYtvfyBrWcK9h3hVgA1w9b3OKr6UvxldzUgDVoAmPa3KNdMQt3LirVwI.ijEe8i5qAlU4dEMTo2hWjPSAX5tZLroSyWYdCs_AXaA&dib_tag=se&qid=1737644288&s=computers&sr=1-919&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,Acer,ACER INDIA PVT LTD,TravelLite TL14-42M,,,,14 Inches,,,,,AMD,Ryzen 3,2.6 GHz,1,,DDR4,8 GB,512 GB,SSD,,,AMD,Integrated,DDR4 SDRAM,,,,2,,,,,Windows 11 Home,Yes,"Power cord, Adapter",,1 kg 350 g,B0DS6BYTXG,,"#43,341 in Computers & Accessories (See Top 100 in Computers & Accessories)
#54 in Renewed New Arrivals Store
#1,262 in Traditional Laptops",3 January 2025,,1 Count,Silver,46.5 x 29.2 x 8.9 cm; 1.35 kg,1 AAAA batteries required. (included),,4.9 Watt Hours,2,,,Laptop,AMD Radeon Graphics,,,4 Hours,,,,,0.85 Grams,,,,,,,,,,,,,,,,,,,,,
"Apple 2024 MacBook Pro Laptop with M4 chip with 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, (14.2″) Liquid Retina XDR Display, 14GB Unified Memory, 1TB SSD Storage; Space Black","2,01,990",https://www.amazon.in/Apple-2024-MacBook-Laptop-10%E2%80%91core/dp/B0DLJ82ZMT/ref=sr_1_920?dib=eyJ2IjoiMSJ9.EZB5Yk18esqnD0Dg9A18-KCSMiIBrZ2-XrGAmI_g9l_0snDWX6s5LU0ZIbA4ynUnRBsNno1V0xUVGWZgtKOK95fO-HyI7QLJkS8fFwF5ORqL0iKULrJTW7OTFVnhpbWpvMl_pXCf2CDsp8ftZav5eERmC6-psKcDMVCeRN1HARnRttGLSUO1Ln5P3cpmhAVDIT_pgCl2JvyYski41EKkLTfXTzs8DfGwbc1qf4Bk-47hsgfjbDOyDt9ToBr6qEXWhusEtaaRjK5niidiKvJzM-3FOq27fi10ImZiIVSqQPjT0aZl3f0HYtvfyBrWcK9h3hVgA1w9b3OKr6UvxldzUgDVoAmPa3KNdMQt3LirVwI.ijEe8i5qAlU4dEMTo2hWjPSAX5tZLroSyWYdCs_AXaA&dib_tag=se&qid=1737644288&s=computers&sr=1-920&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,,Apple,,,,,,,,,MCX04HN/A,,,,,,,,,,,,,,,,,,,,,,,,,,China,,,,,,,1 Count,,40.2 x 30.5 x 9.6 cm; 1.55 kg,,,,,Not Applicable for Apple (Always),"(If applicable) Apple India Private Limited 13th Floor, Prestige Minsk Square, Municipal No. 6, Cubbon Road, Bengaluru, Karnataka - 560001, India","14-inch MacBook Pro (M4, 2024)",,,,,,,,,,,,,,,,,,,B0DLJ82ZMT,"Apple, Apple Inc, One Apple Park Way, Cupertino, CA 95014, USA. or Apple India Private Limited 13th Floor, Prestige Minsk Square, Municipal No. 6, Cubbon Road, Bengaluru, Karnataka - 560001, India",1 kg 550 g,"USB-C Power Adapter, USB-C to MagSafe 3 Cable (2m) 1N, 14-inch MacBook Pro 1N",,,,,,,,
"Lenovo V15 Intel Core i3 12th Gen 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/DOS/Iron Grey/1Y Onsite + 1Y ADP/1.7 kg), 82TTA00UIH","30,990",https://www.amazon.in/Lenovo-82TTA01UIH-Laptop-i3-1215U-Warranty/dp/B0C3Y7FSFC/ref=sr_1_921?dib=eyJ2IjoiMSJ9.EZB5Yk18esqnD0Dg9A18-KCSMiIBrZ2-XrGAmI_g9l_0snDWX6s5LU0ZIbA4ynUnRBsNno1V0xUVGWZgtKOK95fO-HyI7QLJkS8fFwF5ORqL0iKULrJTW7OTFVnhpbWpvMl_pXCf2CDsp8ftZav5eERmC6-psKcDMVCeRN1HARnRttGLSUO1Ln5P3cpmhAVDIT_pgCl2JvyYski41EKkLTfXTzs8DfGwbc1qf4Bk-47hsgfjbDOyDt9ToBr6qEXWhusEtaaRjK5niidiKvJzM-3FOq27fi10ImZiIVSqQPjT0aZl3f0HYtvfyBrWcK9h3hVgA1w9b3OKr6UvxldzUgDVoAmPa3KNdMQt3LirVwI.ijEe8i5qAlU4dEMTo2hWjPSAX5tZLroSyWYdCs_AXaA&dib_tag=se&qid=1737644288&s=computers&sr=1-921&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,Lenovo,Lenovo,Lenovo V15,Laptop,53.7 Centimeters,33.4 Centimeters,15.6 Inches,1920 x 1080 pixel,,7.2 x 33.4 x 53.7 cm; 1.7 kg,,Intel,Core i3-1215U,1.2 GHz,1,8 GB,DDR4,16 GB,512 GB,SSD,5400 RPM,Speakers,Intel,Integrated,Shared,,Integrated,Wi-Fi,1,,No Optical Drive,Battery Powered,,DOS,Yes,"Laptop, User manual, Adapter",India,1 kg 700 g,B0C3Y7FSFC,"3.6
46 ratings
3.6 out of 5 stars","#50,389 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,489 in Traditional Laptops",29 April 2023,7.2 x 33.4 x 53.7 Centimeters,1 Case,Iron Grey,,1 Lithium Polymer batteries required. (included),,38 Watt Hours,2,"Lenovo India Pvt Ltd, RSNO 19/1A,2A Edayar Palayam village, Cuddalore Main Road, Thavalakuppam.Pondicherry-605007","Lenovo India Pvt Ltd, RBD Icon, 2nd Floor, Doddenekundi, Marathaalli Outer Ring Road, Bangalore, India 560037",Laptop,,3.7 Volts,65 Watts,,DDR4 SDRAM,3200 MHz,,802.11ax,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) Dell Precision Mobile Workstation M7530, Intel Core i7 8850H, 32GB RAM, 512 GB Hard Disk, Nvidia Quadro P3200 6GB Graphic Card,15.6"" Screen, Windows 10 Pro, 3 Years Warranty by Dell.","58,000",https://www.amazon.in/Refurbished-Dell-Precision-Workstation-Warranty/dp/B0DGH49851/ref=sr_1_922?dib=eyJ2IjoiMSJ9.EZB5Yk18esqnD0Dg9A18-KCSMiIBrZ2-XrGAmI_g9l_0snDWX6s5LU0ZIbA4ynUnRBsNno1V0xUVGWZgtKOK95fO-HyI7QLJkS8fFwF5ORqL0iKULrJTW7OTFVnhpbWpvMl_pXCf2CDsp8ftZav5eERmC6-psKcDMVCeRN1HARnRttGLSUO1Ln5P3cpmhAVDIT_pgCl2JvyYski41EKkLTfXTzs8DfGwbc1qf4Bk-47hsgfjbDOyDt9ToBr6qEXWhusEtaaRjK5niidiKvJzM-3FOq27fi10ImZiIVSqQPjT0aZl3f0HYtvfyBrWcK9h3hVgA1w9b3OKr6UvxldzUgDVoAmPa3KNdMQt3LirVwI.ijEe8i5qAlU4dEMTo2hWjPSAX5tZLroSyWYdCs_AXaA&dib_tag=se&qid=1737644288&s=computers&sr=1-922&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,Dell,Dell Computers,Precision Mobile,Clamshell,,,15.6 Inches,1920 x 1080 pixels,1920 x 1080,,68XJY-cr,Intel,Intel Core M-5Y10 Processor,2.6 GHz,6,32 GB,DDR4,32 GB,512 GB,HDD,5400 RPM,Headphones,NVIDIA,Dedicated,,6 GB,,Bluetooth,,,,Battery Powered,Windows,Windows,Yes,,,2 kg 520 g,B0DGH49851,,"#44,579 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,354 in Laptops",9 September 2024,,,black,38.1 x 14.87 x 12 cm; 2.52 kg,,,97 Watt Hours,,,,,NVIDIA Quadro P3200,7.8 Volts,2 Watts,16 Hours,DDR DRAM,2666 MHz,Serial ATA,802.11b,,,,,16 Hours,,,,,,,,,,,,,,,,,
"Apple 2024 MacBook Pro Laptop with M4 Max chip with 14‑core CPU and 32‑core GPU: Built for Apple Intelligence, (14.2″) Liquid Retina XDR Display, 36GB Unified Memory, 1TB SSD Storage; Space Black","3,09,990",https://www.amazon.in/Apple-MacBook-Laptop-14%E2%80%91core-32%E2%80%91core/dp/B0DLHGCB3C/ref=sr_1_923?dib=eyJ2IjoiMSJ9.EZB5Yk18esqnD0Dg9A18-KCSMiIBrZ2-XrGAmI_g9l_0snDWX6s5LU0ZIbA4ynUnRBsNno1V0xUVGWZgtKOK95fO-HyI7QLJkS8fFwF5ORqL0iKULrJTW7OTFVnhpbWpvMl_pXCf2CDsp8ftZav5eERmC6-psKcDMVCeRN1HARnRttGLSUO1Ln5P3cpmhAVDIT_pgCl2JvyYski41EKkLTfXTzs8DfGwbc1qf4Bk-47hsgfjbDOyDt9ToBr6qEXWhusEtaaRjK5niidiKvJzM-3FOq27fi10ImZiIVSqQPjT0aZl3f0HYtvfyBrWcK9h3hVgA1w9b3OKr6UvxldzUgDVoAmPa3KNdMQt3LirVwI.ijEe8i5qAlU4dEMTo2hWjPSAX5tZLroSyWYdCs_AXaA&dib_tag=se&qid=1737644288&s=computers&sr=1-923&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,,Apple,,,,,,,,,MX2K3HN/A,,,,,,,,,,,,,,,,,,,,,,,,,,China,,,,,,,1 Count,,40.1 x 30.5 x 9.6 cm; 1.62 kg,,,,,Not Applicable for Apple (Always),"(If applicable) Apple India Private Limited 13th Floor, Prestige Minsk Square, Municipal No. 6, Cubbon Road, Bengaluru, Karnataka - 560001, India","14-inch MacBook Pro (M4 Max, 2024)",,,,,,,,,,,,,,,,,,,B0DLHGCB3C,"Apple, Apple Inc, One Apple Park Way, Cupertino, CA 95014, USA. or Apple India Private Limited 13th Floor, Prestige Minsk Square, Municipal No. 6, Cubbon Road, Bengaluru, Karnataka - 560001, India",1 kg 620 g,"USB-C Power Adapter, USB-C to MagSafe 3 Cable (2m) 1N, 14-inch MacBook Pro 1N",,,,,,,,
