title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Resolution,tech_Product Dimensions,tech_Batteries,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_Memory Technology,tech_Maximum Memory Supported,tech_Hard Disk Description,tech_Audio Details,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Interface,tech_Connectivity Type,tech_Operating System,tech_Average Battery Life (in hours),tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Number of Lithium Ion Cells,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Packer,info_Importer,info_Item Dimensions LxWxH,info_Net Quantity,info_Generic Name,tech_RAM Size,tech_Computer Memory Type,tech_Hard Drive Size,tech_Hard Drive Interface,tech_Graphics Coprocessor,tech_Graphics Card Ram Size,tech_Package Dimensions,tech_Memory Clock Speed,tech_Number of USB 2.0 Ports,tech_Number of USB 3.0 Ports,tech_Number of HDMI Ports,tech_Voltage,tech_Wattage,tech_Optical Drive Type,tech_Speaker Description,tech_Rear Webcam Resolution,tech_Power Source,tech_Hardware Platform,tech_Hard Disk Rotational Speed,tech_Wireless Type,tech_Lithium Battery Weight,tech_Front Webcam Resolution,tech_Number of Ethernet Ports,tech_Model,tech_Model Name,tech_Model Year,tech_Memory Storage Capacity,tech_Memory Slots Available,tech_Flash Memory Installed Size,tech_Ram Memory Installed Size,tech_RAM memory maximum size,tech_Ram Memory Technology,tech_Processor model number,tech_Hardware Interface,tech_Special Features,tech_Chipset Type,tech_Mounting Hardware,tech_Number of items,tech_Software included,tech_Display Technology,tech_Display Type,tech_Colour Screen,tech_Audio Output Type,tech_Video Output,tech_Batteries Included,tech_Batteries Required,tech_Battery cell composition,tech_Refresh Rate,tech_Number of Ports,tech_Total USB ports,tech_Keyboard Description,tech_Connector Type,tech_Device interface - primary,tech_Has audio recording capabilities,tech_Supports Bluetooth Technology,tech_Average Battery Standby Life (in hours),tech_Number of Lithium Metal Cells,tech_Battery Average Life,tech_Battery Average Life Standby,tech_Notebook Display Technology,tech_Number of Microphone Ports,tech_Number of Audio-out Ports,tech_Compatible Devices,tech_Cellular technology,tech_Device type,tech_ASIN,info_Manufacturer,info_Item Weight,info_Included Components,tech_Processor Socket,tech_Audio Features Description,tech_Microphone format,tech_Item dimensions L x W x H,tech_Recommended Uses For Product,tech_Theme,tech_Cartoon Character,tech_Number of Pieces,tech_Style,tech_Reusability,tech_Pattern,tech_Finish Type
"Acer Aspire Lite 11th Gen Intel Core i3-1115G4 Thin and Light Laptop (Windows 11 Home/16 GB RAM/512 GB SSD/Intel UHD Graphics) AL15-51, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG","32,900",https://www.amazon.in/Acer-i3-1115G4-Windows-Graphics-AL15-51/dp/B0CHVR28DM/ref=sr_1_1227?dib=eyJ2IjoiMSJ9.XcSGx03naP_mWKPdLOCPOQ4FJ6yiSFr_1xadFL20giA3qmxxYKG_tMWtSuxeKX95Wc9A1FBgcNNnSf_XXyuGVBG7mlMex2cv3NuZ8wROMlbnTdOXWJmL9Ym3q7ZG14luPhY2P3rc5WUn78EMrZOlF2dIrCARlo54ATJUzolXFCZyLyz40t3lO0GFEQOX6E5zT4sjxUWEbp5Lc4zn7NWdOBGhcuo6FqG55NpQ83Z8ysf44Gqmjuykm2KzlyHC1fW_7wOZGzsxTq6is9_ZyGQsttPeV4w_QXHN3GGDdVWTztpP1WJ2W0t6wa0wwL7DkxShnZNMVOG2OYVzIj7Wv_yyu1vxVzhBubI9THoBZqYZEHs.Mrs7iu-uvBkQKk__u8Z-yLHTM7F0fB4wg2UEfSLk7rA&dib_tag=se&qid=1737661998&s=computers&sr=1-1227&xpid=aGsdZ06zmnQzo,24-01-2025 01:47,Acer,Acer,Aspire Lite,Steel Gray,Laptop,,,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,,1 Lithium Ion batteries required. (included),AL15-51,Intel,Core I3 1115G4,4.1 GHz,1,DDR4,32 GB,SSD,Speakers,Intel,Integrated,DDR4 SDRAM,Integrated,Wi-Fi,Windows 11 Home,,Yes,,3,"1U (contains Laptop 1N, Power cord 1N, Adapter 1N, User Manual 1N)",,1 kg 600 g,B0CHVR28DM,"4.3
17 ratings
4.3 out of 5 stars","#59,917 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,817 in Traditional Laptops",12-Sep-23,"ACER INDIA PRIVATE LIMITED, RS No.38/2, Sedarpet Village, Villanur Commune, Poducherry - 605111.","ACER INDIA PRIVATE LIMITED Embassy Heights, 6th Floor, No. 13, Magrath Road, Next to HOSMAT Hospital, Bangalore, INDIA – 560025",,1 Count,Laptop,16 GB,DDR4 SDRAM,,Solid State,Intel UHD Graphics,16 GB,48.4 x 32.79 x 8.8 cm; 1.6 kg,,2,2,,19 Volts,45 Watts,,,,,,,Bluetooth,66.5 Grams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo V15 Intel i3 11th Gen 15.6"" (39.62cm) FHD 250 nits Antiglare Thin and Light Laptop (8GB/256GB SSD/Windows 11 Home/Office H&S 2021/Iron Grey/1.7 Kg), 82KBA02UIH","32,990",https://www.amazon.in/Lenovo-39-62cm-Antiglare-Windows-82KBA02UIH/dp/B0BM9VHRC6/ref=sr_1_1228?dib=eyJ2IjoiMSJ9.XcSGx03naP_mWKPdLOCPOQ4FJ6yiSFr_1xadFL20giA3qmxxYKG_tMWtSuxeKX95Wc9A1FBgcNNnSf_XXyuGVBG7mlMex2cv3NuZ8wROMlbnTdOXWJmL9Ym3q7ZG14luPhY2P3rc5WUn78EMrZOlF2dIrCARlo54ATJUzolXFCZyLyz40t3lO0GFEQOX6E5zT4sjxUWEbp5Lc4zn7NWdOBGhcuo6FqG55NpQ83Z8ysf44Gqmjuykm2KzlyHC1fW_7wOZGzsxTq6is9_ZyGQsttPeV4w_QXHN3GGDdVWTztpP1WJ2W0t6wa0wwL7DkxShnZNMVOG2OYVzIj7Wv_yyu1vxVzhBubI9THoBZqYZEHs.Mrs7iu-uvBkQKk__u8Z-yLHTM7F0fB4wg2UEfSLk7rA&dib_tag=se&qid=1737661998&s=computers&sr=1-1228&xpid=aGsdZ06zmnQzo,24-01-2025 01:47,Lenovo,Lenovo,,,Laptop,,,15.6 Inches,1920 x 1080 pixel,1920x1080 (full hd),23.6 x 35.9 x 2 cm; 1.7 kg,1 Lithium Polymer batteries required. (included),v15,Intel,Core i3,3 GHz,1,,,SSD,,,Integrated,Shared,Integrated,,Windows 11 Home,,,,,,India,1 kg 700 g,B0BM9VHRC6,"3.7
10 ratings
3.7 out of 5 stars","#337,930 in Electronics (See Top 100 in Electronics)
#2,347 in Traditional Laptops",14-Nov-22,"Lenovo (India) Private Limited, R.S. NO. 19/1A & 2A, Edayarpalayam Village, ECR Road, Thavalakuppam, Pondicherry 605 007, India","Lenovo India,Level-2, Ferns Icon, Outer Ring Road, Marathahalli, Bangalore",23.6 x 35.9 x 2 Centimeters,1 Case,Laptop,8 GB,DDR4 SDRAM,256 GB,,,,,,,,,,65 Watts,No Optical Drive,,,Battery Powered,,,Bluetooth,,,,v15,V15,2021,,yes,256 GB,8 GB,12 GB,DDR4,i3-1115G4,Bluetooth,"Anti Glare Screen, Light Weight, Thin",intel,"Laptop, User manual, Adapter",3,Microsoft Office 365,,LCD,,"Headphones, Speakers",,Yes,Yes,Lithium Polymer,,10,3,"6-row, spill-resistant, backlit","Bluetooth, Wi-Fi, USB, Ethernet, HDMI","Microphone, Keyboard, Numeric Keypad",,Yes,,,5.5 Hours,5.5 Hours,,,,wi-fi + bluetooth,5G,,,,,,,,,,,,,,,,,
"(Refurbished) Lenovo IdeaPad Gaming 3 AMD Ryzen 5 7535HS 15.6"" (39.62cm) FHD IPS 120Hz Gaming Laptop (16GB/512GB SSD/Win 11/NVIDIA RTX 2050 4GB/Alexa/3 Month Game Pass/Onyx Grey/2.32Kg), 82SB00NXIN","44,792",https://www.amazon.in/Refurbished-Lenovo-IdeaPad-39-62cm-82SB00NXIN/dp/B0CQ58DS3X/ref=sr_1_1229?dib=eyJ2IjoiMSJ9.XcSGx03naP_mWKPdLOCPOQ4FJ6yiSFr_1xadFL20giA3qmxxYKG_tMWtSuxeKX95Wc9A1FBgcNNnSf_XXyuGVBG7mlMex2cv3NuZ8wROMlbnTdOXWJmL9Ym3q7ZG14luPhY2P3rc5WUn78EMrZOlF2dIrCARlo54ATJUzolXFCZyLyz40t3lO0GFEQOX6E5zT4sjxUWEbp5Lc4zn7NWdOBGhcuo6FqG55NpQ83Z8ysf44Gqmjuykm2KzlyHC1fW_7wOZGzsxTq6is9_ZyGQsttPeV4w_QXHN3GGDdVWTztpP1WJ2W0t6wa0wwL7DkxShnZNMVOG2OYVzIj7Wv_yyu1vxVzhBubI9THoBZqYZEHs.Mrs7iu-uvBkQKk__u8Z-yLHTM7F0fB4wg2UEfSLk7rA&dib_tag=se&qid=1737661998&s=computers&sr=1-1229&xpid=aGsdZ06zmnQzo,24-01-2025 01:47,Lenovo,Lenovo,IdeaPad Gaming 3 15ARH7,Onyx Grey,Gaming,54.9 Centimeters,8.9 Centimeters,15.6 Inches,1920 x 1080 pixel,1920 x 1080 Pixels,54.9 x 8.9 x 54.9 cm; 2.32 kg,,82SB00NXIN-cr,AMD,Ryzen 5,3.3 GHz,6,DDR5,16 GB,SSD,,NVIDIA,Dedicated,Shared,,"Bluetooth, Wi-Fi",Windows 11 Home,6.5 Hours,Yes,45 Watt Hours,3,Laptop,India,2 kg 320 g,B0CQ58DS3X,"3.5
5 ratings
3.5 out of 5 stars","#80,365 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,541 in Traditional Laptops",13-Dec-23,,,54.9 x 8.9 x 54.9 Centimeters,1 Piece,Laptop,16 GB,DDR5 RAM,512 GB,,NVIDIA GeForce RTX 2050 4GB GDDR6,4 GB,,,,,,110 Volts,,,,,,,,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo V15 Intel Core i7 12th Gen 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 nits Thin and Light Laptop (16GB RAM/512GB SSD/Windows 11 Home/Iron Grey/1Y Onsite/1.7 kg), 82TTA08AIN","51,990",https://www.amazon.in/Lenovo-1920x1080-Antiglare-Windows-82TTA08AIN/dp/B0CJTRM3QW/ref=sr_1_1230?dib=eyJ2IjoiMSJ9.XcSGx03naP_mWKPdLOCPOQ4FJ6yiSFr_1xadFL20giA3qmxxYKG_tMWtSuxeKX95Wc9A1FBgcNNnSf_XXyuGVBG7mlMex2cv3NuZ8wROMlbnTdOXWJmL9Ym3q7ZG14luPhY2P3rc5WUn78EMrZOlF2dIrCARlo54ATJUzolXFCZyLyz40t3lO0GFEQOX6E5zT4sjxUWEbp5Lc4zn7NWdOBGhcuo6FqG55NpQ83Z8ysf44Gqmjuykm2KzlyHC1fW_7wOZGzsxTq6is9_ZyGQsttPeV4w_QXHN3GGDdVWTztpP1WJ2W0t6wa0wwL7DkxShnZNMVOG2OYVzIj7Wv_yyu1vxVzhBubI9THoBZqYZEHs.Mrs7iu-uvBkQKk__u8Z-yLHTM7F0fB4wg2UEfSLk7rA&dib_tag=se&qid=1737661998&s=computers&sr=1-1230&xpid=aGsdZ06zmnQzo,24-01-2025 01:47,Lenovo,Lenovo,Lenovo V15,Iron Grey,Laptop,,,15.6 Inches,1920 x 1080 pixel,,,1 Lithium Polymer batteries required. (included),,Intel,Core i7-1255U,1.7 GHz,1,DDR4,16 GB,SSD,"Headphones, Speakers",Intel,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",Windows 11 Home,,Yes,38 Watt Hours,2,"Laptop, User manual, Adapter",,1 kg 700 g,B0CJTRM3QW,"3.6
8 ratings
3.6 out of 5 stars","#61,874 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,889 in Traditional Laptops",26-Sep-23,"Lenovo India Pvt Ltd, RSNO 19/1A,2A Edayar Palayam village, Cuddalore Main Road, Thavalakuppam.Pondicherry-605007","Lenovo India Pvt Ltd, RBD Icon, 2nd Floor, Doddenekundi, Marathaalli Outer Ring Road, Bangalore, India 560037",,1 Case,Laptop,16 GB,,512 GB,,Intel UHD Graphics 630,,53.4 x 33.2 x 7.2 cm; 1.7 kg,3200 MHz,1,,,230 Volts,,No Optical Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) HP 15s Ryzen 3- 5300U- 8GB RAM/512GB SSD 15.6-inch (39.6cm) FHD, Micro-Edge, Anti-Glare Di","26,766",https://www.amazon.in/HP-15-6-inch-Micro-Edge-Anti-Glare-15s-eq2143au/dp/B09TB8FR4N/ref=sr_1_1231?dib=eyJ2IjoiMSJ9.XcSGx03naP_mWKPdLOCPOQ4FJ6yiSFr_1xadFL20giA3qmxxYKG_tMWtSuxeKX95Wc9A1FBgcNNnSf_XXyuGVBG7mlMex2cv3NuZ8wROMlbnTdOXWJmL9Ym3q7ZG14luPhY2P3rc5WUn78EMrZOlF2dIrCARlo54ATJUzolXFCZyLyz40t3lO0GFEQOX6E5zT4sjxUWEbp5Lc4zn7NWdOBGhcuo6FqG55NpQ83Z8ysf44Gqmjuykm2KzlyHC1fW_7wOZGzsxTq6is9_ZyGQsttPeV4w_QXHN3GGDdVWTztpP1WJ2W0t6wa0wwL7DkxShnZNMVOG2OYVzIj7Wv_yyu1vxVzhBubI9THoBZqYZEHs.Mrs7iu-uvBkQKk__u8Z-yLHTM7F0fB4wg2UEfSLk7rA&dib_tag=se&qid=1737661998&s=computers&sr=1-1231&xpid=aGsdZ06zmnQzo,24-01-2025 01:47,HP,amd,HP 15s-eq2143au,Natural Silver,Laptop,18 Millimeters,24.2 Centimeters,15.6 Inches,1920 x 1080 pixels,1920 x 1080,35.9 x 24.2 x 1.8 cm; 1.69 kg,,,AMD,Ryzen 3 5300U,3.8 GHz,1,DDR4,16 GB,SSD,"Headphones, Speakers",AMD,Integrated,VRAM,,"Bluetooth, Wi-Fi",Windows 11 Home,,Yes,41 Watt Hours,3,"HP Laptop,AC power adapter, user manuals",,1 kg 690 g,B09TB8FR4N,"2.6
6 ratings
2.6 out of 5 stars","#72,951 in Computers & Accessories (See Top 100 in Computers & Accessories)
#104 in Celebrate Ganesha Chaturthi with Renewed
#2,300 in Traditional Laptops",24-Feb-22,,,35.9 x 24.2 x 1.8 Centimeters,1 Pack,Laptop,8 GB,DDR4 SDRAM,512 GB,Solid State,AMD Radeon Graphics,6 GB,,3200 MHz,,,1,41 Volts,,,,,Battery Powered,PC,,802.11a/b/g/n/ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MSI Prestige 13 AI Evo, Intel Core Ultra 7 155H,Built-in AI, 34CM OLED Thin and Light Laptop(16GB/1TB NVMe SSD/Windows 11 Home/Intel Arc Graphics/Stellar Grey/0.99Kg), A1MG-051IN","1,04,990",https://www.amazon.in/MSI-Prestige-13-AI-Evo/dp/B0CV2S5S2P/ref=sr_1_1232?dib=eyJ2IjoiMSJ9.XcSGx03naP_mWKPdLOCPOQ4FJ6yiSFr_1xadFL20giA3qmxxYKG_tMWtSuxeKX95Wc9A1FBgcNNnSf_XXyuGVBG7mlMex2cv3NuZ8wROMlbnTdOXWJmL9Ym3q7ZG14luPhY2P3rc5WUn78EMrZOlF2dIrCARlo54ATJUzolXFCZyLyz40t3lO0GFEQOX6E5zT4sjxUWEbp5Lc4zn7NWdOBGhcuo6FqG55NpQ83Z8ysf44Gqmjuykm2KzlyHC1fW_7wOZGzsxTq6is9_ZyGQsttPeV4w_QXHN3GGDdVWTztpP1WJ2W0t6wa0wwL7DkxShnZNMVOG2OYVzIj7Wv_yyu1vxVzhBubI9THoBZqYZEHs.Mrs7iu-uvBkQKk__u8Z-yLHTM7F0fB4wg2UEfSLk7rA&dib_tag=se&qid=1737661998&s=computers&sr=1-1232&xpid=aGsdZ06zmnQzo,24-01-2025 01:47,MSI,MSI,Prestige 13 AI Evo,Stellar Gray,Laptop,45.4 Centimeters,32.2 Centimeters,34 Centimetres,2880 x 1800 pixel,,13.4 x 32.2 x 45.4 cm; 990 g,1 Lithium Polymer batteries required. (included),Prestige 13 AI Evo,Intel,Core i7,1.4 GHz,1,Lpddr 5,16 GB,SSD,"Headphones, Speakers",Intel,Integrated,Shared,Integrated,Wi-Fi,Windows 11 Home,,Yes,75 Watt Hours,4,"Laptop, Power Adapter, Battery, MSI Bag",China,990 g,B0CV2S5S2P,,"#79,604 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,518 in Traditional Laptops",06-Feb-24,"Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China","Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China",13.4 x 32.2 x 45.4 Centimeters,1 Count,Laptop,16,,,,Intel Arc,,,,,1,,28 Volts,,,,,,,,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) Lenovo ThinkBook 15 AMD Ryzen 5 5500U 15.6"" (39.62cm) FHD 220 Nits Antiglare Thin and Light Laptop (16GB/512GB SSD/Windows 11/MS Office/Mineral Grey/1.7 Kg), 21A4A09RIH","44,093",https://www.amazon.in/Renewed-Lenovo-ThinkBook-Antiglare-21A4A09RIH/dp/B0BCGF2KG2/ref=sr_1_1233?dib=eyJ2IjoiMSJ9.XcSGx03naP_mWKPdLOCPOQ4FJ6yiSFr_1xadFL20giA3qmxxYKG_tMWtSuxeKX95Wc9A1FBgcNNnSf_XXyuGVBG7mlMex2cv3NuZ8wROMlbnTdOXWJmL9Ym3q7ZG14luPhY2P3rc5WUn78EMrZOlF2dIrCARlo54ATJUzolXFCZyLyz40t3lO0GFEQOX6E5zT4sjxUWEbp5Lc4zn7NWdOBGhcuo6FqG55NpQ83Z8ysf44Gqmjuykm2KzlyHC1fW_7wOZGzsxTq6is9_ZyGQsttPeV4w_QXHN3GGDdVWTztpP1WJ2W0t6wa0wwL7DkxShnZNMVOG2OYVzIj7Wv_yyu1vxVzhBubI9THoBZqYZEHs.Mrs7iu-uvBkQKk__u8Z-yLHTM7F0fB4wg2UEfSLk7rA&dib_tag=se&qid=1737661998&s=computers&sr=1-1233&xpid=aGsdZ06zmnQzo,24-01-2025 01:47,Lenovo,Lenovo,ThinkBook 15 Gen3,Mineral grey,Laptop,19 Millimeters,35.7 Centimeters,15.6 Inches,1920 x 1080 pixel,,23.5 x 35.7 x 1.9 cm; 1.7 kg,,,AMD,AMD Ryzen 5 5500U,2.1 GHz,1,DDR4,40 GB,SSD,Speakers,AMD,Integrated,Shared,,"Bluetooth, Wi-Fi",Windows 11 Home,6 Hours,,45 Watt Hours,,"Laptop, User manual, Adapter",India,1 kg 700 g,B0BCGF2KG2,,"#79,983 in Computers & Accessories (See Top 100 in Computers & Accessories)
#88 in Best Offers from Renewed
#162 in Refurbished Deals
#243 in Renewed Black Friday and Cyber Monday Sale",30-Aug-22,,,23.5 x 35.7 x 1.9 Centimeters,1 Case,Laptop,16 GB,,512 GB,,AMD Radeon Graphics,,,,,,,15 Volts,65 Watts,,,,Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5 Hours,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) HP Pavilion Plus 14 AI-enhanced Laptop, Intel EVO Core Ultra 5 125H,14-inch (35.6 cm) 16GB, 512GB SSD, Intel Arc Graphics, WQXGA, 300 nits, 120Hz, 5MP IR Camera, (Win 11, MSO, Blue, 1.44 kg), ew1082TU","79,891",https://www.amazon.in/Refurbished-HP-Pavilion-AI-enhanced-Graphics/dp/B0DBQ6R8ZW/ref=sr_1_1234?dib=eyJ2IjoiMSJ9.XcSGx03naP_mWKPdLOCPOQ4FJ6yiSFr_1xadFL20giA3qmxxYKG_tMWtSuxeKX95Wc9A1FBgcNNnSf_XXyuGVBG7mlMex2cv3NuZ8wROMlbnTdOXWJmL9Ym3q7ZG14luPhY2P3rc5WUn78EMrZOlF2dIrCARlo54ATJUzolXFCZyLyz40t3lO0GFEQOX6E5zT4sjxUWEbp5Lc4zn7NWdOBGhcuo6FqG55NpQ83Z8ysf44Gqmjuykm2KzlyHC1fW_7wOZGzsxTq6is9_ZyGQsttPeV4w_QXHN3GGDdVWTztpP1WJ2W0t6wa0wwL7DkxShnZNMVOG2OYVzIj7Wv_yyu1vxVzhBubI9THoBZqYZEHs.Mrs7iu-uvBkQKk__u8Z-yLHTM7F0fB4wg2UEfSLk7rA&dib_tag=se&qid=1737661998&s=computers&sr=1-1234&xpid=aGsdZ06zmnQzo,24-01-2025 01:47,HP,HP,14-ew1082TU,Blue,Laptop,,,35.6 Centimetres,2560 x 1600 pixel,2560 x 1600,,,A3WE3PA-cr,Intel,Others,4.5 GHz,1,Lpddr 5,512 GB,SSD,"Internal, HDMI, Bluetooth",Intel,Integrated,DDR5 SDRAM,,"Bluetooth, Wi-Fi",Windows 11 Home,12 Hours,Yes,68 Watt Hours,4,"Laptop, Charger, User Manual",,1 kg 440 g,B0DBQ6R8ZW,"1.0
1 rating
1.0 out of 5 stars","#81,049 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,560 in Traditional Laptops",31-Jul-24,,,,,Laptop,16,DDR5 SDRAM,512 GB,Serial ATA,Intel UHD Graphics,4 GB,48.4 x 30.4 x 6.9 cm; 1.44 kg,,,,,11.1 Volts,,,,,,,,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS Vivobook15 X1502ZA-EJ953WS Intel®Core™ i3-1215U / / / 8GB DDR4 / 512GB PCIe® 3.0 SSD / 15.6-inch/FHD (1920 x 1080) 16:9 / / Icelight Silver / / / Fingerprint / / Win 11 Home/MS Office,"33,799",https://www.amazon.in/ASUS-Vivobook15-X1502ZA-EJ953WS-Intel%C2%AECoreTM-15-6-inch/dp/B0C3CPD3DY/ref=sr_1_1225?dib=eyJ2IjoiMSJ9.XcSGx03naP_mWKPdLOCPOQ4FJ6yiSFr_1xadFL20giA3qmxxYKG_tMWtSuxeKX95Wc9A1FBgcNNnSf_XXyuGVBG7mlMex2cv3NuZ8wROMlbnTdOXWJmL9Ym3q7ZG14luPhY2P3rc5WUn78EMrZOlF2dIrCARlo54ATJUzolXFCZyLyz40t3lO0GFEQOX6E5zT4sjxUWEbp5Lc4zn7NWdOBGhcuo6FqG55NpQ83Z8ysf44Gqmjuykm2KzlyHC1fW_7wOZGzsxTq6is9_ZyGQsttPeV4w_QXHN3GGDdVWTztpP1WJ2W0t6wa0wwL7DkxShnZNMVOG2OYVzIj7Wv_yyu1vxVzhBubI9THoBZqYZEHs.Mrs7iu-uvBkQKk__u8Z-yLHTM7F0fB4wg2UEfSLk7rA&dib_tag=se&qid=1737661998&s=computers&sr=1-1225&xpid=aGsdZ06zmnQzo,24-01-2025 01:47,ASUS,DIGITEK (CHONGQING),Asus Vivobook 15 X1502ZA,silver,Ultrabook,,,15.6 Inches,1920 x 1080 pixel,,,,,Intel,Core i3,1.7 GHz,1,LPDDR4,8 GB,SSD,Speakers,Intel,Integrated,DDR4 SDRAM,Integrated,Wi-Fi,Windows 11,,,,,"Laptop, User Manual, 45W AC Adapter",,2 kg 600 g,B0C3CPD3DY,"5.0
1 rating
5.0 out of 5 stars","#80,593 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,549 in Traditional Laptops",24-Apr-23,,,,1.00 count,,8 GB,,512 GB,,,,48.5 x 28.6 x 6.4 cm; 2.6 kg,,2,1,,,,,,,Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Vostro 3420 Laptop - Intel i5-1135G7, 8GB DDR4 & 512GB SSD, Windows 11 + MSO'21, 14.0""/35.56Cms FHD WVA AG 250 nits Narrow Border, Carbon Black (D552281WIN9BE, 1.48Kgs)","54,990",https://www.amazon.in/Dell-Vostro-3420-Laptop-D552281WIN9BE/dp/B0B468JYQQ/ref=sr_1_1226?dib=eyJ2IjoiMSJ9.XcSGx03naP_mWKPdLOCPOQ4FJ6yiSFr_1xadFL20giA3qmxxYKG_tMWtSuxeKX95Wc9A1FBgcNNnSf_XXyuGVBG7mlMex2cv3NuZ8wROMlbnTdOXWJmL9Ym3q7ZG14luPhY2P3rc5WUn78EMrZOlF2dIrCARlo54ATJUzolXFCZyLyz40t3lO0GFEQOX6E5zT4sjxUWEbp5Lc4zn7NWdOBGhcuo6FqG55NpQ83Z8ysf44Gqmjuykm2KzlyHC1fW_7wOZGzsxTq6is9_ZyGQsttPeV4w_QXHN3GGDdVWTztpP1WJ2W0t6wa0wwL7DkxShnZNMVOG2OYVzIj7Wv_yyu1vxVzhBubI9THoBZqYZEHs.Mrs7iu-uvBkQKk__u8Z-yLHTM7F0fB4wg2UEfSLk7rA&dib_tag=se&qid=1737661998&s=computers&sr=1-1226&xpid=aGsdZ06zmnQzo,24-01-2025 01:47,Dell,Dell India Pvt Ltd,Vostro,Carbon Black,Laptop,23 Millimeters,32.3 Centimeters,14 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,22 x 32.3 x 2.3 cm; 1.48 kg,1 Lithium Ion batteries required. (included),,Intel,Core i5,2.4 GHz,1,DDR4,16 GB,SSD,,Intel,Integrated,,Integrated,"Bluetooth, Wi-Fi",Windows 11,,Yes,,3,"User Manual, Laptop, Charger & Adapter",,1 kg 480 g,B0B468JYQQ,"3.6
80 ratings
3.6 out of 5 stars","#54,886 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,641 in Traditional Laptops",15-Jun-22,Dell India Pvt Ltd,Dell India Pvt Ltd,22 x 32.3 x 2.3 Centimeters,1 Count,Laptop,8 GB,,512 GB,,,8 GB,,,1,2,1,240 Volts,65 Watts,CD-ROM,,,Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
