title,price,url,scrape_date,tech_Manufacturer,tech_Country of Origin,tech_Item model number,tech_Package Dimensions,tech_ASIN,info_Manufacturer,info_Packer,info_Importer,info_Item Weight,info_Net Quantity,info_Included Components,info_Generic Name,tech_Brand,tech_Series,tech_Colour,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Product Dimensions,tech_Batteries,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_RAM Size,tech_Memory Technology,tech_Maximum Memory Supported,tech_Hard Disk Description,tech_Audio Details,tech_Graphics Coprocessor,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Ram Size,tech_Graphics Card Interface,tech_Connectivity Type,tech_Number of USB 3.0 Ports,tech_Voltage,tech_Operating System,tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Number of Lithium Ion Cells,tech_Included Components,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Item Dimensions LxWxH,tech_Resolution,tech_Computer Memory Type,tech_Optical Drive Type,tech_Memory Clock Speed,tech_Hard Drive Size,tech_Hard Drive Interface,tech_Wireless Type,tech_Average Battery Life (in hours),tech_Hard Disk Rotational Speed,tech_Number of HDMI Ports,tech_Power Source,tech_Hardware Platform,tech_Number of USB 2.0 Ports,tech_Notebook Display Technology,tech_Number of Ethernet Ports,tech_Speaker Description,tech_Wattage,tech_Average Battery Standby Life (in hours),tech_Lithium Battery Weight,tech_Number of Audio-out Ports,tech_Front Webcam Resolution,tech_Number of Lithium Metal Cells,tech_Rear Webcam Resolution
"MSI Thin 15, Intel Core i7-12650H, 40CM FHD 144Hz Gaming Laptop(16GB/1TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 2050,GDDR6 4GB /Cosmos Gray/1.86Kg), B12UCX-1693IN","62,990",https://www.amazon.in/MSI-i7-12650H-Windows-GeForce-B12UCX-1693IN/dp/B0CV8RGCPH/ref=sr_1_397?dib=eyJ2IjoiMSJ9.rghO41WcgWWjQoGX6TVpR3yXrr1osb81XE6Owlfk-wGWiL4g3oQt1GGIchW7gnIDNOouhHAYwPTivVWdv02Bo5S-g6xwj1PmimwrNygsOL5OvA8qd_RwaPiQ0rbJ9ImcYC9fMGNJnNNLkpiUU4iXp7tx2DqGSYPuzuRzO9E7jjClGyZhGCe70WqFb5ldPFAsh87ovgkzMyn0h9sXIt1t-NZxDnfpvSqjMa24JoUPmHna9sXo2eSrPMZXXp6zAgy25Yye4wR17ckomEr1Mt3SuCMoJOiT6ZpwnTa1fVfzczNAL8cKqA6keS5FUrD_uaEQ-8uyXjVisbCswbt5R23zXcgoifVJeH9JmHMjf7mRbAQ.qk-4rhCCCYHuif8A5D3jcVRW5qp1VrZoSnCvUc-v3VM&dib_tag=se&qid=1737614791&s=computers&sr=1-397&xpid=UXgihshJk2j2d,2025-01-23 12:29:57,MSI,China,,,,,"Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China","Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China",,1 Count,,Laptop,MSI,Thin 15,Cosmos Gray,Laptop,46.6 Centimeters,32.4 Centimeters,40 Centimetres,1920 x 1080 pixel,9.4 x 32.4 x 46.6 cm; 3.32 kg,1 Lithium Polymer batteries required. (included),Intel,Core i7,4.7,1,16,DDR4,64 GB,SSD,Headphones,NVIDIA GeForce RTX 2050,NVIDIA,Dedicated,GDDR6,4 GB,PCI Express,Wi-Fi,3,11.1 Volts,Windows 11 Home,Yes,52.4 Watt Hours,3,Laptop,3 kg 320 g,B0CV8RGCPH,"3.9
20 ratings
3.9 out of 5 stars","#23,067 in Computers & Accessories (See Top 100 in Computers & Accessories)
#655 in Traditional Laptops",9 February 2024,9.4 x 32.4 x 46.6 Centimeters,,,,,1 TB,,,,,,,,,,,,,,,,,,
"Lenovo V14 G3 (2024), Intel Core i5 12th Gen 1235U - (8GB/512GB SSD/Intel Integrated UHD Graphics/Windows 11 PRO) Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.57 kg/MS Office","35,930",https://www.amazon.in/Lenovo-V14-G3-Intel-1235U/dp/B0DGL4G9Q9/ref=sr_1_398?dib=eyJ2IjoiMSJ9.rghO41WcgWWjQoGX6TVpR3yXrr1osb81XE6Owlfk-wGWiL4g3oQt1GGIchW7gnIDNOouhHAYwPTivVWdv02Bo5S-g6xwj1PmimwrNygsOL5OvA8qd_RwaPiQ0rbJ9ImcYC9fMGNJnNNLkpiUU4iXp7tx2DqGSYPuzuRzO9E7jjClGyZhGCe70WqFb5ldPFAsh87ovgkzMyn0h9sXIt1t-NZxDnfpvSqjMa24JoUPmHna9sXo2eSrPMZXXp6zAgy25Yye4wR17ckomEr1Mt3SuCMoJOiT6ZpwnTa1fVfzczNAL8cKqA6keS5FUrD_uaEQ-8uyXjVisbCswbt5R23zXcgoifVJeH9JmHMjf7mRbAQ.qk-4rhCCCYHuif8A5D3jcVRW5qp1VrZoSnCvUc-v3VM&dib_tag=se&qid=1737614791&s=computers&sr=1-398&xpid=UXgihshJk2j2d,2025-01-23 12:29:57,V14 G3 IAP,,V14 G3 IAP,49 x 29.8 x 8 cm; 1.5 kg,,,LENOVO INDIA,LENOVO INDIA,,1 Count,,Business Laptop,Lenovo,V14 G3 IAP,Grey,laptop,,,14 Inches,1920 x 1080 pixels,,,Intel,Core i5-1235U,1.3 GHz,10,,DDR4,8 GB,SSD,Speakers,Intel Integrated UHD Graphics,Intel,Integrated,Shared,4 GB,Integrated,"Bluetooth, Wi-Fi",2,,Windows 11 Pro,,,,"LAPTOP, POWER ADAPTER, USER GUIDE",1 kg 500 g,B0DGL4G9Q9,"3.1
13 ratings
3.1 out of 5 stars","#21,507 in Computers & Accessories (See Top 100 in Computers & Accessories)
#605 in Traditional Laptops",10 September 2024,,1920 x 1080 Pixels,DDR4 SDRAM,,4.4 GHz,512 GB,Solid State,,6 Hours,7200 RPM,1,,,1,,1,,,,,,,,
"Thomson Intel Celeron Dual Core N4020 - (4 GB/128 GB SSD/Windows 11 Home) IN-N15V2C Thin and Light Laptop with Numeric Keyboard (15.6 inch, Silver, 1.56 kg)","13,990",https://www.amazon.in/Thomson-Intel-Celeron-N4020-N15V2C/dp/B0DHPC5QYF/ref=sr_1_409?dib=eyJ2IjoiMSJ9.E9EyZZkIcI1leKGffLbitG86Q6RZI8Gtd1ypjUHfKByDT22kOmt3aY1S0C6yrMLq9_5Kbu7V-fNd_gCsvZPlusVwno7LyBGXjPOlnN9XzAkd2oVQUy3-g54tGE4CHmH77qflMX7HotRYh8GoMZT78b8IPh4wS161-K7g7FDSrH7DYgA9h6yGs_bKbH9on73YwoWtNKjNiLTXaJhGg7bvdwvYdKLrDV7LpmXRN2HYyiDexnKHoTIvXPpre2KE5jrHzFRmP6v7wzzuaUJPPgLYt7CzICKDTdWWXKfMA2dObNCporRzaezUH7izPXEpmjzQ7in3N8o-qIBU3Svn4gLlcZK_ZKgPT3EsekHUGb6PoMQ.UrAz6mPGADmVizU2uneZqMdW5YDCnaarbjh-lwSc4l0&dib_tag=se&qid=1737615259&s=computers&sr=1-409&xpid=UXgihshJk2j2d,2025-01-23 12:29:57,Shenzhen Orango Technology Co. Ltd,China,IN-N15V2C,48.4 x 28.8 x 5.7 cm; 1.56 kg,,,"Shenzhen Orango Technology Co., Ltd. 5TH FLOOR, 6TH FLOOR, BUILDING B6, HENGSHANGINDUSTRIAL PARK, NO. 739, ZHOUSHI ROAD, HEZHOUCOMMUNITY, HANGCHENG STREET, BAOAN DISTRICT,SHENZHEN SHENZHEN ,China-518100","Shenzhen Orango Technology Co., Ltd. 5TH FLOOR, 6TH FLOOR, BUILDING B6, HENGSHANGINDUSTRIAL PARK, NO. 739, ZHOUSHI ROAD, HEZHOUCOMMUNITY, HANGCHENG STREET, BAOAN DISTRICT,SHENZHEN SHENZHEN ,China-518100",,1 Pack,,Laptop,THOMSON,"Thomson Intel Celeron Dual Core N4020 - (4 GB/128 GB SSD/Windows 11 Home) Thin and Light Laptop with Numeric Keyboard (15.6 inch, Silver, 1.56 kg)",Silver,Laptop,,,15.6 Inches,1920 x 1080 pixels,,1 Lithium Polymer batteries required. (included),Intel,Celeron,1.1 GHz,1,,LPDDR4,4 GB,SSD,Speakers,Intel UHD Graphics,Intel,Intel® UHD Graphics,VRAM,,Integrated,"Bluetooth, Wi-Fi",2,3.6 Volts,Windows 11,Yes,6000 Milliampere Hour (mAh),2,"1 Laptop with Battery, 1 Adaptor, 1 User Manual, 1 Warranty Card, 1 Sleeve",1 kg 560 g,B0DHPC5QYF,,"#13,289 in Computers & Accessories (See Top 100 in Computers & Accessories)
#401 in Traditional Laptops",21 September 2024,,1920 X 1080 (FHD) Pixels,DDR4 SDRAM,No Optical Drive,2400 MHz,128 GB,,,5 Hours,,1,,,,,,Dual speakers,,,,,1 MP,,
"MSI Modern 15 H AI, Intel 1st Gen. Ultra 7 155H,Built-in AI, 40CM Laptop(16GB/512GB NVMe SSD/Windows 11 Home/MOS 2021/Intel Arc/Classic Black/1.9Kg), C1MG-048IN","62,800",https://www.amazon.in/MSI-Modern-Windows-Classic-C1MG-048IN/dp/B0D3WH8NJL/ref=sr_1_410?dib=eyJ2IjoiMSJ9.E9EyZZkIcI1leKGffLbitG86Q6RZI8Gtd1ypjUHfKByDT22kOmt3aY1S0C6yrMLq9_5Kbu7V-fNd_gCsvZPlusVwno7LyBGXjPOlnN9XzAkd2oVQUy3-g54tGE4CHmH77qflMX7HotRYh8GoMZT78b8IPh4wS161-K7g7FDSrH7DYgA9h6yGs_bKbH9on73YwoWtNKjNiLTXaJhGg7bvdwvYdKLrDV7LpmXRN2HYyiDexnKHoTIvXPpre2KE5jrHzFRmP6v7wzzuaUJPPgLYt7CzICKDTdWWXKfMA2dObNCporRzaezUH7izPXEpmjzQ7in3N8o-qIBU3Svn4gLlcZK_ZKgPT3EsekHUGb6PoMQ.UrAz6mPGADmVizU2uneZqMdW5YDCnaarbjh-lwSc4l0&dib_tag=se&qid=1737615259&s=computers&sr=1-410&xpid=UXgihshJk2j2d,2025-01-23 12:29:57,MSI,,,,,,"Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China","Any one of the below: 1.Acro Engineering Company C-87 DDA Sheds, Okhla Industrial Area, Phase-1, New Delhi 110020, India 2.Redington (India) Limited “Redington House” Centre Point, Plot Nos. 8 & 11 (SP) Thiru. Vi. Ka, Industrial Estate, Chennai 600032, India 3.Ingram Micro India Private Limited 5th Floor, Empire Plaza, Building A, LBS Marg, Vikhroli West, Mumbai 400083, India 4.World Peace International (India) Private Limited Building No. 26, 2nd Floor, Okhla Phase III, New Delhi 110020, India",,1 Count,,Laptop,MSI,Modern 15 H AI,Classic Black,Laptop,47 Centimeters,31.4 Centimeters,40 Centimetres,1920 x 1080 pixel,7.9 x 31.4 x 47 cm; 3.04 kg,1 Lithium Polymer batteries required. (included),Intel,Core i7,1.4 GHz,1,16,DDR5,32 GB,SSD,Headphones,Intel Arc,Intel,Integrated,Shared,,Integrated,Wi-Fi,3,12 Volts,Windows 11 Home,Yes,53.8 Watt Hours,3,Laptop,3 kg 40 g,B0D3WH8NJL,"4.0
1 rating
4.0 out of 5 stars","#15,179 in Computers & Accessories (See Top 100 in Computers & Accessories)
#446 in Traditional Laptops",10 May 2024,7.9 x 31.4 x 47 Centimeters,,,,5600 MHz,,,,,,,,,,,,,,,,,,,
"Dell Inspiron 15 3520 Laptop – 15.6 inch FHD (39.62cm) Display, 12th Gen Intel Core i3-1215U Processor, 8 GB RAM, 512 GB SSD, Black, 1.65Kg, Lightweight and Portable","34,990",https://www.amazon.in/Dell-Inspiron-3520-Processor-Antivirus/dp/B0CJK11TQH/ref=sr_1_411?dib=eyJ2IjoiMSJ9.E9EyZZkIcI1leKGffLbitG86Q6RZI8Gtd1ypjUHfKByDT22kOmt3aY1S0C6yrMLq9_5Kbu7V-fNd_gCsvZPlusVwno7LyBGXjPOlnN9XzAkd2oVQUy3-g54tGE4CHmH77qflMX7HotRYh8GoMZT78b8IPh4wS161-K7g7FDSrH7DYgA9h6yGs_bKbH9on73YwoWtNKjNiLTXaJhGg7bvdwvYdKLrDV7LpmXRN2HYyiDexnKHoTIvXPpre2KE5jrHzFRmP6v7wzzuaUJPPgLYt7CzICKDTdWWXKfMA2dObNCporRzaezUH7izPXEpmjzQ7in3N8o-qIBU3Svn4gLlcZK_ZKgPT3EsekHUGb6PoMQ.UrAz6mPGADmVizU2uneZqMdW5YDCnaarbjh-lwSc4l0&dib_tag=se&qid=1737615259&s=computers&sr=1-411&xpid=UXgihshJk2j2d,2025-01-23 12:29:57,Dell India Pvt Ltd,China,Inspiron 3520,49.5 x 33.2 x 7.5 cm; 1.65 kg,,,Dell India Pvt Ltd,Dell India Pvt Ltd,,1 Count,,Laptop,Dell,Inspiron,Black,Laptop,,,15.6 Inches,1920 x 1080 pixel,,1 Lithium Ion batteries required. (included),Intel,Core i3,4.4,1,8 GB,DDR4,16 GB,SSD,,,Intel,Integrated,Shared,,Integrated,Wi-Fi,4,11.1 Volts,Windows 11 Home,Yes,41 Watt Hours,3,"User Manual, Laptop, Charger & Adapter",1 kg 650 g,B0CJK11TQH,"3.5
19 ratings
3.5 out of 5 stars","#10,721 in Computers & Accessories (See Top 100 in Computers & Accessories)
#321 in Traditional Laptops",21 September 2023,,,,,2666 MHz,512 GB,,,,,,,,,,,,65 Watts,,,,,,
"Lenovo IdeaPad 1 Intel Core Celeron N4020 14"" HD Thin and Light Laptop (8 GB/256GB SDD/Windows 11 Home/1Yr ADP Free/Cloud Grey/1.3Kg), 82V6005EIN","24,990",https://www.amazon.in/Lenovo-IdeaPad-Celeron-Warranty-82V6005EIN/dp/B0CCS3F5LX/ref=sr_1_412?dib=eyJ2IjoiMSJ9.E9EyZZkIcI1leKGffLbitG86Q6RZI8Gtd1ypjUHfKByDT22kOmt3aY1S0C6yrMLq9_5Kbu7V-fNd_gCsvZPlusVwno7LyBGXjPOlnN9XzAkd2oVQUy3-g54tGE4CHmH77qflMX7HotRYh8GoMZT78b8IPh4wS161-K7g7FDSrH7DYgA9h6yGs_bKbH9on73YwoWtNKjNiLTXaJhGg7bvdwvYdKLrDV7LpmXRN2HYyiDexnKHoTIvXPpre2KE5jrHzFRmP6v7wzzuaUJPPgLYt7CzICKDTdWWXKfMA2dObNCporRzaezUH7izPXEpmjzQ7in3N8o-qIBU3Svn4gLlcZK_ZKgPT3EsekHUGb6PoMQ.UrAz6mPGADmVizU2uneZqMdW5YDCnaarbjh-lwSc4l0&dib_tag=se&qid=1737615259&s=computers&sr=1-412&xpid=UXgihshJk2j2d,2025-01-23 12:29:57,Lenovo,,14IGL7,,,,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",,1 Piece,,Laptop,Lenovo,IdeaPad 1 14IGL7,Cloud Grey,Ultra-Portable,48.5 Centimeters,29.7 Centimeters,14 Inches,1366 x 768,7.2 x 29.7 x 48.5 cm; 1.3 kg,1 Lithium Polymer batteries required. (included),Intel,Celeron N4020,1.1 GHz,2,8 GB,DDR4,8 GB,SSD,"Headphones, Speakers",Intel UHD Graphics 600,Intel,Integrated,Shared,4 GB,Integrated,"Bluetooth, Wi-Fi",2,3.6 Volts,Windows 11 Home,Yes,42 Watt Hours,3,"Laptop, User Manual, Power Adapter",1 kg 300 g,B0CCS3F5LX,"3.8
18 ratings
3.8 out of 5 stars","#15,531 in Computers & Accessories (See Top 100 in Computers & Accessories)
#451 in Traditional Laptops",25 July 2023,7.2 x 29.7 x 48.5 Centimeters,1366 x 768 Pixels,DDR4 SDRAM,No Optical Drive,2400 MHz,256 GB,PCIE x 4,Bluetooth,10 Hours,5400 RPM,,Battery Powered,Windows,1,,,"Stereo speakers, 1.5W x2, Dolby Audio",,,,,,,
"Lenovo ThinkPad E14 AMD Ryzen 5 7530U 14"" (35.56 cm) WUXGA IPS 300 Nits Thin and Light Laptop (16GB RAM/1TB SSD/Windows 11 Home/AMD Radeon Graphics/Backlit Keyboard/FPR/Black/1.41 kg), 21JRS0H200","56,400",https://www.amazon.in/Lenovo-ThinkPad-Graphics-Keyboard-21JRS0H200/dp/B0DDY2FYCK/ref=sr_1_413?dib=eyJ2IjoiMSJ9.E9EyZZkIcI1leKGffLbitG86Q6RZI8Gtd1ypjUHfKByDT22kOmt3aY1S0C6yrMLq9_5Kbu7V-fNd_gCsvZPlusVwno7LyBGXjPOlnN9XzAkd2oVQUy3-g54tGE4CHmH77qflMX7HotRYh8GoMZT78b8IPh4wS161-K7g7FDSrH7DYgA9h6yGs_bKbH9on73YwoWtNKjNiLTXaJhGg7bvdwvYdKLrDV7LpmXRN2HYyiDexnKHoTIvXPpre2KE5jrHzFRmP6v7wzzuaUJPPgLYt7CzICKDTdWWXKfMA2dObNCporRzaezUH7izPXEpmjzQ7in3N8o-qIBU3Svn4gLlcZK_ZKgPT3EsekHUGb6PoMQ.UrAz6mPGADmVizU2uneZqMdW5YDCnaarbjh-lwSc4l0&dib_tag=se&qid=1737615259&s=computers&sr=1-413&xpid=UXgihshJk2j2d,2025-01-23 12:29:57,Lenovo,,,44.7 x 30.5 x 7.9 cm; 1.41 kg,,,"LCFC (HeFei) Electronics Technology Co., Ltd. No.3188-1, Yungu Road, Economics and Technology Development District, Hefei, Anhui-230601, China","Lenovo India Pvt Ltd, RBD Icon, 2nd Floor, Doddenekundi Marathaalli Outer Ring Road Bangalore, India 560037",,1 Case,,Laptop,Lenovo,E14 Gen 5,Black,Laptop,,,14 Inches,,,1 Lithium Polymer batteries required. (included),AMD,Ryzen 5,2 GHz,1,16,DDR4,40 GB,SSD,"Headphones, Speakers",AMD Radeon Graphics,AMD,Integrated,Shared,,Integrated,Wi-Fi,,,Windows 11 Home,Yes,47 Watt Hours,3,"Laptop, User manual, Adapter",1 kg 410 g,B0DDY2FYCK,"2.5
2 ratings
2.5 out of 5 stars","#17,325 in Computers & Accessories (See Top 100 in Computers & Accessories)
#487 in Traditional Laptops",22 August 2024,,,,No Optical Drive,,,,,,,,,,,,,,,,,,,,
"Dell Inspiron 14 7440 2-in-1 Laptop - 14 inch Touch FHD+ (35.56cm) Display, Intel Core i5-1334U, 16 GB RAM, 512 GB SSD, Ice Blue, 1.71Kg, Ideal for Students, Perfect for Learning and Productivity","70,490",https://www.amazon.in/Dell-Inspiron-7440-Laptop-Productivity/dp/B0DGLDHHY9/ref=sr_1_414?dib=eyJ2IjoiMSJ9.E9EyZZkIcI1leKGffLbitG86Q6RZI8Gtd1ypjUHfKByDT22kOmt3aY1S0C6yrMLq9_5Kbu7V-fNd_gCsvZPlusVwno7LyBGXjPOlnN9XzAkd2oVQUy3-g54tGE4CHmH77qflMX7HotRYh8GoMZT78b8IPh4wS161-K7g7FDSrH7DYgA9h6yGs_bKbH9on73YwoWtNKjNiLTXaJhGg7bvdwvYdKLrDV7LpmXRN2HYyiDexnKHoTIvXPpre2KE5jrHzFRmP6v7wzzuaUJPPgLYt7CzICKDTdWWXKfMA2dObNCporRzaezUH7izPXEpmjzQ7in3N8o-qIBU3Svn4gLlcZK_ZKgPT3EsekHUGb6PoMQ.UrAz6mPGADmVizU2uneZqMdW5YDCnaarbjh-lwSc4l0&dib_tag=se&qid=1737615259&s=computers&sr=1-414&xpid=UXgihshJk2j2d,2025-01-23 12:29:57,Dell,China,,42.2 x 35.6 x 6.9 cm; 1.71 kg,,,Dell India Pvt. Ltd.,Dell India Pvt. Ltd.,,1 Piece,,Laptop,Dell,Inspiron,Ice Blue,Laptop,,,14 Inches,1920 x 1080 pixel,,1 Lithium Ion batteries required. (included),Intel,Core i5,4.6,1,16,DDR5,16 GB,SSD,,Intel® Graphics,Intel,Integrated,DDR4 SDRAM,,Integrated,Bluetooth,3,240 Volts,Windows 11 Home,Yes,,4,Laptop | Power Cable | Active Pen | User Manual,1 kg 710 g,B0DGLDHHY9,"3.8
4 ratings
3.8 out of 5 stars","#20,908 in Computers & Accessories (See Top 100 in Computers & Accessories)
#15 in 2 in 1 Laptops",10 September 2024,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) Dell Precision 5530 Intel Core i7 - 8850H Hexa Core Processor 8th Gen, 64 GB Ram & 1TB SSD, 15.6 Inches FHD Screen with Nvidia Quadro P1000 (4GB Graphic Card) Ultrathin Laptop","54,999",https://www.amazon.in/Refurbished-Dell-Precision-5530-Intel/dp/B0C6KRG33D/ref=sr_1_415?dib=eyJ2IjoiMSJ9.E9EyZZkIcI1leKGffLbitG86Q6RZI8Gtd1ypjUHfKByDT22kOmt3aY1S0C6yrMLq9_5Kbu7V-fNd_gCsvZPlusVwno7LyBGXjPOlnN9XzAkd2oVQUy3-g54tGE4CHmH77qflMX7HotRYh8GoMZT78b8IPh4wS161-K7g7FDSrH7DYgA9h6yGs_bKbH9on73YwoWtNKjNiLTXaJhGg7bvdwvYdKLrDV7LpmXRN2HYyiDexnKHoTIvXPpre2KE5jrHzFRmP6v7wzzuaUJPPgLYt7CzICKDTdWWXKfMA2dObNCporRzaezUH7izPXEpmjzQ7in3N8o-qIBU3Svn4gLlcZK_ZKgPT3EsekHUGb6PoMQ.UrAz6mPGADmVizU2uneZqMdW5YDCnaarbjh-lwSc4l0&dib_tag=se&qid=1737615259&s=computers&sr=1-415&xpid=UXgihshJk2j2d,2025-01-23 12:29:57,Dell,,5530-i7-64-1TB-cr,,,,,,,1.00 count,,laptop,Dell,Precesion5530,black,Laptop,1.5 Centimeters,23.5 Centimeters,15.6 Inches,1920 x 1080 pixels,36 x 23.5 x 1.5 cm; 2 kg,,Intel,Core i7 8750H,2.6 GHz,1,64 GB,DDR4,64 GB,SSD,Headphones,Intel UHD Graphics 630,NVIDIA,Dedicated,DDR SDRAM,4 GB,Integrated,Wi-Fi,2,,Windows 10 Pro,No,,,"Adaptor, Laptop, power Cable",2 kg,B0C6KRG33D,"4.6
8 ratings
4.6 out of 5 stars","#19,565 in Computers & Accessories (See Top 100 in Computers & Accessories)
#21 in Sankranti / Pongal Store
#47 in 4 star rated refurbished products
#549 in Traditional Laptops",29 May 2023,36 x 23.5 x 1.5 Centimeters,Full HD (1920 X 1080) Pixels,,No Optical Drive,,1 TB,,,,5400 RPM,,Battery Powered,Windows,2,,,,,,,,,,
"Apple 2024 MacBook Pro Laptop with M4 chip with 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, (14.2″) Liquid Retina XDR Display, 14GB Unified Memory, 1TB SSD Storage; Space Black","2,01,990",https://www.amazon.in/Apple-2024-MacBook-Laptop-10%E2%80%91core/dp/B0DLJ82ZMT/ref=sr_1_416?dib=eyJ2IjoiMSJ9.E9EyZZkIcI1leKGffLbitG86Q6RZI8Gtd1ypjUHfKByDT22kOmt3aY1S0C6yrMLq9_5Kbu7V-fNd_gCsvZPlusVwno7LyBGXjPOlnN9XzAkd2oVQUy3-g54tGE4CHmH77qflMX7HotRYh8GoMZT78b8IPh4wS161-K7g7FDSrH7DYgA9h6yGs_bKbH9on73YwoWtNKjNiLTXaJhGg7bvdwvYdKLrDV7LpmXRN2HYyiDexnKHoTIvXPpre2KE5jrHzFRmP6v7wzzuaUJPPgLYt7CzICKDTdWWXKfMA2dObNCporRzaezUH7izPXEpmjzQ7in3N8o-qIBU3Svn4gLlcZK_ZKgPT3EsekHUGb6PoMQ.UrAz6mPGADmVizU2uneZqMdW5YDCnaarbjh-lwSc4l0&dib_tag=se&qid=1737615259&s=computers&sr=1-416&xpid=UXgihshJk2j2d,2025-01-23 12:29:57,Apple,China,MCX04HN/A,40.2 x 30.5 x 9.6 cm; 1.55 kg,B0DLJ82ZMT,"Apple, Apple Inc, One Apple Park Way, Cupertino, CA 95014, USA. or Apple India Private Limited 13th Floor, Prestige Minsk Square, Municipal No. 6, Cubbon Road, Bengaluru, Karnataka - 560001, India",Not Applicable for Apple (Always),"(If applicable) Apple India Private Limited 13th Floor, Prestige Minsk Square, Municipal No. 6, Cubbon Road, Bengaluru, Karnataka - 560001, India",1 kg 550 g,1 Count,"USB-C Power Adapter, USB-C to MagSafe 3 Cable (2m) 1N, 14-inch MacBook Pro 1N","14-inch MacBook Pro (M4, 2024)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
