title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Standing screen display size,tech_Screen Resolution,tech_Resolution,tech_Package Dimensions,tech_Batteries,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_Memory Technology,tech_Maximum Memory Supported,tech_Hard Disk Description,tech_Hard Drive Interface,tech_Audio Details,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Interface,tech_Connectivity Type,tech_Operating System,tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Lithium Battery Weight,tech_Number of Lithium Ion Cells,tech_Number of Lithium Metal Cells,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Best Sellers Rank,info_Date First Available,info_Packer,info_Importer,info_Net Quantity,info_Generic Name,tech_Item Height,tech_Item Width,tech_Product Dimensions,tech_Hard Drive Size,tech_Optical Drive Type,info_Customer Reviews,info_Item Dimensions LxWxH,tech_RAM Size,tech_Computer Memory Type,tech_Memory Clock Speed,tech_Speaker Description,tech_Graphics Coprocessor,tech_Graphics Card Ram Size,tech_Wireless Type,tech_Number of USB 3.0 Ports,tech_Voltage,tech_Average Battery Life (in hours),tech_Front Webcam Resolution,tech_Power Source,tech_Number of USB 2.0 Ports,tech_Number of HDMI Ports,tech_Number of Ethernet Ports,tech_Model,tech_Model Name,tech_Model Year,tech_Memory Storage Capacity,tech_Memory Slots Available,tech_Flash Memory Installed Size,tech_Ram Memory Installed Size,tech_RAM memory maximum size,tech_Ram Memory Technology,tech_Processor model number,tech_Hardware Platform,tech_Hardware Interface,tech_Special Features,tech_Chipset Type,tech_Mounting Hardware,tech_Number of items,tech_Software included,tech_Display Technology,tech_Display Type,tech_Audio Output Type,tech_Wattage,tech_Battery Average Life,tech_Batteries Included,tech_Batteries Required,tech_Battery cell composition,tech_Refresh Rate,tech_Total USB ports,tech_Keyboard Description,tech_Connector Type,tech_Device type,tech_ASIN,info_Manufacturer,info_Item Weight,info_Included Components,tech_Hard Disk Rotational Speed,tech_Average Battery Standby Life (in hours)
"Dell Inspiron 5440 Laptop, i5-1334U Processor, 16GB DDR5 + 1TB SSD, 14"" FHD+AG NonTouch 250nits WVA Display w/Comfortview Support, Backlit KB + FPR, Win11 + MSO'21 + 15 Month McAfee, Ice Blue, 1.54kg","67,985",https://www.amazon.in/Dell-Inspiron-i5-1334U-Processor-Comfortview/dp/B0DN6DBL7Z/ref=sr_1_301?dib=eyJ2IjoiMSJ9.sAOuAqUrfSUVmP18D4MZTo7cejWB9Sed5-tPwn9y8nGGcbiksYSKzBluKBDFfu8cwa7sX1CAwRAYParFFvp2xye3ef4zyFohLw-pEiIKTW2S4F0G3qsbGvK9DIzXmoHNYIuk5T5w-FfRCdP23a3g7XmL7IWaRef1NuY4cQnesezpus9j9kmLIecjPoPpIEtVAQD_XiPmMj9umxxtYgwpMZVWnyl1HHolU57zBFHjKAEoZ49Wvw3OxZzmrqfhjHDWyhlP_0MmHTzALsMhd-9pcgYncaLEvAChSPugUPVWobgfFC6WMm83QxzqKV6-ExpurAt65ZFjGR4zFbjSJwLG5mHKQGijdim8V81aBwJBu8c.uaTSEG-9rcO3bFE4ko6VDJzl9a8z_a2DtrZz1GjjovU&dib_tag=se&qid=1737562564&s=computers&sr=1-301&xpid=TXeoTC7BKWJe3,2025-01-22 22:03:09,Dell,Dell,Inspiron,"Ice Blue, i5-1334U, 16GB + 1TB",Clamshell,14 Inches,1920 x 1080 pixels,1920 x 1080,42.2 x 35.4 x 6.9 cm; 2 g,1 12V batteries required. (included),i5-1334U,Intel,Core i5,4.6 GHz,1,DDR5,16 GB,SSD,,"internal, headphone jack",Intel,Integrated,DDR5 SDRAM,Integrated,,Windows 11 Home,Yes,,,3,,Laptop | Power Adapter |User Manual,,2 g,B0DN6DBL7Z,"#4,764 in Computers & Accessories (See Top 100 in Computers & Accessories)
#149 in Traditional Laptops",15 November 2024,Dell India Pvt. Ltd.,Dell India Pvt. Ltd.,1 Piece,Laptop,,,,1 TB,,"3.5
10 ratings
3.5 out of 5 stars",,,DDR5 RAM,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP 15 AI Laptop, Intel Core Ultra 5 125H, 12 Tops, 16GB DDR5, 512GB SSD (Win11, Office 21, Silver, 1.65kg) IPS, 15.6-inch(39.6cm), 300 nits, FHD, Intel Arc Graphics, Backlit KB, FHD Camera, fd1099TU","74,000",https://www.amazon.in/HP-Windows-Office21-Keyboard-fd1099TU/dp/B0D262YX9D/ref=sr_1_302?dib=eyJ2IjoiMSJ9.sAOuAqUrfSUVmP18D4MZTo7cejWB9Sed5-tPwn9y8nGGcbiksYSKzBluKBDFfu8cwa7sX1CAwRAYParFFvp2xye3ef4zyFohLw-pEiIKTW2S4F0G3qsbGvK9DIzXmoHNYIuk5T5w-FfRCdP23a3g7XmL7IWaRef1NuY4cQnesezpus9j9kmLIecjPoPpIEtVAQD_XiPmMj9umxxtYgwpMZVWnyl1HHolU57zBFHjKAEoZ49Wvw3OxZzmrqfhjHDWyhlP_0MmHTzALsMhd-9pcgYncaLEvAChSPugUPVWobgfFC6WMm83QxzqKV6-ExpurAt65ZFjGR4zFbjSJwLG5mHKQGijdim8V81aBwJBu8c.uaTSEG-9rcO3bFE4ko6VDJzl9a8z_a2DtrZz1GjjovU&dib_tag=se&qid=1737562564&s=computers&sr=1-302&xpid=TXeoTC7BKWJe3,2025-01-22 22:03:09,HP,HP,HP Laptop,Core Ultra 5 + 16GB,Laptop,39.6 Centimetres,1920 x 1080 pixel,,,1 Lithium Polymer batteries required. (included),15-fd1099TU,Intel,Intel Core i5,4.5 GHz,1,DDR5,16 GB,SSD,USB,Headphones,Intel,Integrated,DDR5 SDRAM,Integrated,"Bluetooth, Wi-Fi",Windows 11 Home,Yes,41 Watt Hours,,3,,"Laptop, Power Adapter, User Manual",,2 kg 480 g,B0D262YX9D,"#16,020 in Computers & Accessories (See Top 100 in Computers & Accessories)
#461 in Traditional Laptops",19 April 2024,"SG66 – QUANTA CQ,Tech-Front (CHongqing) computer CO.,LTD,18#, comprehensive bonded zone avenue, Shapingba District 401332 Chongqing China","HP India Sales pvt limited, 24 kothari Arena, Hosur main road, Adugodi , Bangalore -560030.",1 Count,Laptop,52.2 Centimeters,31.6 Centimeters,6.9 x 31.6 x 52.2 cm; 2.48 kg,512 GB,,"3.1
11 ratings
3.1 out of 5 stars",6.9 x 31.6 x 52.2 Centimeters,16 GB,,,,,,,,41 Volts,6 Hours,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP 15 Pavilion AMD Ryzen 5 7530U, 15.6-inch FHD, 8GB DDR4, 512GB SSD, AMD Radeon Graphics, 720p HD Camera, Backlit KB, Audio by B&O (Win 11 Home, MSO 2021, Silver, 1.75 kg), eh3036AU / EH2050AU","44,490",https://www.amazon.in/HP-Pavilion-Graphics-Backlit-15-eh2050au/dp/B0CFLMMWY2/ref=sr_1_313?dib=eyJ2IjoiMSJ9.umxf-QhliDbEv0kB_xcAdO3kz2KCQ-8nEapYzX3M22VNyu8a8rGw-kjf9CoMFHNdumz9aUSEky8ZzPS8w9WfPZrHYxLWK66jAmF5fUsfvrVKMAm3iDaosJGkIrWMmnPWcpVeBynbWPyj0HQfIYuMDmddUNMeZkNChFIbXEWz8P8SKKXWY3yhpkoGsNIrX2mZj50vWnsSBqDx6mSEr-YTTTSE88dCX61g5MngvAKri69vMpeF5C5m5dgr02Q6PRBsWN2j57ArBzVC2Y6mY1w0qLzK_1ieiZhKBG1DzfFqgr2B3kiTxncezrckIHv8IiRnEG7uFbrq54ZfT99JIRCwPA4i4qhIIBqBq0Y6lq_YJAQ.wU1d8u-PnWL2kyUdyYEZf-YbtDoLP4prCQDO9F4xJ6U&dib_tag=se&qid=1737563037&s=computers&sr=1-313&xpid=TXeoTC7BKWJe3,2025-01-22 22:03:09,HP,HP,HP Pavilion Laptop,Silver,Netbook,39.6 Centimetres,1920 x 1080 pixels,1920 x 1080 Pixels,,1 Lithium Ion batteries required. (included),15-eh2050au/eh3036au,AMD,Ryzen 5,4.3 GHz,1,DDR4,16 GB,SSD,NVMe,"Headphones, Speakers",AMD,Integrated,VRAM,PCI Express,Wi-Fi,Windows 11 Home,Yes,41 Watt Hours,,3,,"Laptop, Power Adapter, User Manual",,1 kg 700 g,B0CFLMMWY2,"#16,523 in Computers & Accessories (See Top 100 in Computers & Accessories)
#478 in Traditional Laptops",14 August 2023,"SG66 – QUANTA CQ Tech-Front (CHongqing) computer CO.,LTD 18#, comprehensive bonded zone avenue, Shapingba District 401332 Chongqing China","HP India Sales pvt limited, 24 kothari Arena, Hosur main road, Adugodi , Bangalore -560030.",1 Count,Laptop,51.9 Centimeters,6.9 Centimeters,51.9 x 6.9 x 51.9 cm; 1.7 kg,512 GB,No optical drive,"4.2
269 ratings
4.2 out of 5 stars",51.9 x 6.9 x 51.9 Centimeters,8 GB,DDR4 SDRAM,3200 GHz,Audio by Bang & Olufsen; Dual speakers,AMD Radeon Graphics,,802.11a/b/g/n,2,,4 Hours,,,,2,,,,,,,,,,,,PC,,,,,,,,,,65 Watts,,,,,,,,,,,,,,7200 RPM,
"Samsung Galaxy Book4 (Gray, 16GB RAM, 512GB SSD) | 15.6"" Full HD Screen | Intel Core i7 1355U Processor | Windows 11 Home | MS Office 2021 | Fingerprint Reader | Intel Iris XE Graphics | RJ45 LAN Port","67,990",https://www.amazon.in/Samsung-Processor-Windows-Fingerprint-Graphics/dp/B0D13Z7LBF/ref=sr_1_314?dib=eyJ2IjoiMSJ9.umxf-QhliDbEv0kB_xcAdO3kz2KCQ-8nEapYzX3M22VNyu8a8rGw-kjf9CoMFHNdumz9aUSEky8ZzPS8w9WfPZrHYxLWK66jAmF5fUsfvrVKMAm3iDaosJGkIrWMmnPWcpVeBynbWPyj0HQfIYuMDmddUNMeZkNChFIbXEWz8P8SKKXWY3yhpkoGsNIrX2mZj50vWnsSBqDx6mSEr-YTTTSE88dCX61g5MngvAKri69vMpeF5C5m5dgr02Q6PRBsWN2j57ArBzVC2Y6mY1w0qLzK_1ieiZhKBG1DzfFqgr2B3kiTxncezrckIHv8IiRnEG7uFbrq54ZfT99JIRCwPA4i4qhIIBqBq0Y6lq_YJAQ.wU1d8u-PnWL2kyUdyYEZf-YbtDoLP4prCQDO9F4xJ6U&dib_tag=se&qid=1737563037&s=computers&sr=1-314&xpid=TXeoTC7BKWJe3,2025-01-22 22:03:09,Samsung,Samsung,Samsung Galaxy Book4,Gray,,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,,1 Lithium Ion batteries required. (included),NP750XGJ-KG3IN,Intel,Intel Core i7,1.7 GHz,1,LPDDR4X,16 GB,SSD,Solid State,"Headphones, Speakers",Intel,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",Windows 11 Home,Yes,54 Watt Hours,220 Grams,4,,"Notebook,45W Charger,Data Cable(USB-C to C, 1.8m),Quick Start Guide,,",China,1 kg 550 g,B0D13Z7LBF,"#7,282 in Computers & Accessories (See Top 100 in Computers & Accessories)
#244 in Traditional Laptops",8 April 2024,"Samsung India Electronics Pvt. Ltd. having its Registered Office at: 6th Floor, DLF Centre, Sansad Marg, New Delhi-110001","Samsung India Electronics Pvt. Ltd. having its Registered Office at: 6th Floor, DLF Centre, Sansad Marg, New Delhi-110001",1 Count,Laptops,50 Centimeters,29.7 Centimeters,6.7 x 29.7 x 50 cm; 1.55 kg,512 GB,,"4.6
3 ratings
4.6 out of 5 stars",6.7 x 29.7 x 50 Centimeters,16 GB,DDR4 SDRAM,5 GHz,Dolby Atmos,Intel Iris Xe Graphics,,"Bluetooth, 802.11ax",2,15.4 Volts,,1 MP,,,1,,,,,,,,,,,,,,,,,,,,,,45 Watts,,,,,,,,,,,,,,,
"MSI Modern 14 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-445IN / Modern 14 C12MO-1022IN Thin and Light Laptop (14 Inch, Urban Silver, 1.4 Kg)","29,200",https://www.amazon.in/MSI-Modern-Intel-Core-1215U/dp/B0DGXKDNFS/ref=sr_1_315?dib=eyJ2IjoiMSJ9.umxf-QhliDbEv0kB_xcAdO3kz2KCQ-8nEapYzX3M22VNyu8a8rGw-kjf9CoMFHNdumz9aUSEky8ZzPS8w9WfPZrHYxLWK66jAmF5fUsfvrVKMAm3iDaosJGkIrWMmnPWcpVeBynbWPyj0HQfIYuMDmddUNMeZkNChFIbXEWz8P8SKKXWY3yhpkoGsNIrX2mZj50vWnsSBqDx6mSEr-YTTTSE88dCX61g5MngvAKri69vMpeF5C5m5dgr02Q6PRBsWN2j57ArBzVC2Y6mY1w0qLzK_1ieiZhKBG1DzfFqgr2B3kiTxncezrckIHv8IiRnEG7uFbrq54ZfT99JIRCwPA4i4qhIIBqBq0Y6lq_YJAQ.wU1d8u-PnWL2kyUdyYEZf-YbtDoLP4prCQDO9F4xJ6U&dib_tag=se&qid=1737563037&s=computers&sr=1-315&xpid=TXeoTC7BKWJe3,2025-01-22 22:03:09,MSI,"MSI, MICRO-STAR INTERNATIONAL CO., LTDNo.88, East Qianjin Road Kunshan City Jiangsu China",Modern 14 C12MO-1022IN,Silver,Clamshell,14 Inches,1920 x 1080 pixels,1920x1080,43.2 x 28.4 x 8 cm; 1.4 kg,1 12V batteries required. (included),C12MO-1022IN,Intel,Core i3,1.2 GHz,1,DDR4,16 GB,SSD,,,Intel,Integrated,Shared,Integrated,,Windows 11,Yes,2.5 Watt Hours,,1,,"Laptop, Power Adapter, Battery",,1 kg 400 g,B0DGXKDNFS,"#16,289 in Computers & Accessories (See Top 100 in Computers & Accessories)
#467 in Traditional Laptops",13 September 2024,"Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China","Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China",,Laptop,,,,512 GB,,,,,DDR4 SDRAM,,,,,802.11ax,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) Lenovo ThinkPad 4th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/256 GB SSD/12.5"" (31.7 cm)/Windows 10/MS Office/WiFi/Bluetooth 4.0/Webcam/Integrated Graphics)","12,450",https://www.amazon.in/Lenovo-ThinkPad-Bluetooth-Integrated-Graphics/dp/B0BGHV61RX/ref=sr_1_316?dib=eyJ2IjoiMSJ9.umxf-QhliDbEv0kB_xcAdO3kz2KCQ-8nEapYzX3M22VNyu8a8rGw-kjf9CoMFHNdumz9aUSEky8ZzPS8w9WfPZrHYxLWK66jAmF5fUsfvrVKMAm3iDaosJGkIrWMmnPWcpVeBynbWPyj0HQfIYuMDmddUNMeZkNChFIbXEWz8P8SKKXWY3yhpkoGsNIrX2mZj50vWnsSBqDx6mSEr-YTTTSE88dCX61g5MngvAKri69vMpeF5C5m5dgr02Q6PRBsWN2j57ArBzVC2Y6mY1w0qLzK_1ieiZhKBG1DzfFqgr2B3kiTxncezrckIHv8IiRnEG7uFbrq54ZfT99JIRCwPA4i4qhIIBqBq0Y6lq_YJAQ.wU1d8u-PnWL2kyUdyYEZf-YbtDoLP4prCQDO9F4xJ6U&dib_tag=se&qid=1737563037&s=computers&sr=1-316&xpid=TXeoTC7BKWJe3,2025-01-22 22:03:09,Lenovo,Lenovo,Lenovo ThinkPad-cr,black,Laptop,12.5 Inches,1366 x 768,,48.9 x 44 x 6.7 cm; 2.06 kg,1 Lithium Ion batteries required. (included),Lenovo-X240-i5-8-256-cr,Intel,Core i5 Family,1.9 GHz,1,DDR3,8 GB,SSD,,Headphones,Intel,Integrated,DDR3 SDRAM,Integrated,"Bluetooth, Wi-Fi",Windows 10,Yes,54 Watt Hours,50 Grams,3,,"Laptop, Charger",India,2 kg 60 g,B0BGHV61RX,"#13,192 in Computers & Accessories (See Top 100 in Computers & Accessories)
#76 in Valentine's Day (Amazon Renewed)
#404 in Traditional Laptops",26 September 2022,,,1.00 count,lenovo thinkpad,,,,256 GB,No Optical Device,"2.9
27 ratings
2.9 out of 5 stars",,8 GB,,,,HD Graphics 4400,,,2,,6 Hours,,ac,,,,,,,,,,,,,,Windows,,,,,,,,,,,,,,,,,,,,,,,,5400 RPM,
"ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ549WS Thin and Light Laptop (15.6 Inch, Quiet Blue, 1.70 kg, with MS Office)","44,700",https://www.amazon.in/ASUS-Vivobook-Intel-Core-1235U/dp/B0DGQT3843/ref=sr_1_317?dib=eyJ2IjoiMSJ9.umxf-QhliDbEv0kB_xcAdO3kz2KCQ-8nEapYzX3M22VNyu8a8rGw-kjf9CoMFHNdumz9aUSEky8ZzPS8w9WfPZrHYxLWK66jAmF5fUsfvrVKMAm3iDaosJGkIrWMmnPWcpVeBynbWPyj0HQfIYuMDmddUNMeZkNChFIbXEWz8P8SKKXWY3yhpkoGsNIrX2mZj50vWnsSBqDx6mSEr-YTTTSE88dCX61g5MngvAKri69vMpeF5C5m5dgr02Q6PRBsWN2j57ArBzVC2Y6mY1w0qLzK_1ieiZhKBG1DzfFqgr2B3kiTxncezrckIHv8IiRnEG7uFbrq54ZfT99JIRCwPA4i4qhIIBqBq0Y6lq_YJAQ.wU1d8u-PnWL2kyUdyYEZf-YbtDoLP4prCQDO9F4xJ6U&dib_tag=se&qid=1737563037&s=computers&sr=1-317&xpid=TXeoTC7BKWJe3,2025-01-22 22:03:09,ASUS,ASUS,X1504ZA-NJ549WS,Quiet Blue,Notebook,15.6 Inches,1366 x 768 pixel,1920 x 1080 Pixels,48.2 x 28.9 x 6.4 cm; 1.5 kg,1 P76 batteries required. (included),X1504ZA-NJ549WS,Intel,Core i5-1235U,4.4 GHz,10,DDR4,24 GB,SSD,Solid State,Speakers,Intel,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",Windows 11 Home,Yes,42 Watt Hours,,3,,"LAPTOP, POWER ADAPTER, USER GUIDE",China,1 kg 500 g,B0DGQT3843,"#20,376 in Computers & Accessories (See Top 100 in Computers & Accessories)
#591 in Traditional Laptops",11 September 2024,ASUS INDIA,ASUS INDIA,1 Count,LAPTOP,,,,512 GB,,"3.1
5 ratings
3.1 out of 5 stars",,16,DDR4 SDRAM,4.4 GHz,Built-in speaker,Intel Integrated,,"Bluetooth, 802.11ax",3,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200 RPM,
"HP 255 G10 AMD Ryzen 3 Quad Core 7320U - (8 GB DDR4/512 GB SSD/AMD Radeon Graphics/Windows 11),15.6 inch, Silver","26,880",https://www.amazon.in/HP-255-G10-Ryzen-7320U/dp/B0DPT19FZD/ref=sr_1_318?dib=eyJ2IjoiMSJ9.umxf-QhliDbEv0kB_xcAdO3kz2KCQ-8nEapYzX3M22VNyu8a8rGw-kjf9CoMFHNdumz9aUSEky8ZzPS8w9WfPZrHYxLWK66jAmF5fUsfvrVKMAm3iDaosJGkIrWMmnPWcpVeBynbWPyj0HQfIYuMDmddUNMeZkNChFIbXEWz8P8SKKXWY3yhpkoGsNIrX2mZj50vWnsSBqDx6mSEr-YTTTSE88dCX61g5MngvAKri69vMpeF5C5m5dgr02Q6PRBsWN2j57ArBzVC2Y6mY1w0qLzK_1ieiZhKBG1DzfFqgr2B3kiTxncezrckIHv8IiRnEG7uFbrq54ZfT99JIRCwPA4i4qhIIBqBq0Y6lq_YJAQ.wU1d8u-PnWL2kyUdyYEZf-YbtDoLP4prCQDO9F4xJ6U&dib_tag=se&qid=1737563037&s=computers&sr=1-318&xpid=TXeoTC7BKWJe3,2025-01-22 22:03:09,HP,Techfront,255 G10,Silver,Ultra-Portable,15.6 Inches,,1366 x 768,35 x 28.3 x 6.5 cm; 1.5 kg,1 Lithium Ion batteries required. (included),255 G10,AMD,Ryzen 3,2.4 GHz,4,DDR4,8 GB,SSD,Solid State,,AMD,Integrated,DDR4 SDRAM,Integrated,,Windows 11,Yes,41 Watt Hours,,3,,Webcam,,1 kg 500 g,B0DPT19FZD,"#15,053 in Computers & Accessories (See Top 100 in Computers & Accessories)
#445 in Traditional Laptops",6 December 2024,"SG66 – QUANTA CQ Tech-Front (CHongqing) computer CO.,LTD 18#, comprehensive bonded zone avenue, Shapingba District 401332 Chongqing China","HP India Sales pvt limited, 24 kothari Arena, Hosur main road, Adugodi , Bangalore -560030",1 Count,Laptop,,,,512 GB,,"5.0
2 ratings
5.0 out of 5 stars",,,DDR4 SDRAM,2.8 GHz,Inbuilt,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS TUF Gaming F17 - Gaming Laptop, Intel Core i5-11260H 11th Gen, 17.3-inch (43.94 cm) FHD 144Hz, (8GB/512GB SSD/4GB NVIDIA RTX 2050/Win 11/ RGB Backlit/Black/2.60 kg),FX706HF-HX044WS","49,990",https://www.amazon.in/ASUS-TUF-Gaming-F17-FX706HF-HX044WS/dp/B0CYCGJPZX/ref=sr_1_319?dib=eyJ2IjoiMSJ9.umxf-QhliDbEv0kB_xcAdO3kz2KCQ-8nEapYzX3M22VNyu8a8rGw-kjf9CoMFHNdumz9aUSEky8ZzPS8w9WfPZrHYxLWK66jAmF5fUsfvrVKMAm3iDaosJGkIrWMmnPWcpVeBynbWPyj0HQfIYuMDmddUNMeZkNChFIbXEWz8P8SKKXWY3yhpkoGsNIrX2mZj50vWnsSBqDx6mSEr-YTTTSE88dCX61g5MngvAKri69vMpeF5C5m5dgr02Q6PRBsWN2j57ArBzVC2Y6mY1w0qLzK_1ieiZhKBG1DzfFqgr2B3kiTxncezrckIHv8IiRnEG7uFbrq54ZfT99JIRCwPA4i4qhIIBqBq0Y6lq_YJAQ.wU1d8u-PnWL2kyUdyYEZf-YbtDoLP4prCQDO9F4xJ6U&dib_tag=se&qid=1737563037&s=computers&sr=1-319&xpid=TXeoTC7BKWJe3,2025-01-22 22:03:09,ASUS,ASUS,TUF Gaming F17,black,,17.3 Inches,1920 x 1080 pixels,1920x1080,48.6 x 32.7 x 10.4 cm; 4.01 kg,1 Lithium Polymer batteries required. (included),FX706HF-HX044WS,,Core i5-11260H,,,,8 GB,512GB NVMe M.2 SSD,,,,,,,,Windows 11,Yes,48 Watt Hours,,3,,,China,4 kg 10 g,B0CYCGJPZX,"#16,334 in Computers & Accessories (See Top 100 in Computers & Accessories)
#474 in Traditional Laptops",17 March 2024,,,1 Count,,,,,512 GB,,"4.1
12 ratings
4.1 out of 5 stars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS Vivobook 15, Intel Core i5-12500H 12Th Gen, 15.6"" (39.62 Cm) FHD, 60Hz, Thin and Light Laptop (16GB RAM/512GB/Windows 11/Office 2021/Silver/1.7 Kg), X1502Za-EJ542WS","49,990",https://www.amazon.in/ASUS-Vivobook-i5-12500H-Laptop-X1502ZA-EJ542WS/dp/B0C5Y3JBC4/ref=sr_1_320?dib=eyJ2IjoiMSJ9.umxf-QhliDbEv0kB_xcAdO3kz2KCQ-8nEapYzX3M22VNyu8a8rGw-kjf9CoMFHNdumz9aUSEky8ZzPS8w9WfPZrHYxLWK66jAmF5fUsfvrVKMAm3iDaosJGkIrWMmnPWcpVeBynbWPyj0HQfIYuMDmddUNMeZkNChFIbXEWz8P8SKKXWY3yhpkoGsNIrX2mZj50vWnsSBqDx6mSEr-YTTTSE88dCX61g5MngvAKri69vMpeF5C5m5dgr02Q6PRBsWN2j57ArBzVC2Y6mY1w0qLzK_1ieiZhKBG1DzfFqgr2B3kiTxncezrckIHv8IiRnEG7uFbrq54ZfT99JIRCwPA4i4qhIIBqBq0Y6lq_YJAQ.wU1d8u-PnWL2kyUdyYEZf-YbtDoLP4prCQDO9F4xJ6U&dib_tag=se&qid=1737563037&s=computers&sr=1-320&xpid=TXeoTC7BKWJe3,2025-01-22 22:03:09,ASUS,ASUS,ASUS Vivobook,Silver 16GB FHD,Ultra-Portable,15.6 Inches,1920 x 1080 pixel,1920 x 1080 Pixels,,1 Lithium Ion batteries required. (included),X1502ZA-EJ542WS,Intel,Core i5,4.5 GHz,8,DDR4,24 GB,SSD,,"Headphones, Speakers",Intel,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",Windows 11 Home,Yes,42 Watt Hours,10 Grams,3,,"Laptop, Power Adaptor & User Manual",China,1 kg 700 g,B0C5Y3JBC4,"#14,191 in Computers & Accessories (See Top 100 in Computers & Accessories)
#426 in Traditional Laptops",22 May 2023,"DIGITEK (CHONGQING) Limited, B01 SEC C Airport Function Zone Lianglu Cuntan Free Trade Port Area, Yubei District, China","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veera Desai Road, Andheri (West), Mumbai 400053, India",1 Count,Laptop,49.3 Centimeters,6.5 Centimeters,49.3 x 6.5 x 49.3 cm; 1.7 kg,512 GB,No Optical Storage,"3.9
164 ratings
3.9 out of 5 stars",49.3 x 6.5 x 49.3 Centimeters,16 GB,SODIMM,3200 MHz,,Intel Iris Xe Graphics,16 GB,"Bluetooth, 802.11ax",3,19 Volts (AC),6 Hours,,Battery Powered,1,,,,,,,,,,,,,PC,,,,,,,,,,65 Watts,,,,,,,,,,,,,,,
"(Refurbished) Dell Latitude Laptop 7480 Intel Core i5 - 7300u Processor 7th Gen, 16 GB Ram & 512 GB SSD, 14.1 Inches (Ultra Slim & Feather Light 1.48KG) Notebook Computer","22,799",https://www.amazon.in/Refurbished-Dell-Latitude-Laptop-Intel/dp/B0CDQ6MH3R/ref=sr_1_321?dib=eyJ2IjoiMSJ9.umxf-QhliDbEv0kB_xcAdO3kz2KCQ-8nEapYzX3M22VNyu8a8rGw-kjf9CoMFHNdumz9aUSEky8ZzPS8w9WfPZrHYxLWK66jAmF5fUsfvrVKMAm3iDaosJGkIrWMmnPWcpVeBynbWPyj0HQfIYuMDmddUNMeZkNChFIbXEWz8P8SKKXWY3yhpkoGsNIrX2mZj50vWnsSBqDx6mSEr-YTTTSE88dCX61g5MngvAKri69vMpeF5C5m5dgr02Q6PRBsWN2j57ArBzVC2Y6mY1w0qLzK_1ieiZhKBG1DzfFqgr2B3kiTxncezrckIHv8IiRnEG7uFbrq54ZfT99JIRCwPA4i4qhIIBqBq0Y6lq_YJAQ.wU1d8u-PnWL2kyUdyYEZf-YbtDoLP4prCQDO9F4xJ6U&dib_tag=se&qid=1737563037&s=computers&sr=1-321&xpid=TXeoTC7BKWJe3,2025-01-22 22:03:09,Dell,Dell,7480,,Laptop,14.1 Inches,1920 x 1080 pixels,HD (1366 X 768) Pixels,,,7480-i5-7-16-512,Intel,Core i5 7200U,2.7 GHz,1,DDR4,16 GB,SSD,,,Intel,Integrated,DDR SDRAM,Integrated,Wi-Fi,Windows 10 Pro,No,,,,,Laptop&Charger,,1 kg 480 g,B0CDQ6MH3R,"#11,693 in Computers & Accessories (See Top 100 in Computers & Accessories)
#9 in Sankranti / Pongal Store
#11 in Christmas with Amazon Renewed
#32 in Renewed Store.",4 August 2023,,,1.00 count,,2 Centimeters,23.5 Centimeters,34 x 23.5 x 2 cm; 1.48 kg,,No Optical Drive,"3.9
5 ratings
3.9 out of 5 stars",34 x 23.5 x 2 Centimeters,16 GB,,,,,,,3,,,,Battery Powered,2,,,,,,,,,,,,,Windows,,,,,,,,,,,,,,,,,,,,,,,,5400 RPM,
